"sliderNorm","slider","condition","item","bin_number","sample_number"
0.0348284383421347,0.192631578947368,"none","bas",1,1
0.0431824617855898,0.235789473684211,"none","bas",2,1
0.0495957455877726,0.277368421052632,"none","bas",3,1
0.0434561495025551,0.264736842105263,"none","bas",4,1
0.0408415824794834,0.265263157894737,"none","bas",5,1
0.0425724481004642,0.264736842105263,"none","bas",6,1
0.0598946268472441,0.36578947368421,"none","bas",7,1
0.0857430380590227,0.522105263157895,"none","bas",8,1
0.0938809102662962,0.554736842105263,"none","bas",9,1
0.107609943986137,0.608947368421053,"none","bas",10,1
0.0828489210454907,0.479473684210526,"none","bas",11,1
0.0483108783124053,0.283157894736842,"none","bas",12,1
0.0259951898906561,0.171578947368421,"none","bas",13,1
0.0199914782963185,0.143684210526316,"none","bas",14,1
0.0107218717089556,0.1,"none","bas",15,1
0.0345133840342625,0.225263157894737,"none","book",1,1
0.058195122271576,0.342631578947368,"none","book",2,1
0.0720498625289749,0.422631578947368,"none","book",3,1
0.0805385599093505,0.477368421052632,"none","book",4,1
0.0890705988865466,0.541052631578947,"none","book",5,1
0.0766266404568618,0.471052631578947,"none","book",6,1
0.0734366751846318,0.446842105263158,"none","book",7,1
0.0462427495948342,0.306315789473684,"none","book",8,1
0.0376915353513162,0.251578947368421,"none","book",9,1
0.0339030965559407,0.223684210526316,"none","book",10,1
0.0284038152135855,0.193684210526316,"none","book",11,1
0.0264831148185207,0.183684210526316,"none","book",12,1
0.0216087645158825,0.156842105263158,"none","book",13,1
0.0216874352122479,0.152631578947368,"none","book",14,1
0.0890223296759945,0.315789473684211,"none","book",15,1
0.141394313017471,0.6865,"none","bur",1,1
0.136545781967607,0.6675,"none","bur",2,1
0.121891659847618,0.6255,"none","bur",3,1
0.0800027532420512,0.4305,"none","bur",4,1
0.0593380890497361,0.3285,"none","bur",5,1
0.0447777773838392,0.2545,"none","bur",6,1
0.0360731525582237,0.21,"none","bur",7,1
0.0253013581282385,0.1455,"none","bur",8,1
0.0140732656894803,0.0865,"none","bur",9,1
0.0108099518314228,0.0665,"none","bur",10,1
0.0102432432706545,0.0655,"none","bur",11,1
0.00836486324971713,0.0495,"none","bur",12,1
0.00497767896517719,0.0295,"none","bur",13,1
0.00402268740657902,0.0245,"none","bur",14,1
0.00218342439218436,0.013,"none","bur",15,1
0.0828815309121667,0.332631578947368,"none","cig",1,1
0.0913044271835462,0.388947368421053,"none","cig",2,1
0.0932031265862672,0.42578947368421,"none","cig",3,1
0.0915542510425152,0.426842105263158,"none","cig",4,1
0.0884168231262704,0.417894736842105,"none","cig",5,1
0.0742635516326797,0.358421052631579,"none","cig",6,1
0.0633857228178388,0.314210526315789,"none","cig",7,1
0.0543436499309854,0.277368421052632,"none","cig",8,1
0.0445110199200569,0.229473684210526,"none","cig",9,1
0.0355082752505571,0.191052631578947,"none","cig",10,1
0.0280963041752006,0.143684210526316,"none","cig",11,1
0.0171103260728261,0.0889473684210526,"none","cig",12,1
0.0110589092390084,0.0647368421052632,"none","cig",13,1
0.0106591812451938,0.0610526315789474,"none","cig",14,1
0.0821239534964664,0.251052631578947,"none","cig",15,1
0.0219154770210116,0.158571428571429,"none","eat",1,1
0.0529811949825581,0.353333333333333,"none","eat",2,1
0.0953417522836691,0.552857142857143,"none","eat",3,1
0.128620874401193,0.695238095238095,"none","eat",4,1
