"sliderNorm","slider","condition","item","bin_number","sample_number"
0.012539682584194,0.148947368421053,"none","bas",1,1
0.0235039174711425,0.22,"none","bas",2,1
0.0360394001635815,0.308947368421053,"none","bas",3,1
0.0410855727735247,0.343684210526316,"none","bas",4,1
0.0456333727548594,0.375263157894737,"none","bas",5,1
0.04751067884512,0.394736842105263,"none","bas",6,1
0.0536361482857532,0.448947368421053,"none","bas",7,1
0.070613405823306,0.587368421052632,"none","bas",8,1
0.0694680205245714,0.595263157894737,"none","bas",9,1
0.0681117803986475,0.581578947368421,"none","bas",10,1
0.0631451121432671,0.541052631578947,"none","bas",11,1
0.0441212187361849,0.39,"none","bas",12,1
0.0313165320947967,0.286842105263158,"none","bas",13,1
0.028221436063719,0.264210526315789,"none","bas",14,1
0.0229484581794374,0.226315789473684,"none","bas",15,1
0.0266846175733392,0.176842105263158,"none","book",1,1
0.0656468543852098,0.354736842105263,"none","book",2,1
0.0961131548730616,0.492105263157895,"none","book",3,1
0.128395106586218,0.643157894736842,"none","book",4,1
0.143404373231441,0.692631578947368,"none","book",5,1
0.094941260409171,0.512105263157895,"none","book",6,1
0.0840643043088014,0.452105263157895,"none","book",7,1
0.0526763910617785,0.298421052631579,"none","book",8,1
0.0361261091355864,0.218947368421053,"none","book",9,1
0.0319007917167816,0.195789473684211,"none","book",10,1
0.0249439497144594,0.156842105263158,"none","book",11,1
0.0210150967422469,0.134210526315789,"none","book",12,1
0.0167145795010001,0.113157894736842,"none","book",13,1
0.0153893844004804,0.106315789473684,"none","book",14,1
0.0304050789920034,0.135263157894737,"none","book",15,1
0.14178680437789,0.734,"none","bur",1,1
0.133856383599964,0.6885,"none","bur",2,1
0.122039693858352,0.635,"none","bur",3,1
0.0934864058202339,0.4795,"none","bur",4,1
0.078258641111043,0.405,"none","bur",5,1
0.0393740736046736,0.211,"none","bur",6,1
0.0264187296279613,0.1495,"none","bur",7,1
0.0225774066163077,0.127,"none","bur",8,1
0.01396234489577,0.079,"none","bur",9,1
0.0116867922061311,0.0655,"none","bur",10,1
0.00478788424631721,0.032,"none","bur",11,1
