"alternatives","prior_distribution","cost_of_adjective","utterance","speaker_lambda","value","resample_number","probability","variable"
"pos_neg_null","2-2x",1,"adjective",1,0,1,9.88660910172625e-06,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.01,1,6.88673983762701e-05,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.02,1,0.000479313001579651,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.03,1,0.000885169645116338,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.04,1,0.0012867184171832,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.05,1,0.00168416753717705,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.06,1,0.00207766945817068,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.07,1,0.00246733317458727,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.08,1,0.00285323322419895,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.09,1,0.00323541636709062,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.1,1,0.0036139066036308,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.11,1,0.00398870898594624,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.12,1,0.00435981254027966,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.13,1,0.00472719252533191,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.14,1,0.00509081218853167,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.15,1,0.00545062413827207,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.16,1,0.00580657141919889,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.17,1,0.0061585883555199,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.18,1,0.00650660121131317,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.19,1,0.00685052870511665,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.2,1,0.00719028240743915,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.21,1,0.00752576704338352,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.22,1,0.007856880717719,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.23,1,0.00818351507605309,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.24,1,0.0085055554129361,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.25,1,0.00882288073556046,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.26,1,0.00913536379003577,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.27,1,0.00944287105591184,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.28,1,0.00974526271359748,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.29,1,0.0100423925885204,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.3,1,0.0103341080752434,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.31,1,0.0106202500442552,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.32,1,0.0109006527337691,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.33,1,0.0111751436285578,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.34,1,0.0114435433276225,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.35,1,0.0117056654023181,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.36,1,0.0119613162464259,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.37,1,0.0122102949195769,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.38,1,0.0124523929853703,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.39,1,0.0126873943455008,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.4,1,0.0129150750712069,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.41,1,0.013135203233362,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.42,1,0.0133475387325705,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.43,1,0.0135518331306762,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.44,1,0.0137478294851591,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.45,1,0.0139352621879722,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.46,1,0.0141138568104639,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.47,1,0.0142833299561258,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.48,1,0.0144433891230235,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.49,1,0.0145937325778777,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.5,1,0.0147340492438931,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.51,1,0.0148640186045561,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.52,1,0.0149833106257605,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.53,1,0.0150915856987471,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.54,1,0.0151884946064809,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.55,1,0.0152736785162159,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.56,1,0.0153467690011221,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.57,1,0.0154073880939635,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.58,1,0.0154551483759171,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.59,1,0.0154896531037107,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.6,1,0.0155104963783216,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.61,1,0.015517263358523,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.62,1,0.0155095305225746,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.63,1,0.0154868659813373,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.64,1,0.0154488298460305,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.65,1,0.0153949746537481,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.66,1,0.0153248458536994,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.67,1,0.0152379823569331,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.68,1,0.0151339171520415,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.69,1,0.0150121779890125,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.7,1,0.0148722881330053,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.71,1,0.0147137671893611,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.72,1,0.0145361320006263,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.73,1,0.0143388976157585,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.74,1,0.0141215783310071,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.75,1,0.0138836888012151,"value"
"pos_neg_null","2-2x",1,"adjective",1,0.76,1,0.0136247452194734,"value"
