"X","condition","item","condItemMeans","bin","sliderNorm"
16,"posterior","bas",8.98607490817221,1,0.015375530805984
17,"posterior","book",8.34333213973691,1,0.0317280834934267
18,"posterior","bur",5.80164926415959,1,0.0760137080548204
19,"posterior","cig",6.39097068336811,1,0.0738924882603603
20,"posterior","eat",7.11387808096137,1,0.0335858008861557
21,"posterior","edu",8.24862185637117,1,0.0256085155784478
22,"posterior","girl",7.79707948699038,1,0.0127776728057628
23,"posterior","hair",6.64336945380222,1,0.0192975644389289
24,"posterior","kid",7.38607282638863,1,0.0016389859946182
25,"posterior","mov",6.3681039193107,1,0.0240409971935587
26,"posterior","move",9.71250933159632,1,0.0139367354044434
27,"posterior","poem",7.60141112493844,1,0.0440466022997937
28,"posterior","shoe",6.77645902173754,1,0.028793196708105
29,"posterior","trav",7.94863630180204,1,0.0272094694728387
30,"posterior","tv",7.62803342680322,1,0.0339034549631469
31,"prior","bas",7.42562219319647,1,0.0333216111072062
32,"prior","book",5.98093864887067,1,0.041256448539421
33,"prior","bur",3.48677421415815,1,0.226089690307761
34,"prior","cig",6.11136499317139,1,0.0640267146501642
35,"prior","eat",5.39793642761005,1,0.0503286215264391
36,"prior","edu",7.10766420118324,1,0.0181775958499503
37,"prior","girl",4.41496839039785,1,0.138186638830893
38,"prior","hair",3.58203742797304,1,0.185342325549226
39,"prior","kid",3.59969712390235,1,0.154681540521886
40,"prior","mov",4.1349947198145,1,0.195640858043889
41,"prior","move",8.31838728526878,1,0.00654971804751464
42,"prior","poem",5.14181626199972,1,0.100720952713391
43,"prior","shoe",4.63688312437609,1,0.126799228540873
44,"prior","trav",5.72925195978578,1,0.0604221584626172
45,"prior","tv",5.56796583983795,1,0.0813153674808952
16,"posterior","bas",8.98607490817221,2,0.026197037609752
17,"posterior","book",8.34333213973691,2,0.0334895744619214
18,"posterior","bur",5.80164926415959,2,0.0971382199023359
19,"posterior","cig",6.39097068336811,2,0.105441459384031
20,"posterior","eat",7.11387808096137,2,0.0501738378108131
21,"posterior","edu",8.24862185637117,2,0.0289437440009276
22,"posterior","girl",7.79707948699038,2,0.0150507233909736
23,"posterior","hair",6.64336945380222,2,0.039186419951407
24,"posterior","kid",7.38607282638863,2,0.00838887575061295
25,"posterior","mov",6.3681039193107,2,0.0496619925253138
26,"posterior","move",9.71250933159632,2,0.0163116716036655
27,"posterior","poem",7.60141112493844,2,0.0411982281741375
28,"posterior","shoe",6.77645902173754,2,0.044798927457938
29,"posterior","trav",7.94863630180204,2,0.0326504196301671
30,"posterior","tv",7.62803342680322,2,0.0477394236285211
31,"prior","bas",7.42562219319647,2,0.0774790455303416
32,"prior","book",5.98093864887067,2,0.0668244164626254
33,"prior","bur",3.48677421415815,2,0.217816031228915
34,"prior","cig",6.11136499317139,2,0.125535549032406
35,"prior","eat",5.39793642761005,2,0.0930650825036055
36,"prior","edu",7.10766420118324,2,0.0210669982611648
37,"prior","girl",4.41496839039785,2,0.16376365351315
38,"prior","hair",3.58203742797304,2,0.207359097939292
39,"prior","kid",3.59969712390235,2,0.200552264108035
40,"prior","mov",4.1349947198145,2,0.179195012462185
41,"prior","move",8.31838728526878,2,0.00735477710502779
42,"prior","poem",5.14181626199972,2,0.128793242873763
43,"prior","shoe",4.63688312437609,2,0.15974733291781
44,"prior","trav",5.72925195978578,2,0.0922725076824182
45,"prior","tv",5.56796583983795,2,0.0930788981118021
16,"posterior","bas",8.98607490817221,3,0.0345705544546769
17,"posterior","book",8.34333213973691,3,0.0374685983948111
