value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
5,1,0.00014857542891078522,pos_neg_null,book,7,adjective,7
5,5,0.002078956317325756,pos_neg_null,book,7,adjective,7
5,4,0.0006779219621705474,pos_neg_null,book,7,adjective,7
5,3,0.0003305090925492297,pos_neg_null,book,7,adjective,7
5,2,0.0001994775848469675,pos_neg_null,book,7,adjective,7
6,3,0.0002866043458697157,pos_neg_null,book,7,adjective,7
6,2,0.0001729790314686127,pos_neg_null,book,7,adjective,7
6,1,0.00012883870542516293,pos_neg_null,book,7,adjective,7
6,6,0.012359296073706954,pos_neg_null,book,7,adjective,7
6,5,0.002050646421116135,pos_neg_null,book,7,adjective,7
6,4,0.0005878669752169175,pos_neg_null,book,7,adjective,7
4,4,0.0001743459383795663,pos_neg_null,book,7,adjective,7
4,3,0.00027454097748744297,pos_neg_null,book,7,adjective,7
4,2,0.00016569822847631167,pos_neg_null,book,7,adjective,7
4,1,0.00012341579824375694,pos_neg_null,book,7,adjective,7
7,7,0.052204928132659145,pos_neg_null,book,7,adjective,7
7,6,0.009959974251317762,pos_neg_null,book,7,adjective,7
7,5,0.00161682655285926,pos_neg_null,book,7,adjective,7
7,4,0.000463502106112685,pos_neg_null,book,7,adjective,7
7,3,0.00022597241133105714,pos_neg_null,book,7,adjective,7
7,2,0.00013638484347492052,pos_neg_null,book,7,adjective,7
7,1,0.00010158252433105282,pos_neg_null,book,7,adjective,7
3,3,0.000002128341025147654,pos_neg_null,book,7,adjective,7
3,2,0.00010906693175642325,pos_neg_null,book,7,adjective,7
3,1,0.00008123552417243056,pos_neg_null,book,7,adjective,7
8,8,0.08014206798838623,pos_neg_null,book,7,adjective,7
8,7,0.04149758902668903,pos_neg_null,book,7,adjective,7
8,6,0.007884252271688763,pos_neg_null,book,7,adjective,7
8,5,0.001279869616191103,pos_neg_null,book,7,adjective,7
8,4,0.00036690531931525517,pos_neg_null,book,7,adjective,7
8,3,0.00017887832362017964,pos_neg_null,book,7,adjective,7
8,2,0.00010796137468415555,pos_neg_null,book,7,adjective,7
8,1,0.00008041208019338186,pos_neg_null,book,7,adjective,7
2,2,1.5800043325423745e-8,pos_neg_null,book,7,adjective,7
2,1,0.00006222411272710951,pos_neg_null,book,7,adjective,7
9,9,0.05630099503947803,pos_neg_null,book,7,adjective,7
9,8,0.05146573972791461,pos_neg_null,book,7,adjective,7
9,7,0.026640133845846462,pos_neg_null,book,7,adjective,7
9,6,0.005061439488860963,pos_neg_null,book,7,adjective,7
9,5,0.0008216356342686413,pos_neg_null,book,7,adjective,7
9,4,0.00023554155902949053,pos_neg_null,book,7,adjective,7
9,3,0.00011483420109774091,pos_neg_null,book,7,adjective,7
9,2,0.00006930777279416729,pos_neg_null,book,7,adjective,7
