value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
1,1,0.000006677221812455406,pos_neg_null,bur,7,adjective,7
2,2,0.0009474358314799433,pos_neg_null,bur,7,adjective,7
2,1,0.0002005135735198469,pos_neg_null,bur,7,adjective,7
3,2,0.0010415174319538191,pos_neg_null,bur,7,adjective,7
3,3,0.009823603270640137,pos_neg_null,bur,7,adjective,7
3,1,0.0001739723879219723,pos_neg_null,bur,7,adjective,7
4,4,0.05741238934446362,pos_neg_null,bur,7,adjective,7
4,3,0.006009663340683869,pos_neg_null,bur,7,adjective,7
4,2,0.0006239029920376815,pos_neg_null,bur,7,adjective,7
4,1,0.00010421514803918466,pos_neg_null,bur,7,adjective,7
5,5,0.08046060331050828,pos_neg_null,bur,7,adjective,7
5,4,0.04355830184685698,pos_neg_null,bur,7,adjective,7
5,3,0.004543503202587221,pos_neg_null,bur,7,adjective,7
5,2,0.0004716911882961484,pos_neg_null,bur,7,adjective,7
5,1,0.00007879008058049689,pos_neg_null,bur,7,adjective,7
6,6,0.05275337282940414,pos_neg_null,bur,7,adjective,7
6,5,0.049297764001480476,pos_neg_null,bur,7,adjective,7
6,4,0.02668179286703233,pos_neg_null,bur,7,adjective,7
6,3,0.002783139061948486,pos_neg_null,bur,7,adjective,7
6,2,0.00028893611664593065,pos_neg_null,bur,7,adjective,7
6,1,0.00004826314435803201,pos_neg_null,bur,7,adjective,7
7,5,0.03349452066617122,pos_neg_null,bur,7,adjective,7
7,3,0.0018909561258085123,pos_neg_null,bur,7,adjective,7
7,2,0.00019631269138108858,pos_neg_null,bur,7,adjective,7
7,1,0.00003279156608534942,pos_neg_null,bur,7,adjective,7
7,7,0.03598201726803667,pos_neg_null,bur,7,adjective,7
7,6,0.03584269831894027,pos_neg_null,bur,7,adjective,7
7,4,0.018128486772107457,pos_neg_null,bur,7,adjective,7
8,1,0.00002372592126399463,pos_neg_null,bur,7,adjective,7
8,7,0.0260343448266865,pos_neg_null,bur,7,adjective,7
8,8,0.026041744193038757,pos_neg_null,bur,7,adjective,7
8,2,0.00014203955513157206,pos_neg_null,bur,7,adjective,7
8,3,0.0013681772940587087,pos_neg_null,bur,7,adjective,7
8,6,0.025933529249285436,pos_neg_null,bur,7,adjective,7
8,5,0.024234535125050513,pos_neg_null,bur,7,adjective,7
8,4,0.01311663641409774,pos_neg_null,bur,7,adjective,7
9,8,0.014203013102331378,pos_neg_null,bur,7,adjective,7
9,9,0.014203325114927159,pos_neg_null,bur,7,adjective,7
