value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
2,1,0.00010169001198646851,pos_neg_null,cig,7,adjective,7
2,2,0.0000015451819390513677,pos_neg_null,cig,7,adjective,7
7,3,0.00035678403473557376,pos_neg_null,cig,7,adjective,7
7,2,0.0001305242244791217,pos_neg_null,cig,7,adjective,7
7,1,0.00008218041389663999,pos_neg_null,cig,7,adjective,7
7,7,0.022915596616423155,pos_neg_null,cig,7,adjective,7
7,6,0.006686140736536806,pos_neg_null,cig,7,adjective,7
7,5,0.0021086662309387117,pos_neg_null,cig,7,adjective,7
7,4,0.0008076887344853509,pos_neg_null,cig,7,adjective,7
6,6,0.006290382338570596,pos_neg_null,cig,7,adjective,7
6,5,0.002067654603611071,pos_neg_null,cig,7,adjective,7
6,4,0.0007919799281842671,pos_neg_null,cig,7,adjective,7
6,3,0.0003498449119600747,pos_neg_null,cig,7,adjective,7
6,2,0.00012798564783146233,pos_neg_null,cig,7,adjective,7
6,1,0.00008058208009733603,pos_neg_null,cig,7,adjective,7
5,5,0.001764912623003286,pos_neg_null,cig,7,adjective,7
5,4,0.0007908119679535824,pos_neg_null,cig,7,adjective,7
5,3,0.00034932898355136794,pos_neg_null,cig,7,adjective,7
5,2,0.00012779690296376356,pos_neg_null,cig,7,adjective,7
5,1,0.00008046324291281884,pos_neg_null,cig,7,adjective,7
4,4,0.00039241155195861315,pos_neg_null,cig,7,adjective,7
4,3,0.0003292940052158962,pos_neg_null,cig,7,adjective,7
4,2,0.00012046739896386703,pos_neg_null,cig,7,adjective,7
4,1,0.000075848454548649,pos_neg_null,cig,7,adjective,7
3,3,0.000040284438502361316,pos_neg_null,cig,7,adjective,7
3,2,0.00011553578105317028,pos_neg_null,cig,7,adjective,7
3,1,0.00007274341866202726,pos_neg_null,cig,7,adjective,7
8,8,0.055449163322668596,pos_neg_null,cig,7,adjective,7
8,7,0.020484473182071868,pos_neg_null,cig,7,adjective,7
8,6,0.005912894118046421,pos_neg_null,cig,7,adjective,7
8,5,0.0018648007341076087,pos_neg_null,cig,7,adjective,7
8,4,0.000714280203713521,pos_neg_null,cig,7,adjective,7
8,3,0.0003155222576863608,pos_neg_null,cig,7,adjective,7
8,2,0.00011542920641316309,pos_neg_null,cig,7,adjective,7
8,1,0.0000726763173399422,pos_neg_null,cig,7,adjective,7
9,9,0.057823712547463046,pos_neg_null,cig,7,adjective,7
9,8,0.04212903812681043,pos_neg_null,cig,7,adjective,7
9,7,0.015535069381268762,pos_neg_null,cig,7,adjective,7
9,6,0.00448423640439731,pos_neg_null,cig,7,adjective,7
9,5,0.0014142325520949768,pos_neg_null,cig,7,adjective,7
9,4,0.0005416977250880904,pos_neg_null,cig,7,adjective,7
9,3,0.00023928661093330607,pos_neg_null,cig,7,adjective,7
9,2,0.00008753950928172762,pos_neg_null,cig,7,adjective,7
9,1,0.00005511645929167672,pos_neg_null,cig,7,adjective,7
1,1,2.5110561847916346e-10,pos_neg_null,cig,7,adjective,7
10,8,0.02989729447711737,pos_neg_null,cig,7,adjective,7
10,4,0.00038442122404491096,pos_neg_null,cig,7,adjective,7
10,10,0.04274790584993034,pos_neg_null,cig,7,adjective,7
10,9,0.041041201212301294,pos_neg_null,cig,7,adjective,7
10,7,0.01102461780912747,pos_neg_null,cig,7,adjective,7
10,6,0.0031822833429932507,pos_neg_null,cig,7,adjective,7
10,5,0.0010036243158896424,pos_neg_null,cig,7,adjective,7
10,3,0.00016981214358539486,pos_neg_null,cig,7,adjective,7
10,2,0.0000621232908166637,pos_neg_null,cig,7,adjective,7
10,1,0.00003911394817558502,pos_neg_null,cig,7,adjective,7
11,2,0.000044686948491090064,pos_neg_null,cig,7,adjective,7
11,10,0.030750011079266792,pos_neg_null,cig,7,adjective,7
11,9,0.029522036268152994,pos_neg_null,cig,7,adjective,7
11,5,0.0007219338756686693,pos_neg_null,cig,7,adjective,7
11,4,0.0002765244920536117,pos_neg_null,cig,7,adjective,7
11,3,0.0001221504272199083,pos_neg_null,cig,7,adjective,7
11,11,0.030870036371346683,pos_neg_null,cig,7,adjective,7
11,1,0.00002813571149287361,pos_neg_null,cig,7,adjective,7
11,6,0.0022891017195478024,pos_neg_null,cig,7,adjective,7
11,8,0.021505925406699853,pos_neg_null,cig,7,adjective,7
11,7,0.007930303139032745,pos_neg_null,cig,7,adjective,7
12,12,0.020799265921504054,pos_neg_null,cig,7,adjective,7
12,8,0.014484635372377654,pos_neg_null,cig,7,adjective,7
12,9,0.019883633124714948,pos_neg_null,cig,7,adjective,7
12,10,0.02071069669203795,pos_neg_null,cig,7,adjective,7
12,4,0.00018624431932981141,pos_neg_null,cig,7,adjective,7
12,6,0.0015417520107087765,pos_neg_null,cig,7,adjective,7
12,11,0.020791550477611647,pos_neg_null,cig,7,adjective,7
12,7,0.005341204676806218,pos_neg_null,cig,7,adjective,7
12,1,0.000018949917950972167,pos_neg_null,cig,7,adjective,7
12,3,0.00008227055406364084,pos_neg_null,cig,7,adjective,7
12,5,0.0004862357119852382,pos_neg_null,cig,7,adjective,7
12,2,0.00003009747976694894,pos_neg_null,cig,7,adjective,7
13,6,0.0014914825548727638,pos_neg_null,cig,7,adjective,7
13,12,0.020121098433548746,pos_neg_null,cig,7,adjective,7
13,3,0.00007958808894903074,pos_neg_null,cig,7,adjective,7
