value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
4,1,0.00014704489308228451,pos_neg_null,eat,7,adjective,7
4,4,0.0010550025115796987,pos_neg_null,eat,7,adjective,7
4,3,0.00043371889828864555,pos_neg_null,eat,7,adjective,7
4,2,0.00021099115278115047,pos_neg_null,eat,7,adjective,7
5,3,0.0004075216766556804,pos_neg_null,eat,7,adjective,7
5,2,0.00019824699518549845,pos_neg_null,eat,7,adjective,7
5,1,0.00013816317806070733,pos_neg_null,eat,7,adjective,7
5,5,0.007272665202688901,pos_neg_null,eat,7,adjective,7
5,4,0.0012767332754638227,pos_neg_null,eat,7,adjective,7
3,3,0.000037350936603151325,pos_neg_null,eat,7,adjective,7
3,2,0.00016463122579756114,pos_neg_null,eat,7,adjective,7
3,1,0.00011473552647260884,pos_neg_null,eat,7,adjective,7
6,6,0.03944418178504841,pos_neg_null,eat,7,adjective,7
6,5,0.005822937689712586,pos_neg_null,eat,7,adjective,7
6,4,0.0009897174243683553,pos_neg_null,eat,7,adjective,7
6,3,0.00031590882132167305,pos_neg_null,eat,7,adjective,7
6,2,0.00015368010627942445,pos_neg_null,eat,7,adjective,7
6,1,0.00010710342352682335,pos_neg_null,eat,7,adjective,7
2,2,1.616737906132019e-7,pos_neg_null,eat,7,adjective,7
2,1,0.00008242886520663446,pos_neg_null,eat,7,adjective,7
7,7,0.06583879091321757,pos_neg_null,eat,7,adjective,7
7,6,0.025889910303633853,pos_neg_null,eat,7,adjective,7
7,5,0.0037981800977003634,pos_neg_null,eat,7,adjective,7
7,4,0.0006455719129923769,pos_neg_null,eat,7,adjective,7
7,3,0.00020606069681147206,pos_neg_null,eat,7,adjective,7
7,2,0.00010024230932682325,pos_neg_null,eat,7,adjective,7
7,1,0.00006986131628264627,pos_neg_null,eat,7,adjective,7
8,8,0.055733456038887554,pos_neg_null,eat,7,adjective,7
8,7,0.04869131762411806,pos_neg_null,eat,7,adjective,7
8,6,0.01913470463338883,pos_neg_null,eat,7,adjective,7
8,5,0.002807157439387185,pos_neg_null,eat,7,adjective,7
8,4,0.0004771290332739067,pos_neg_null,eat,7,adjective,7
8,3,0.000152295258028932,pos_neg_null,eat,7,adjective,7
8,2,0.0000740870461983929,pos_neg_null,eat,7,adjective,7
8,1,0.000051633073915307284,pos_neg_null,eat,7,adjective,7
1,1,4.00193164440407e-11,pos_neg_null,eat,7,adjective,7
9,1,0.000042536444442599166,pos_neg_null,eat,7,adjective,7
9,6,0.015763584052709174,pos_neg_null,eat,7,adjective,7
9,2,0.00006103451306624501,pos_neg_null,eat,7,adjective,7
9,9,0.04661358754259427,pos_neg_null,eat,7,adjective,7
9,8,0.04591653664384204,pos_neg_null,eat,7,adjective,7
9,7,0.040112961904079564,pos_neg_null,eat,7,adjective,7
9,5,0.0023125970895705736,pos_neg_null,eat,7,adjective,7
9,4,0.00039306923018173745,pos_neg_null,eat,7,adjective,7
9,3,0.00012546413162704332,pos_neg_null,eat,7,adjective,7
10,4,0.0002899468925249445,pos_neg_null,eat,7,adjective,7
10,10,0.03443686137907008,pos_neg_null,eat,7,adjective,7
10,9,0.0343845441044417,pos_neg_null,eat,7,adjective,7
10,8,0.03387026023185349,pos_neg_null,eat,7,adjective,7
10,7,0.029589262554797036,pos_neg_null,eat,7,adjective,7
10,6,0.011627982706826367,pos_neg_null,eat,7,adjective,7
10,5,0.001705883565277281,pos_neg_null,eat,7,adjective,7
10,3,0.00009254841716249893,pos_neg_null,eat,7,adjective,7
10,2,0.0000450220114969281,pos_neg_null,eat,7,adjective,7
10,1,0.00003137694059514443,pos_neg_null,eat,7,adjective,7
11,8,0.017637226659114227,pos_neg_null,eat,7,adjective,7
11,10,0.01793227494011724,pos_neg_null,eat,7,adjective,7
11,4,0.00015098375470286207,pos_neg_null,eat,7,adjective,7
11,6,0.006055027779080462,pos_neg_null,eat,7,adjective,7
11,7,0.015407987029996259,pos_neg_null,eat,7,adjective,7
11,1,0.00001633888282398476,pos_neg_null,eat,7,adjective,7
11,11,0.017934017488517588,pos_neg_null,eat,7,adjective,7
11,9,0.017905029184570907,pos_neg_null,eat,7,adjective,7
11,5,0.0008883030389756997,pos_neg_null,eat,7,adjective,7
11,3,0.00004819264449884998,pos_neg_null,eat,7,adjective,7
11,2,0.00002344426691690388,pos_neg_null,eat,7,adjective,7
12,4,0.00013111165899353978,pos_neg_null,eat,7,adjective,7
12,5,0.0007713868644895956,pos_neg_null,eat,7,adjective,7
12,12,0.015573652783292589,pos_neg_null,eat,7,adjective,7
12,8,0.015315859986873886,pos_neg_null,eat,7,adjective,7
12,10,0.015572074767607271,pos_neg_null,eat,7,adjective,7
12,11,0.015573588055875817,pos_neg_null,eat,7,adjective,7
12,6,0.005258080506274199,pos_neg_null,eat,7,adjective,7
12,9,0.015548415028735083,pos_neg_null,eat,7,adjective,7
12,1,0.000014188400847293867,pos_neg_null,eat,7,adjective,7
12,7,0.013380027177291101,pos_neg_null,eat,7,adjective,7
12,3,0.00004184965186463424,pos_neg_null,eat,7,adjective,7
12,2,0.00002035859245527396,pos_neg_null,eat,7,adjective,7
13,10,0.01104372971971012,pos_neg_null,eat,7,adjective,7
13,2,0.000014438332457629334,pos_neg_null,eat,7,adjective,7
13,1,0.00001006242690526815,pos_neg_null,eat,7,adjective,7
13,5,0.0005470682723973794,pos_neg_null,eat,7,adjective,7
13,3,0.000029679811518654635,pos_neg_null,eat,7,adjective,7
13,13,0.011044853214114941,pos_neg_null,eat,7,adjective,7
13,12,0.011044848855005446,pos_neg_null,eat,7,adjective,7
13,9,0.011026950211183299,pos_neg_null,eat,7,adjective,7
13,4,0.00009298450891331919,pos_neg_null,eat,7,adjective,7
13,7,0.009489127556448512,pos_neg_null,eat,7,adjective,7
13,6,0.003729035521750932,pos_neg_null,eat,7,adjective,7
13,8,0.01086202196201939,pos_neg_null,eat,7,adjective,7
13,11,0.0110448029451393,pos_neg_null,eat,7,adjective,7
14,1,0.000008661111750933047,pos_neg_null,eat,7,adjective,7
14,7,0.00816765129913443,pos_neg_null,eat,7,adjective,7
14,13,0.009506723264932047,pos_neg_null,eat,7,adjective,7
14,8,0.009349353484981343,pos_neg_null,eat,7,adjective,7
14,5,0.0004708823713435264,pos_neg_null,eat,7,adjective,7
14,4,0.0000800352867539586,pos_neg_null,eat,7,adjective,7
14,3,0.00002554653730454571,pos_neg_null,eat,7,adjective,7
14,6,0.0032097220363582857,pos_neg_null,eat,7,adjective,7
14,12,0.00950671951269371,pos_neg_null,eat,7,adjective,7
14,9,0.009491313472402119,pos_neg_null,eat,7,adjective,7
14,2,0.00001242761930992815,pos_neg_null,eat,7,adjective,7
14,14,0.009506723441036955,pos_neg_null,eat,7,adjective,7
14,11,0.009506679996333998,pos_neg_null,eat,7,adjective,7
14,10,0.009505756230580113,pos_neg_null,eat,7,adjective,7
15,9,0.007671965599853115,pos_neg_null,eat,7,adjective,7
15,10,0.007683639889637217,pos_neg_null,eat,7,adjective,7
15,3,0.000020649634633365043,pos_neg_null,eat,7,adjective,7
15,2,0.000010045423966985357,pos_neg_null,eat,7,adjective,7
15,5,0.0003806210136277881,pos_neg_null,eat,7,adjective,7
15,15,0.007684421704346162,pos_neg_null,eat,7,adjective,7
15,6,0.0025944646249049567,pos_neg_null,eat,7,adjective,7
15,7,0.006602030370270354,pos_neg_null,eat,7,adjective,7
15,14,0.007684421699806689,pos_neg_null,eat,7,adjective,7
15,4,0.00006469367685896791,pos_neg_null,eat,7,adjective,7
15,8,0.007557217294129727,pos_neg_null,eat,7,adjective,7
15,11,0.007684386582822181,pos_neg_null,eat,7,adjective,7
15,1,0.000007000901572037617,pos_neg_null,eat,7,adjective,7
15,13,0.007684421557454162,pos_neg_null,eat,7,adjective,7
15,12,0.007684418524465786,pos_neg_null,eat,7,adjective,7
4,1,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,14,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,13,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,12,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,11,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,10,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,9,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,8,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,6,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,7,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,5,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,4,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,3,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,15,0.011067923089103551,pos_neg_null,eat,7,prior,7
4,2,0.011067923089103551,pos_neg_null,eat,7,prior,7
5,3,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,2,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,1,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,15,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,14,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,12,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,13,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,11,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,10,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,9,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,8,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,7,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,6,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,5,0.01039940521882875,pos_neg_null,eat,7,prior,7
5,4,0.01039940521882875,pos_neg_null,eat,7,prior,7
3,15,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,14,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,13,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,12,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,11,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,10,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,9,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,8,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,7,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,6,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,5,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,4,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,3,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,2,0.008636029147071605,pos_neg_null,eat,7,prior,7
3,1,0.008636029147071605,pos_neg_null,eat,7,prior,7
6,7,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,6,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,5,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,4,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,3,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,2,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,1,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,15,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,14,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,13,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,12,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,11,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,10,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,9,0.008061568336897066,pos_neg_null,eat,7,prior,7
6,8,0.008061568336897066,pos_neg_null,eat,7,prior,7
2,14,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,13,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,12,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,11,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,10,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,9,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,15,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,8,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,7,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,6,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,5,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,4,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,3,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,2,0.006204338833573701,pos_neg_null,eat,7,prior,7
2,1,0.006204338833573701,pos_neg_null,eat,7,prior,7
7,14,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,13,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,12,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,11,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,10,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,9,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,8,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,7,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,6,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,5,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,4,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,3,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,2,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,1,0.005258391905437887,pos_neg_null,eat,7,prior,7
7,15,0.005258391905437887,pos_neg_null,eat,7,prior,7
8,14,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,13,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,12,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,11,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,10,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,9,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,8,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,7,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,6,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,5,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,4,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,3,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,2,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,1,0.0038863702027980467,pos_neg_null,eat,7,prior,7
8,15,0.0038863702027980467,pos_neg_null,eat,7,prior,7
1,14,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,13,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,12,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,11,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,10,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,9,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,8,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,7,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,6,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,5,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,4,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,3,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,2,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,1,0.0033552414350959403,pos_neg_null,eat,7,prior,7
1,15,0.0033552414350959403,pos_neg_null,eat,7,prior,7
9,1,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,6,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,2,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,15,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,14,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,13,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,12,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,11,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,10,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,9,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,8,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,7,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,5,0.0032016759351932147,pos_neg_null,eat,7,prior,7
9,4,0.0032016759351932147,pos_neg_null,eat,7,prior,7
