value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
6,1,0.00026715599425816065,pos_neg_null,edu,7,adjective,7
6,6,0.0007952660341413413,pos_neg_null,edu,7,adjective,7
6,5,0.0005929210151298027,pos_neg_null,edu,7,adjective,7
6,4,0.0004334018845234287,pos_neg_null,edu,7,adjective,7
6,3,0.00035346555910894926,pos_neg_null,edu,7,adjective,7
6,2,0.00030372472320793517,pos_neg_null,edu,7,adjective,7
7,2,0.0002954530077322826,pos_neg_null,edu,7,adjective,7
7,3,0.00034383918920230814,pos_neg_null,edu,7,adjective,7
7,1,0.00025988020074099667,pos_neg_null,edu,7,adjective,7
7,7,0.008341226098943378,pos_neg_null,edu,7,adjective,7
7,6,0.0012300103013884113,pos_neg_null,edu,7,adjective,7
7,5,0.0005767732551289435,pos_neg_null,edu,7,adjective,7
7,4,0.0004215985086325069,pos_neg_null,edu,7,adjective,7
8,8,0.08553462104279304,pos_neg_null,edu,7,adjective,7
8,7,0.00835416117148422,pos_neg_null,edu,7,adjective,7
8,6,0.0011886557265046557,pos_neg_null,edu,7,adjective,7
8,5,0.0005573813746355446,pos_neg_null,edu,7,adjective,7
8,4,0.0004074238085698792,pos_neg_null,edu,7,adjective,7
8,3,0.00033227886041336597,pos_neg_null,edu,7,adjective,7
8,2,0.0002855194864283523,pos_neg_null,edu,7,adjective,7
8,1,0.00025114268430701463,pos_neg_null,edu,7,adjective,7
9,7,0.004861712580476008,pos_neg_null,edu,7,adjective,7
9,6,0.0006917394075575211,pos_neg_null,edu,7,adjective,7
9,5,0.00032436865719544277,pos_neg_null,edu,7,adjective,7
9,4,0.0002371006992863326,pos_neg_null,edu,7,adjective,7
9,3,0.00019337002036925004,pos_neg_null,edu,7,adjective,7
9,2,0.00016615835517728663,pos_neg_null,edu,7,adjective,7
9,1,0.0001461527402604572,pos_neg_null,edu,7,adjective,7
9,9,0.15513869593516594,pos_neg_null,edu,7,adjective,7
9,8,0.049966341236175,pos_neg_null,edu,7,adjective,7
5,5,0.0000037716021086541483,pos_neg_null,edu,7,adjective,7
5,4,0.00020195913140194353,pos_neg_null,edu,7,adjective,7
5,3,0.0001647099374674889,pos_neg_null,edu,7,adjective,7
5,2,0.00014153141339433748,pos_neg_null,edu,7,adjective,7
5,1,0.0001244909043451196,pos_neg_null,edu,7,adjective,7
10,10,0.07121544455112908,pos_neg_null,edu,7,adjective,7
10,9,0.06890090350181874,pos_neg_null,edu,7,adjective,7
10,8,0.022189661889429137,pos_neg_null,edu,7,adjective,7
10,7,0.002159048585415413,pos_neg_null,edu,7,adjective,7
10,6,0.0003071960681840492,pos_neg_null,edu,7,adjective,7
10,5,0.00014404958723461653,pos_neg_null,edu,7,adjective,7
10,4,0.00010529456871863014,pos_neg_null,edu,7,adjective,7
10,3,0.00008587411576253617,pos_neg_null,edu,7,adjective,7
10,2,0.00007378962778283916,pos_neg_null,edu,7,adjective,7
10,1,0.0000649052904487063,pos_neg_null,edu,7,adjective,7
4,4,1.671797233419045e-8,pos_neg_null,edu,7,adjective,7
4,3,0.00007346730767308408,pos_neg_null,edu,7,adjective,7
4,2,0.00006312874652933783,pos_neg_null,edu,7,adjective,7
4,1,0.000055527988855126565,pos_neg_null,edu,7,adjective,7
3,3,3.250865102941474e-10,pos_neg_null,edu,7,adjective,7
3,2,0.000042597557793486624,pos_neg_null,edu,7,adjective,7
3,1,0.000037468773648358167,pos_neg_null,edu,7,adjective,7
11,1,0.00003436459562922203,pos_neg_null,edu,7,adjective,7
11,6,0.0001626472755772433,pos_neg_null,edu,7,adjective,7
11,2,0.000039068475048147845,pos_neg_null,edu,7,adjective,7
11,11,0.03771932900879129,pos_neg_null,edu,7,adjective,7
11,10,0.03770557596720466,pos_neg_null,edu,7,adjective,7
11,9,0.03648010310036672,pos_neg_null,edu,7,adjective,7
11,8,0.011748483871002998,pos_neg_null,edu,7,adjective,7
11,7,0.0011431245599352099,pos_neg_null,edu,7,adjective,7
11,5,0.00007626814057301001,pos_neg_null,edu,7,adjective,7
11,4,0.000055749003678346105,pos_neg_null,edu,7,adjective,7
11,3,0.0000454666983661172,pos_neg_null,edu,7,adjective,7
2,1,0.000028583840908749897,pos_neg_null,edu,7,adjective,7
2,2,5.114533903667736e-12,pos_neg_null,edu,7,adjective,7
1,1,1.7752793083915542e-14,pos_neg_null,edu,7,adjective,7
12,11,0.023352442841679404,pos_neg_null,edu,7,adjective,7
12,4,0.000034514808163666714,pos_neg_null,edu,7,adjective,7
12,10,0.02334392787927281,pos_neg_null,edu,7,adjective,7
12,9,0.022585224438530987,pos_neg_null,edu,7,adjective,7
12,1,0.000021275490995461057,pos_neg_null,edu,7,adjective,7
12,12,0.02335267313329095,pos_neg_null,edu,7,adjective,7
12,6,0.00010069667876543706,pos_neg_null,edu,7,adjective,7
12,8,0.0072736128050141695,pos_neg_null,edu,7,adjective,7
12,3,0.000028148922283814155,pos_neg_null,edu,7,adjective,7
12,7,0.0007077207176827867,pos_neg_null,edu,7,adjective,7
12,5,0.00004721842664785507,pos_neg_null,edu,7,adjective,7
12,2,0.000024187713368186548,pos_neg_null,edu,7,adjective,7
13,13,0.015427195821153686,pos_neg_null,edu,7,adjective,7
13,3,0.000018595675791552862,pos_neg_null,edu,7,adjective,7
