value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
3,1,0.00021015341096043848,pos_neg_null,hair,7,adjective,7
3,3,0.006508158906493197,pos_neg_null,hair,7,adjective,7
3,2,0.0008799264542836574,pos_neg_null,hair,7,adjective,7
2,2,0.000528384152113548,pos_neg_null,hair,7,adjective,7
2,1,0.0002057885120115196,pos_neg_null,hair,7,adjective,7
1,1,0.0000015044761607014389,pos_neg_null,hair,7,adjective,7
4,4,0.05958744364346862,pos_neg_null,hair,7,adjective,7
4,3,0.004627779463843653,pos_neg_null,hair,7,adjective,7
4,2,0.000607450310637579,pos_neg_null,hair,7,adjective,7
4,1,0.00014507775524647795,pos_neg_null,hair,7,adjective,7
5,5,0.08863315426207306,pos_neg_null,hair,7,adjective,7
5,4,0.03550292600944895,pos_neg_null,hair,7,adjective,7
5,3,0.002745649312473065,pos_neg_null,hair,7,adjective,7
5,2,0.0003603986622081535,pos_neg_null,hair,7,adjective,7
5,1,0.00008607424836463308,pos_neg_null,hair,7,adjective,7
6,6,0.05804626169353881,pos_neg_null,hair,7,adjective,7
6,5,0.054645938175311035,pos_neg_null,hair,7,adjective,7
6,4,0.021884731557200342,pos_neg_null,hair,7,adjective,7
6,3,0.0016924745340058055,pos_neg_null,hair,7,adjective,7
6,2,0.0002221571251310499,pos_neg_null,hair,7,adjective,7
6,1,0.00005305793158981986,pos_neg_null,hair,7,adjective,7
7,6,0.03707190476189366,pos_neg_null,hair,7,adjective,7
7,7,0.03718665812190839,pos_neg_null,hair,7,adjective,7
7,5,0.03490001447310288,pos_neg_null,hair,7,adjective,7
7,4,0.013976838418181562,pos_neg_null,hair,7,adjective,7
7,3,0.001080910817976357,pos_neg_null,hair,7,adjective,7
7,1,0.00003388582284848083,pos_neg_null,hair,7,adjective,7
7,2,0.00014188221743952908,pos_neg_null,hair,7,adjective,7
8,5,0.020683213392223697,pos_neg_null,hair,7,adjective,7
8,3,0.000640593118475586,pos_neg_null,hair,7,adjective,7
8,1,0.00002008216086805267,pos_neg_null,hair,7,adjective,7
8,7,0.022038381418290096,pos_neg_null,hair,7,adjective,7
8,2,0.00008408535710279764,pos_neg_null,hair,7,adjective,7
8,8,0.022042522023614567,pos_neg_null,hair,7,adjective,7
8,6,0.02197036673544592,pos_neg_null,hair,7,adjective,7
8,4,0.008283261079294836,pos_neg_null,hair,7,adjective,7
9,8,0.015480495401526004,pos_neg_null,hair,7,adjective,7
9,9,0.01548069721695104,pos_neg_null,hair,7,adjective,7
9,2,0.000059053267895244364,pos_neg_null,hair,7,adjective,7
9,3,0.00044988947351369324,pos_neg_null,hair,7,adjective,7
9,7,0.015477587141371082,pos_neg_null,hair,7,adjective,7
9,6,0.015429820331248633,pos_neg_null,hair,7,adjective,7
9,4,0.005817346235014962,pos_neg_null,hair,7,adjective,7
9,1,0.000014103730619906467,pos_neg_null,hair,7,adjective,7
9,5,0.01452585067685763,pos_neg_null,hair,7,adjective,7
10,10,0.011242964718418926,pos_neg_null,hair,7,adjective,7
10,9,0.011242948694803878,pos_neg_null,hair,7,adjective,7
10,2,0.000042887787971589593,pos_neg_null,hair,7,adjective,7
10,1,0.000010242918469947637,pos_neg_null,hair,7,adjective,7
10,3,0.0003267349130438051,pos_neg_null,hair,7,adjective,7
10,4,0.004224882394776621,pos_neg_null,hair,7,adjective,7
10,5,0.010549485678610686,pos_neg_null,hair,7,adjective,7
10,8,0.011242802102900755,pos_neg_null,hair,7,adjective,7
10,6,0.011205999030912314,pos_neg_null,hair,7,adjective,7
10,7,0.011240689961619907,pos_neg_null,hair,7,adjective,7
11,11,0.010267271920674144,pos_neg_null,hair,7,adjective,7
11,9,0.010267255509407582,pos_neg_null,hair,7,adjective,7
11,8,0.01026712163914224,pos_neg_null,hair,7,adjective,7
11,7,0.010265192795136,pos_neg_null,hair,7,adjective,7
11,5,0.009633973070177864,pos_neg_null,hair,7,adjective,7
11,4,0.003858235790439675,pos_neg_null,hair,7,adjective,7
11,3,0.0002983799826121445,pos_neg_null,hair,7,adjective,7
11,1,0.00000935401058457087,pos_neg_null,hair,7,adjective,7
11,10,0.010267270144753692,pos_neg_null,hair,7,adjective,7
11,6,0.010233512436263721,pos_neg_null,hair,7,adjective,7
11,2,0.000039165870919709704,pos_neg_null,hair,7,adjective,7
12,11,0.008619144561871983,pos_neg_null,hair,7,adjective,7
12,10,0.00861914307079511,pos_neg_null,hair,7,adjective,7
12,7,0.008617399182369995,pos_neg_null,hair,7,adjective,7
12,12,0.008619144764878295,pos_neg_null,hair,7,adjective,7
12,4,0.0032389024355859667,pos_neg_null,hair,7,adjective,7
12,1,0.00000785248214739384,pos_neg_null,hair,7,adjective,7
12,8,0.00861901840366413,pos_neg_null,hair,7,adjective,7
12,3,0.00025048330503990324,pos_neg_null,hair,7,adjective,7
12,9,0.008619130784750207,pos_neg_null,hair,7,adjective,7
12,5,0.008087504376660408,pos_neg_null,hair,7,adjective,7
12,6,0.008590804231442964,pos_neg_null,hair,7,adjective,7
12,2,0.000032878870448515885,pos_neg_null,hair,7,adjective,7
13,6,0.007499223776395176,pos_neg_null,hair,7,adjective,7
13,1,0.000006854715721250166,pos_neg_null,hair,7,adjective,7
13,8,0.007523852947943268,pos_neg_null,hair,7,adjective,7
13,13,0.007523963266750838,pos_neg_null,hair,7,adjective,7
13,3,0.00021865593792372903,pos_neg_null,hair,7,adjective,7
13,10,0.007523961774391593,pos_neg_null,hair,7,adjective,7
13,11,0.007523963076006534,pos_neg_null,hair,7,adjective,7
13,9,0.007523951049458564,pos_neg_null,hair,7,adjective,7
13,5,0.007059875126844164,pos_neg_null,hair,7,adjective,7
13,7,0.007522439471102092,pos_neg_null,hair,7,adjective,7
13,4,0.0028273550997088377,pos_neg_null,hair,7,adjective,7
13,12,0.007523963253232081,pos_neg_null,hair,7,adjective,7
13,2,0.000028701155371004455,pos_neg_null,hair,7,adjective,7
15,13,0.003304600359016337,pos_neg_null,hair,7,adjective,7
15,14,0.003304600359232165,pos_neg_null,hair,7,adjective,7
15,8,0.0033045519058860252,pos_neg_null,hair,7,adjective,7
15,11,0.0033046002752393144,pos_neg_null,hair,7,adjective,7
15,9,0.0033045949930584568,pos_neg_null,hair,7,adjective,7
15,5,0.003100768179169112,pos_neg_null,hair,7,adjective,7
15,15,0.0033046003592331744,pos_neg_null,hair,7,adjective,7
15,1,0.0000030106601042961896,pos_neg_null,hair,7,adjective,7
15,7,0.0033039310926375742,pos_neg_null,hair,7,adjective,7
15,3,0.00009603588764938243,pos_neg_null,hair,7,adjective,7
15,6,0.0032937345259687403,pos_neg_null,hair,7,adjective,7
15,2,0.000012605836177102643,pos_neg_null,hair,7,adjective,7
15,10,0.003304599703556935,pos_neg_null,hair,7,adjective,7
15,12,0.0033046003530785577,pos_neg_null,hair,7,adjective,7
15,4,0.0012418028034311144,pos_neg_null,hair,7,adjective,7
14,1,0.000002948908637341991,pos_neg_null,hair,7,adjective,7
14,14,0.003236819901521652,pos_neg_null,hair,7,adjective,7
14,9,0.003236814645413208,pos_neg_null,hair,7,adjective,7
14,2,0.00001234727863518363,pos_neg_null,hair,7,adjective,7
14,11,0.003236819819251574,pos_neg_null,hair,7,adjective,7
14,4,0.0012163322613827814,pos_neg_null,hair,7,adjective,7
14,12,0.0032368198954942614,pos_neg_null,hair,7,adjective,7
14,8,0.003236772441999159,pos_neg_null,hair,7,adjective,7
14,3,0.00009406610137754926,pos_neg_null,hair,7,adjective,7
14,5,0.0030371685109517096,pos_neg_null,hair,7,adjective,7
14,10,0.0032368192592949372,pos_neg_null,hair,7,adjective,7
14,13,0.003236819901310251,pos_neg_null,hair,7,adjective,7
14,7,0.003236164362213626,pos_neg_null,hair,7,adjective,7
14,6,0.0032261769367058334,pos_neg_null,hair,7,adjective,7
3,1,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,14,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,10,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,12,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,13,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,11,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,8,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,9,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,6,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,7,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,5,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,4,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,3,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,15,0.014117153997783986,pos_neg_null,hair,7,prior,7
3,2,0.014117153997783986,pos_neg_null,hair,7,prior,7
2,3,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,2,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,1,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,15,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,14,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,12,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,13,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,11,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,10,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,9,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,8,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,7,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,6,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,5,0.013823939862619457,pos_neg_null,hair,7,prior,7
2,4,0.013823939862619457,pos_neg_null,hair,7,prior,7
1,14,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,13,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,12,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,10,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,11,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,8,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,9,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,6,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,7,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,5,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,4,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,2,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,3,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,1,0.01235615503661506,pos_neg_null,hair,7,prior,7
1,15,0.01235615503661506,pos_neg_null,hair,7,prior,7
4,7,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,15,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,6,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,5,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,4,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,3,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,2,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,1,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,14,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,13,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,12,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,11,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,10,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,9,0.009745666287819121,pos_neg_null,hair,7,prior,7
4,8,0.009745666287819121,pos_neg_null,hair,7,prior,7
5,15,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,14,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,13,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,12,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,11,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,10,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,9,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,8,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,7,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,6,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,5,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,4,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,3,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,2,0.005782078025066075,pos_neg_null,hair,7,prior,7
5,1,0.005782078025066075,pos_neg_null,hair,7,prior,7
6,14,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,12,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,13,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,11,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,10,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,9,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,8,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,7,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,6,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,5,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,4,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,3,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,2,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,1,0.0035641914524926844,pos_neg_null,hair,7,prior,7
6,15,0.0035641914524926844,pos_neg_null,hair,7,prior,7
7,6,0.002276296051096139,pos_neg_null,hair,7,prior,7
7,13,0.002276296051096139,pos_neg_null,hair,7,prior,7
7,12,0.002276296051096139,pos_neg_null,hair,7,prior,7
7,11,0.002276296051096139,pos_neg_null,hair,7,prior,7
7,9,0.002276296051096139,pos_neg_null,hair,7,prior,7
7,14,0.002276296051096139,pos_neg_null,hair,7,prior,7
7,7,0.002276296051096139,pos_neg_null,hair,7,prior,7
7,5,0.002276296051096139,pos_neg_null,hair,7,prior,7
7,4,0.002276296051096139,pos_neg_null,hair,7,prior,7
