value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
3,1,0.0002520443491537068,pos_neg_null,kid,7,adjective,7
3,3,0.005124597596886597,pos_neg_null,kid,7,adjective,7
3,2,0.000815545486158189,pos_neg_null,kid,7,adjective,7
2,2,0.00032481994049992616,pos_neg_null,kid,7,adjective,7
2,1,0.00022824361428190943,pos_neg_null,kid,7,adjective,7
4,4,0.05867180581088968,pos_neg_null,kid,7,adjective,7
4,2,0.0006380162906370197,pos_neg_null,kid,7,adjective,7
4,3,0.004178061077896628,pos_neg_null,kid,7,adjective,7
4,1,0.0001971789476520739,pos_neg_null,kid,7,adjective,7
1,1,4.084391757918073e-7,pos_neg_null,kid,7,adjective,7
5,5,0.1115868872505069,pos_neg_null,kid,7,adjective,7
5,4,0.032443721293616466,pos_neg_null,kid,7,adjective,7
5,3,0.002298909558216373,pos_neg_null,kid,7,adjective,7
5,1,0.0001084944808094098,pos_neg_null,kid,7,adjective,7
5,2,0.0003510579959213046,pos_neg_null,kid,7,adjective,7
6,6,0.07679307008179106,pos_neg_null,kid,7,adjective,7
6,5,0.07213767171577326,pos_neg_null,kid,7,adjective,7
6,4,0.02097002554197454,pos_neg_null,kid,7,adjective,7
6,3,0.0014859020553838846,pos_neg_null,kid,7,adjective,7
6,2,0.0002269066200686622,pos_neg_null,kid,7,adjective,7
6,1,0.00007012549556651007,pos_neg_null,kid,7,adjective,7
7,7,0.04858825846419753,pos_neg_null,kid,7,adjective,7
7,5,0.045539598058453104,pos_neg_null,kid,7,adjective,7
7,1,0.00004426933675280276,pos_neg_null,kid,7,adjective,7
7,6,0.048478695427792415,pos_neg_null,kid,7,adjective,7
7,3,0.0009380311388898867,pos_neg_null,kid,7,adjective,7
7,4,0.01323811140203749,pos_neg_null,kid,7,adjective,7
7,2,0.00014324327399202133,pos_neg_null,kid,7,adjective,7
8,2,0.00005729064746788886,pos_neg_null,kid,7,adjective,7
8,7,0.019433045324428598,pos_neg_null,kid,7,adjective,7
8,1,0.000017705675770042508,pos_neg_null,kid,7,adjective,7
8,3,0.00037516882848570175,pos_neg_null,kid,7,adjective,7
8,8,0.019434307511050592,pos_neg_null,kid,7,adjective,7
8,5,0.018213721213475757,pos_neg_null,kid,7,adjective,7
8,4,0.005294628866951319,pos_neg_null,kid,7,adjective,7
8,6,0.019389223466167886,pos_neg_null,kid,7,adjective,7
9,9,0.01270149395303549,pos_neg_null,kid,7,adjective,7
9,8,0.012701476615526149,pos_neg_null,kid,7,adjective,7
9,7,0.01270065167846366,pos_neg_null,kid,7,adjective,7
9,6,0.01267201148602957,pos_neg_null,kid,7,adjective,7
9,5,0.011903750803802635,pos_neg_null,kid,7,adjective,7
9,4,0.003460355074732193,pos_neg_null,kid,7,adjective,7
9,3,0.0002451951576124999,pos_neg_null,kid,7,adjective,7
9,2,0.000037442847776855273,pos_neg_null,kid,7,adjective,7
9,1,0.000011571712870161567,pos_neg_null,kid,7,adjective,7
10,1,0.000007328276175219323,pos_neg_null,kid,7,adjective,7
10,2,0.000023712265623443792,pos_neg_null,kid,7,adjective,7
10,7,0.008043224382540794,pos_neg_null,kid,7,adjective,7
10,3,0.0001552801950732947,pos_neg_null,kid,7,adjective,7
10,10,0.008043758790122304,pos_neg_null,kid,7,adjective,7
10,6,0.00802508677039784,pos_neg_null,kid,7,adjective,7
10,9,0.008043757789772527,pos_neg_null,kid,7,adjective,7
10,8,0.008043746808795988,pos_neg_null,kid,7,adjective,7
10,4,0.002191416079580385,pos_neg_null,kid,7,adjective,7
10,5,0.007538553228035359,pos_neg_null,kid,7,adjective,7
14,14,0.007135536688400437,pos_neg_null,kid,7,adjective,7
14,13,0.007135536687484142,pos_neg_null,kid,7,adjective,7
14,12,0.00713553668340319,pos_neg_null,kid,7,adjective,7
14,11,0.0071355366687245745,pos_neg_null,kid,7,adjective,7
14,10,0.007135536569771709,pos_neg_null,kid,7,adjective,7
14,8,0.007135525941132575,pos_neg_null,kid,7,adjective,7
14,7,0.007135062502117789,pos_neg_null,kid,7,adjective,7
14,6,0.007118972810953632,pos_neg_null,kid,7,adjective,7
14,4,0.0019439829044049018,pos_neg_null,kid,7,adjective,7
14,3,0.00013774748092244818,pos_neg_null,kid,7,adjective,7
14,2,0.000021034909539182233,pos_neg_null,kid,7,adjective,7
14,5,0.006687373856476059,pos_neg_null,kid,7,adjective,7
14,9,0.007135535682245128,pos_neg_null,kid,7,adjective,7
14,1,0.000006500839222696566,pos_neg_null,kid,7,adjective,7
13,13,0.006382678895935664,pos_neg_null,kid,7,adjective,7
13,11,0.006382678879156231,pos_neg_null,kid,7,adjective,7
13,3,0.00012321398907446564,pos_neg_null,kid,7,adjective,7
13,8,0.006382669283413392,pos_neg_null,kid,7,adjective,7
13,9,0.006382677996758471,pos_neg_null,kid,7,adjective,7
13,12,0.006382678892286131,pos_neg_null,kid,7,adjective,7
13,10,0.006382678790643706,pos_neg_null,kid,7,adjective,7
13,6,0.006367862644574267,pos_neg_null,kid,7,adjective,7
13,4,0.0017388767238447522,pos_neg_null,kid,7,adjective,7
13,2,0.000018815553626003174,pos_neg_null,kid,7,adjective,7
13,5,0.005981800928560088,pos_neg_null,kid,7,adjective,7
13,7,0.006382254741025228,pos_neg_null,kid,7,adjective,7
13,1,0.000005814947232400989,pos_neg_null,kid,7,adjective,7
11,11,0.004872885881613506,pos_neg_null,kid,7,adjective,7
11,10,0.004872885814052165,pos_neg_null,kid,7,adjective,7
11,7,0.004872562071398318,pos_neg_null,kid,7,adjective,7
11,2,0.00001436482194311429,pos_neg_null,kid,7,adjective,7
11,6,0.004861574358412811,pos_neg_null,kid,7,adjective,7
11,1,0.000004439448514903411,pos_neg_null,kid,7,adjective,7
11,8,0.004872878555712956,pos_neg_null,kid,7,adjective,7
11,4,0.0013275535238322798,pos_neg_null,kid,7,adjective,7
11,5,0.004566833745416299,pos_neg_null,kid,7,adjective,7
11,3,0.00009406829313326389,pos_neg_null,kid,7,adjective,7
11,9,0.004872885207956789,pos_neg_null,kid,7,adjective,7
12,8,0.004777965426039808,pos_neg_null,kid,7,adjective,7
12,12,0.004777972619086783,pos_neg_null,kid,7,adjective,7
12,11,0.00477797260926135,pos_neg_null,kid,7,adjective,7
12,9,0.0047779719487123186,pos_neg_null,kid,7,adjective,7
12,5,0.004477881706386666,pos_neg_null,kid,7,adjective,7
12,2,0.00001408502629620255,pos_neg_null,kid,7,adjective,7
12,6,0.00476688141004151,pos_neg_null,kid,7,adjective,7
12,4,0.0013016956539274728,pos_neg_null,kid,7,adjective,7
12,3,0.00009223604634069426,pos_neg_null,kid,7,adjective,7
12,10,0.004777972543002267,pos_neg_null,kid,7,adjective,7
12,1,0.000004352977664510823,pos_neg_null,kid,7,adjective,7
12,7,0.004777655106154763,pos_neg_null,kid,7,adjective,7
15,1,0.000003966110034392834,pos_neg_null,kid,7,adjective,7
15,12,0.004353333880650033,pos_neg_null,kid,7,adjective,7
15,11,0.004353333871694735,pos_neg_null,kid,7,adjective,7
15,13,0.004353333883139789,pos_neg_null,kid,7,adjective,7
15,15,0.004353333883725384,pos_neg_null,kid,7,adjective,7
15,2,0.000012833230131984514,pos_neg_null,kid,7,adjective,7
15,3,0.000084038636794995,pos_neg_null,kid,7,adjective,7
15,4,0.0011860084274858088,pos_neg_null,kid,7,adjective,7
15,14,0.004353333883698848,pos_neg_null,kid,7,adjective,7
15,6,0.0043432283944996935,pos_neg_null,kid,7,adjective,7
15,9,0.0043533332698515,pos_neg_null,kid,7,adjective,7
15,7,0.004353044586438978,pos_neg_null,kid,7,adjective,7
15,10,0.004353333811324378,pos_neg_null,kid,7,adjective,7
15,5,0.004079913323083892,pos_neg_null,kid,7,adjective,7
15,8,0.0043533273268766244,pos_neg_null,kid,7,adjective,7
3,1,0.014764360450986933,pos_neg_null,kid,7,prior,7
3,14,0.014764360450986933,pos_neg_null,kid,7,prior,7
3,10,0.014764360450986933,pos_neg_null,kid,7,prior,7
3,12,0.014764360450986933,pos_neg_null,kid,7,prior,7
3,13,0.014764360450986933,pos_neg_null,kid,7,prior,7
3,11,0.014764360450986933,pos_neg_null,kid,7,prior,7
3,8,0.014764360450986933,pos_neg_null,kid,7,prior,7
3,9,0.014764360450986933,pos_neg_null,kid,7,prior,7
3,6,0.014764360450986933,pos_neg_null,kid,7,prior,7
3,7,0.014764360450986933,pos_neg_null,kid,7,prior,7
