value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
1,1,0.0000017359634423961289,pos_neg_null,mov,7,adjective,7
2,2,0.0003263783762948387,pos_neg_null,mov,7,adjective,7
2,1,0.0001336383326315185,pos_neg_null,mov,7,adjective,7
3,3,0.0031459646967209125,pos_neg_null,mov,7,adjective,7
3,2,0.0005837101342825263,pos_neg_null,mov,7,adjective,7
3,1,0.00012757498380428596,pos_neg_null,mov,7,adjective,7
4,4,0.017919375549918386,pos_neg_null,mov,7,adjective,7
4,3,0.0023231192586688145,pos_neg_null,mov,7,adjective,7
4,2,0.00040602181969011993,pos_neg_null,mov,7,adjective,7
4,1,0.00008873963981252789,pos_neg_null,mov,7,adjective,7
5,5,0.04551858487921943,pos_neg_null,mov,7,adjective,7
5,4,0.012926903760186743,pos_neg_null,mov,7,adjective,7
5,3,0.0016545114063411413,pos_neg_null,mov,7,adjective,7
5,2,0.00028916627047619563,pos_neg_null,mov,7,adjective,7
5,1,0.00006319983174198407,pos_neg_null,mov,7,adjective,7
6,6,0.048885608016039105,pos_neg_null,mov,7,adjective,7
6,5,0.0343350195169844,pos_neg_null,mov,7,adjective,7
6,4,0.009728038258089487,pos_neg_null,mov,7,adjective,7
6,3,0.0012450893545678794,pos_neg_null,mov,7,adjective,7
6,2,0.0002176097690775143,pos_neg_null,mov,7,adjective,7
6,1,0.00004756052899414166,pos_neg_null,mov,7,adjective,7
7,7,0.03653987595907344,pos_neg_null,mov,7,adjective,7
7,6,0.03452191017982625,pos_neg_null,mov,7,adjective,7
7,5,0.024240671270709974,pos_neg_null,mov,7,adjective,7
7,4,0.006868036798598236,pos_neg_null,mov,7,adjective,7
7,3,0.0008790384328108685,pos_neg_null,mov,7,adjective,7
7,2,0.00015363343174724993,pos_neg_null,mov,7,adjective,7
7,1,0.000033577937773932476,pos_neg_null,mov,7,adjective,7
8,8,0.03143209452750841,pos_neg_null,mov,7,adjective,7
8,7,0.031202001229166276,pos_neg_null,mov,7,adjective,7
8,6,0.029478157088234598,pos_neg_null,mov,7,adjective,7
8,5,0.020699037565418996,pos_neg_null,mov,7,adjective,7
8,4,0.005864596326861587,pos_neg_null,mov,7,adjective,7
8,3,0.0007506083201658094,pos_neg_null,mov,7,adjective,7
8,2,0.00013118713337295393,pos_neg_null,mov,7,adjective,7
8,1,0.000028672101840337093,pos_neg_null,mov,7,adjective,7
9,1,0.000019301800829988068,pos_neg_null,mov,7,adjective,7
9,6,0.01984442996612615,pos_neg_null,mov,7,adjective,7
9,2,0.00008831399713639166,pos_neg_null,mov,7,adjective,7
