value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
8,1,0.0002938311185409331,pos_neg_null,move,7,adjective,7
8,8,0.006207458832962908,pos_neg_null,move,7,adjective,7
8,6,0.0004172933602703573,pos_neg_null,move,7,adjective,7
8,7,0.0011261627499424014,pos_neg_null,move,7,adjective,7
8,2,0.0003076494918279102,pos_neg_null,move,7,adjective,7
8,4,0.00034392305862690926,pos_neg_null,move,7,adjective,7
8,5,0.00036986328494754235,pos_neg_null,move,7,adjective,7
8,3,0.0003240590778574526,pos_neg_null,move,7,adjective,7
7,3,0.0002813583003376969,pos_neg_null,move,7,adjective,7
7,2,0.00026711098079015383,pos_neg_null,move,7,adjective,7
7,1,0.00025511343377755035,pos_neg_null,move,7,adjective,7
7,6,0.00036230724151946304,pos_neg_null,move,7,adjective,7
7,7,0.0004484196241959909,pos_neg_null,move,7,adjective,7
7,4,0.00029860483422339,pos_neg_null,move,7,adjective,7
7,5,0.0003211269559186179,pos_neg_null,move,7,adjective,7
9,9,0.06571064636580676,pos_neg_null,move,7,adjective,7
9,8,0.0052160231386978295,pos_neg_null,move,7,adjective,7
9,6,0.00033552589641114235,pos_neg_null,move,7,adjective,7
9,7,0.0009054943168385291,pos_neg_null,move,7,adjective,7
9,5,0.00029738961135445025,pos_neg_null,move,7,adjective,7
9,4,0.00027653229964524976,pos_neg_null,move,7,adjective,7
9,3,0.0002605606102091955,pos_neg_null,move,7,adjective,7
9,2,0.0002473664365498532,pos_neg_null,move,7,adjective,7
9,1,0.00023625573476189883,pos_neg_null,move,7,adjective,7
6,6,0.000001358163472444405,pos_neg_null,move,7,adjective,7
6,5,0.0002197708305762342,pos_neg_null,move,7,adjective,7
6,4,0.00020435728369058002,pos_neg_null,move,7,adjective,7
6,3,0.00019255421014984455,pos_neg_null,move,7,adjective,7
6,2,0.00018280371990684517,pos_neg_null,move,7,adjective,7
6,1,0.0001745929147307593,pos_neg_null,move,7,adjective,7
10,10,0.15728156442813626,pos_neg_null,move,7,adjective,7
10,9,0.04345510901154533,pos_neg_null,move,7,adjective,7
10,8,0.00343052727569276,pos_neg_null,move,7,adjective,7
10,7,0.0005955347338959167,pos_neg_null,move,7,adjective,7
10,6,0.00022067209226894727,pos_neg_null,move,7,adjective,7
10,5,0.00019559023150994003,pos_neg_null,move,7,adjective,7
10,4,0.00018187258210282818,pos_neg_null,move,7,adjective,7
10,3,0.00017136815856168635,pos_neg_null,move,7,adjective,7
10,2,0.00016269047991359972,pos_neg_null,move,7,adjective,7
10,1,0.00015538308028707572,pos_neg_null,move,7,adjective,7
11,11,0.10660900818955511,pos_neg_null,move,7,adjective,7
11,10,0.09848789053181503,pos_neg_null,move,7,adjective,7
11,9,0.027205264950613164,pos_neg_null,move,7,adjective,7
11,8,0.002147696912478822,pos_neg_null,move,7,adjective,7
