value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
4,1,0.006572469835453378,pos_neg_null,cig,1,1,10
4,4,0.00007039688066856233,pos_neg_null,cig,1,1,10
4,3,0.017888830484303498,pos_neg_null,cig,1,1,10
4,2,0.0114538370895277,pos_neg_null,cig,1,1,10
3,3,7.319355177217111e-7,pos_neg_null,cig,1,1,10
3,2,0.011425590882155265,pos_neg_null,cig,1,1,10
3,1,0.006556261525131665,pos_neg_null,cig,1,1,10
5,5,0.0032320543306615028,pos_neg_null,cig,1,1,10
5,4,0.021952048547523882,pos_neg_null,cig,1,1,10
5,3,0.017513848834200946,pos_neg_null,cig,1,1,10
5,2,0.011213744326861863,pos_neg_null,cig,1,1,10
5,1,0.00643469919771884,pos_neg_null,cig,1,1,10
2,2,2.0900039476494013e-9,pos_neg_null,cig,1,1,10
2,1,0.005988970663871828,pos_neg_null,cig,1,1,10
6,6,0.017354412260925094,pos_neg_null,cig,1,1,10
6,5,0.020168514663413187,pos_neg_null,cig,1,1,10
6,4,0.01882789050486622,pos_neg_null,cig,1,1,10
6,3,0.015021323748225233,pos_neg_null,cig,1,1,10
6,2,0.009617833610318552,pos_neg_null,cig,1,1,10
6,1,0.005518929664542234,pos_neg_null,cig,1,1,10
1,1,3.2299396864983995e-13,pos_neg_null,cig,1,1,10
7,7,0.017859112236027798,pos_neg_null,cig,1,1,10
7,6,0.017943518641390883,pos_neg_null,cig,1,1,10
7,5,0.017680768361318152,pos_neg_null,cig,1,1,10
7,4,0.01650550753510297,pos_neg_null,cig,1,1,10
7,3,0.013168473241836225,pos_neg_null,cig,1,1,10
7,2,0.00843149290067573,pos_neg_null,cig,1,1,10
7,1,0.004838180631030411,pos_neg_null,cig,1,1,10
8,8,0.015874962457139295,pos_neg_null,cig,1,1,10
8,7,0.015874823306001762,pos_neg_null,cig,1,1,10
8,6,0.01583958848243387,pos_neg_null,cig,1,1,10
8,5,0.015607646442905678,pos_neg_null,cig,1,1,10
8,4,0.014570188393633651,pos_neg_null,cig,1,1,10
8,3,0.011624431153178752,pos_neg_null,cig,1,1,10
8,2,0.007442875642640096,pos_neg_null,cig,1,1,10
8,1,0.004270889769770575,pos_neg_null,cig,1,1,10
15,1,0.0038656820117278163,pos_neg_null,cig,1,1,10
15,6,0.014336781226035935,pos_neg_null,cig,1,1,10
15,2,0.006736720458328876,pos_neg_null,cig,1,1,10
15,15,0.014373695178754156,pos_neg_null,cig,1,1,10
15,14,0.01437369517845804,pos_neg_null,cig,1,1,10
15,13,0.014373695176500464,pos_neg_null,cig,1,1,10
15,12,0.01437369515959745,pos_neg_null,cig,1,1,10
15,11,0.014373694896187167,pos_neg_null,cig,1,1,10
15,10,0.014373690859527909,pos_neg_null,cig,1,1,10
15,9,0.014373641472408005,pos_neg_null,cig,1,1,10
15,8,0.014373112247053201,pos_neg_null,cig,1,1,10
15,7,0.014368673087215981,pos_neg_null,cig,1,1,10
15,5,0.014126845072610987,pos_neg_null,cig,1,1,10
15,4,0.013187817578298356,pos_neg_null,cig,1,1,10
15,3,0.010521543946994782,pos_neg_null,cig,1,1,10
9,8,0.013137687504644011,pos_neg_null,cig,1,1,10
9,4,0.012054273509723441,pos_neg_null,cig,1,1,10
9,9,0.013137999788215551,pos_neg_null,cig,1,1,10
9,7,0.013133629907811669,pos_neg_null,cig,1,1,10
9,6,0.013104479275789654,pos_neg_null,cig,1,1,10
9,5,0.012912587948969368,pos_neg_null,cig,1,1,10
9,3,0.00961717643792394,pos_neg_null,cig,1,1,10
9,2,0.006157673207193665,pos_neg_null,cig,1,1,10
9,1,0.0035334116501327616,pos_neg_null,cig,1,1,10
10,6,0.010910380681448712,pos_neg_null,cig,1,1,10
10,10,0.01093846274851066,pos_neg_null,cig,1,1,10
10,9,0.010938431560763308,pos_neg_null,cig,1,1,10
10,5,0.010750617948339163,pos_neg_null,cig,1,1,10
10,4,0.010036012119333955,pos_neg_null,cig,1,1,10
10,3,0.008006961116895382,pos_neg_null,cig,1,1,10
10,1,0.0029418083233903464,pos_neg_null,cig,1,1,10
10,2,0.005126686638099316,pos_neg_null,cig,1,1,10
10,8,0.010938028816939841,pos_neg_null,cig,1,1,10
10,7,0.010934650588384472,pos_neg_null,cig,1,1,10
11,8,0.008226120845797763,pos_neg_null,cig,1,1,10
11,9,0.008226423735780702,pos_neg_null,cig,1,1,10
11,10,0.008226452001365042,pos_neg_null,cig,1,1,10
11,4,0.007547744651730524,pos_neg_null,cig,1,1,10
11,11,0.008226454104520031,pos_neg_null,cig,1,1,10
11,7,0.008223580194570172,pos_neg_null,cig,1,1,10
11,5,0.008085175481808824,pos_neg_null,cig,1,1,10
11,1,0.0022124343589134095,pos_neg_null,cig,1,1,10
11,3,0.006021764145764319,pos_neg_null,cig,1,1,10
11,6,0.008205327619932536,pos_neg_null,cig,1,1,10
11,2,0.0038556073063391733,pos_neg_null,cig,1,1,10
12,5,0.0050051086315959295,pos_neg_null,cig,1,1,10
12,11,0.005092566954833611,pos_neg_null,cig,1,1,10
12,6,0.005079488526624894,pos_neg_null,cig,1,1,10
12,2,0.0023868045229718587,pos_neg_null,cig,1,1,10
12,10,0.005092565524654541,pos_neg_null,cig,1,1,10
12,8,0.0050923605235890824,pos_neg_null,cig,1,1,10
12,3,0.0037277587569017143,pos_neg_null,cig,1,1,10
12,4,0.004672413355833173,pos_neg_null,cig,1,1,10
12,12,0.005092567041374628,pos_neg_null,cig,1,1,10
12,7,0.005090787739495812,pos_neg_null,cig,1,1,10
12,1,0.0013696022221844893,pos_neg_null,cig,1,1,10
12,9,0.0050925480269118535,pos_neg_null,cig,1,1,10
13,13,0.0037064245418717548,pos_neg_null,cig,1,1,10
13,5,0.00364277137092485,pos_neg_null,cig,1,1,10
13,2,0.0017371417534055547,pos_neg_null,cig,1,1,10
13,11,0.0037064244700860025,pos_neg_null,cig,1,1,10
13,3,0.0027131025272124918,pos_neg_null,cig,1,1,10
13,1,0.0009968110847851613,pos_neg_null,cig,1,1,10
13,12,0.003706424538009409,pos_neg_null,cig,1,1,10
13,9,0.0037064106941429487,pos_neg_null,cig,1,1,10
13,7,0.00370512953821293,pos_neg_null,cig,1,1,10
13,8,0.0037062742272275587,pos_neg_null,cig,1,1,10
13,6,0.0036969058507388295,pos_neg_null,cig,1,1,10
13,10,0.003706423429186446,pos_neg_null,cig,1,1,10
13,4,0.003400632205724737,pos_neg_null,cig,1,1,10
14,1,0.0009400819986591758,pos_neg_null,cig,1,1,10
14,10,0.003495488762484779,pos_neg_null,cig,1,1,10
14,2,0.0016382800276019812,pos_neg_null,cig,1,1,10
14,5,0.003435459179083599,pos_neg_null,cig,1,1,10
14,13,0.0034954898123145833,pos_neg_null,cig,1,1,10
14,11,0.0034954897441461497,pos_neg_null,cig,1,1,10
14,12,0.0034954898082039964,pos_neg_null,cig,1,1,10
14,3,0.002558698318346734,pos_neg_null,cig,1,1,10
14,9,0.003495476752199855,pos_neg_null,cig,1,1,10
14,6,0.003486512834843122,pos_neg_null,cig,1,1,10
14,14,0.0034954898127304065,pos_neg_null,cig,1,1,10
14,4,0.003207100291577802,pos_neg_null,cig,1,1,10
14,8,0.003495348051694284,pos_neg_null,cig,1,1,10
14,7,0.0034942685075829267,pos_neg_null,cig,1,1,10
4,1,0.006681409561228502,pos_neg_null,cig,1,1,9
4,4,0.00012806914171582112,pos_neg_null,cig,1,1,9
4,3,0.017164193217864672,pos_neg_null,cig,1,1,9
4,2,0.011104454984620562,pos_neg_null,cig,1,1,9
3,3,0.0000021077905598265467,pos_neg_null,cig,1,1,9
3,2,0.011077070385398319,pos_neg_null,cig,1,1,9
3,1,0.006664932595602781,pos_neg_null,cig,1,1,9
5,5,0.0038402243160878024,pos_neg_null,cig,1,1,9
5,4,0.02159231233631053,pos_neg_null,cig,1,1,9
5,3,0.016804401251522213,pos_neg_null,cig,1,1,9
5,2,0.010871685891231457,pos_neg_null,cig,1,1,9
5,1,0.006541355353409898,pos_neg_null,cig,1,1,9
2,2,1.0716203586571406e-8,pos_neg_null,cig,1,1,9
2,1,0.0060882387987026805,pos_neg_null,cig,1,1,9
6,6,0.017117258477396032,pos_neg_null,cig,1,1,9
6,5,0.020274229029785255,pos_neg_null,cig,1,1,9
6,4,0.018519351008850722,pos_neg_null,cig,1,1,9
6,3,0.01441284288701088,pos_neg_null,cig,1,1,9
6,2,0.009324456035174589,pos_neg_null,cig,1,1,9
6,1,0.0056104067955568574,pos_neg_null,cig,1,1,9
1,1,3.920948849474339e-12,pos_neg_null,cig,1,1,9
7,7,0.018065702069530724,pos_neg_null,cig,1,1,9
7,6,0.018193924717596878,pos_neg_null,cig,1,1,9
7,5,0.017773443070164135,pos_neg_null,cig,1,1,9
7,4,0.01623502577427883,pos_neg_null,cig,1,1,9
7,3,0.012635047288613057,pos_neg_null,cig,1,1,9
7,2,0.008174302867840275,pos_neg_null,cig,1,1,9
7,1,0.004918374239276714,pos_neg_null,cig,1,1,9
8,8,0.016130706716675856,pos_neg_null,cig,1,1,9
8,7,0.016129781957009256,pos_neg_null,cig,1,1,9
8,6,0.01606063371218355,pos_neg_null,cig,1,1,9
8,5,0.01568945477047994,pos_neg_null,cig,1,1,9
8,4,0.01433142141213562,pos_neg_null,cig,1,1,9
8,3,0.011153550956614916,pos_neg_null,cig,1,1,9
8,2,0.0072158418950617085,pos_neg_null,cig,1,1,9
8,1,0.004341680442376605,pos_neg_null,cig,1,1,9
15,1,0.003929756301733657,pos_neg_null,cig,1,1,9
15,6,0.014536854422602519,pos_neg_null,cig,1,1,9
15,2,0.006531226914505553,pos_neg_null,cig,1,1,9
15,15,0.014611941446134202,pos_neg_null,cig,1,1,9
15,14,0.01461194144247421,pos_neg_null,cig,1,1,9
15,13,0.01461194142227718,pos_neg_null,cig,1,1,9
15,12,0.014611941280467076,pos_neg_null,cig,1,1,9
15,11,0.014611939574558658,pos_neg_null,cig,1,1,9
15,10,0.014611919660103943,pos_neg_null,cig,1,1,9
15,9,0.014611730902253007,pos_neg_null,cig,1,1,9
15,8,0.014610141150383947,pos_neg_null,cig,1,1,9
15,7,0.014599442112890708,pos_neg_null,cig,1,1,9
15,5,0.014200891699276887,pos_neg_null,cig,1,1,9
15,4,0.012971704010604693,pos_neg_null,cig,1,1,9
15,3,0.010095339290901891,pos_neg_null,cig,1,1,9
9,8,0.013354342854439002,pos_neg_null,cig,1,1,9
9,4,0.011856735741349359,pos_neg_null,cig,1,1,9
9,9,0.013355259298343077,pos_neg_null,cig,1,1,9
9,7,0.013344563440713515,pos_neg_null,cig,1,1,9
9,6,0.013287355405146126,pos_neg_null,cig,1,1,9
9,5,0.012980269980890387,pos_neg_null,cig,1,1,9
9,3,0.00922760572501723,pos_neg_null,cig,1,1,9
9,2,0.005969842630449512,pos_neg_null,cig,1,1,9
9,1,0.003591978506406444,pos_neg_null,cig,1,1,9
10,6,0.011062637642357886,pos_neg_null,cig,1,1,9
10,10,0.011119735447749747,pos_neg_null,cig,1,1,9
10,9,0.011119619114293142,pos_neg_null,cig,1,1,9
10,5,0.010806967896933967,pos_neg_null,cig,1,1,9
10,4,0.009871548335114248,pos_neg_null,cig,1,1,9
10,3,0.007682616693076271,pos_neg_null,cig,1,1,9
10,1,0.0029905692610677445,pos_neg_null,cig,1,1,9
10,2,0.004970304758837552,pos_neg_null,cig,1,1,9
10,8,0.011118409303122358,pos_neg_null,cig,1,1,9
10,7,0.01111026726830045,pos_neg_null,cig,1,1,9
11,8,0.008361778897389581,pos_neg_null,cig,1,1,9
11,9,0.00836268875537752,pos_neg_null,cig,1,1,9
11,10,0.00836279678660039,pos_neg_null,cig,1,1,9
11,4,0.007424057012358672,pos_neg_null,cig,1,1,9
11,11,0.008362806972781862,pos_neg_null,cig,1,1,9
11,7,0.008355655548887148,pos_neg_null,cig,1,1,9
11,5,0.008127554368768544,pos_neg_null,cig,1,1,9
11,1,0.0022491058079104633,pos_neg_null,cig,1,1,9
11,3,0.0057778356947929205,pos_neg_null,cig,1,1,9
11,6,0.008319834921112153,pos_neg_null,cig,1,1,9
