value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
4,1,0.012956330609415461,pos_neg_null,eat,1,1,10
4,4,0.00014086130345472607,pos_neg_null,eat,1,1,10
4,3,0.02760078245533715,pos_neg_null,eat,1,1,10
4,2,0.01688567943913297,pos_neg_null,eat,1,1,10
5,3,0.025540176093945544,pos_neg_null,eat,1,1,10
5,2,0.015625036248129207,pos_neg_null,eat,1,1,10
5,1,0.011989042913233074,pos_neg_null,eat,1,1,10
5,5,0.019681715619626457,pos_neg_null,eat,1,1,10
5,4,0.03882502036028171,pos_neg_null,eat,1,1,10
6,6,0.03892730361599723,pos_neg_null,eat,1,1,10
6,5,0.0387573117478546,pos_neg_null,eat,1,1,10
6,4,0.034169466475481074,pos_neg_null,eat,1,1,10
6,3,0.02247762352013419,pos_neg_null,eat,1,1,10
6,2,0.013751419762417226,pos_neg_null,eat,1,1,10
6,1,0.010551422667530806,pos_neg_null,eat,1,1,10
3,3,1.4673998612693731e-7,pos_neg_null,eat,1,1,10
3,2,0.013427584814269453,pos_neg_null,eat,1,1,10
3,1,0.010302945094199567,pos_neg_null,eat,1,1,10
2,2,2.4889498137919738e-11,pos_neg_null,eat,1,1,10
2,1,0.006584655693278261,pos_neg_null,eat,1,1,10
7,7,0.023821960269865352,pos_neg_null,eat,1,1,10
7,6,0.023809607102413578,pos_neg_null,eat,1,1,10
7,5,0.02353471747851225,pos_neg_null,eat,1,1,10
7,4,0.020748826573000336,pos_neg_null,eat,1,1,10
7,3,0.013649154063529784,pos_neg_null,eat,1,1,10
7,2,0.00835031544866716,pos_neg_null,eat,1,1,10
7,1,0.00640717171232738,pos_neg_null,eat,1,1,10
8,8,0.015541452793565468,pos_neg_null,eat,1,1,10
8,7,0.015541261963729626,pos_neg_null,eat,1,1,10
8,6,0.015532306018333473,pos_neg_null,eat,1,1,10
8,5,0.015352980515760725,pos_neg_null,eat,1,1,10
8,4,0.013535591850253638,pos_neg_null,eat,1,1,10
8,3,0.008904088038673841,pos_neg_null,eat,1,1,10
8,2,0.00544736644919974,pos_neg_null,eat,1,1,10
8,1,0.004179747751393613,pos_neg_null,eat,1,1,10
9,9,0.01408962108089023,pos_neg_null,eat,1,1,10
9,8,0.014089614201506092,pos_neg_null,eat,1,1,10
9,7,0.014089424328052129,pos_neg_null,eat,1,1,10
9,6,0.014081305031482791,pos_neg_null,eat,1,1,10
9,5,0.013918731805158877,pos_neg_null,eat,1,1,10
9,4,0.01227112042475224,pos_neg_null,eat,1,1,10
9,3,0.008072283635910242,pos_neg_null,eat,1,1,10
9,2,0.004938482959253282,pos_neg_null,eat,1,1,10
9,1,0.003789282993301642,pos_neg_null,eat,1,1,10
1,1,6.19442899258983e-17,pos_neg_null,eat,1,1,10
10,8,0.010492967953346437,pos_neg_null,eat,1,1,10
10,4,0.009138679847941932,pos_neg_null,eat,1,1,10
10,10,0.010492973815451946,pos_neg_null,eat,1,1,10
10,9,0.010492973492742877,pos_neg_null,eat,1,1,10
10,7,0.010492826548760112,pos_neg_null,eat,1,1,10
10,6,0.010486779859511755,pos_neg_null,eat,1,1,10
10,5,0.010365706590258816,pos_neg_null,eat,1,1,10
10,3,0.006011677274518623,pos_neg_null,eat,1,1,10
10,2,0.0036778397682495096,pos_neg_null,eat,1,1,10
10,1,0.00282199529711925,pos_neg_null,eat,1,1,10
11,2,0.001989271824336219,pos_neg_null,eat,1,1,10
11,10,0.005675444961133759,pos_neg_null,eat,1,1,10
11,11,0.005675444966231836,pos_neg_null,eat,1,1,10
11,9,0.005675444782238304,pos_neg_null,eat,1,1,10
11,5,0.005606608595989063,pos_neg_null,eat,1,1,10
11,4,0.004942933754232763,pos_neg_null,eat,1,1,10
11,3,0.003251599028984926,pos_neg_null,eat,1,1,10
11,1,0.0015263622361777124,pos_neg_null,eat,1,1,10
11,6,0.005672094766779961,pos_neg_null,eat,1,1,10
11,8,0.005675441786086769,pos_neg_null,eat,1,1,10
11,7,0.005675365303102972,pos_neg_null,eat,1,1,10
12,12,0.005312480462749614,pos_neg_null,eat,1,1,10
12,8,0.005312477485813776,pos_neg_null,eat,1,1,10
12,9,0.005312480290350968,pos_neg_null,eat,1,1,10
12,10,0.0053124804578054356,pos_neg_null,eat,1,1,10
12,4,0.004626815897857409,pos_neg_null,eat,1,1,10
12,6,0.005309344520067286,pos_neg_null,eat,1,1,10
12,11,0.005312480462650098,pos_neg_null,eat,1,1,10
12,7,0.005312405894183594,pos_neg_null,eat,1,1,10
12,3,0.0030436479282940285,pos_neg_null,eat,1,1,10
12,1,0.0014287460466547186,pos_neg_null,eat,1,1,10
12,5,0.005248046418338597,pos_neg_null,eat,1,1,10
12,2,0.0018620509518495914,pos_neg_null,eat,1,1,10
13,11,0.0041905901786121955,pos_neg_null,eat,1,1,10
13,6,0.00418811648477358,pos_neg_null,eat,1,1,10
13,2,0.0014688228005273261,pos_neg_null,eat,1,1,10
13,10,0.004190590174790629,pos_neg_null,eat,1,1,10
13,8,0.004190587830424538,pos_neg_null,eat,1,1,10
13,3,0.0024008899807039952,pos_neg_null,eat,1,1,10
13,7,0.004190531357523711,pos_neg_null,eat,1,1,10
13,5,0.004139763323782627,pos_neg_null,eat,1,1,10
13,13,0.004190590178697891,pos_neg_null,eat,1,1,10
13,12,0.004190590178693309,pos_neg_null,eat,1,1,10
13,1,0.001127023279038196,pos_neg_null,eat,1,1,10
