value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
3,1,0.017703364753636944,pos_neg_null,girl,1,1,10
3,3,0.0008166568149737658,pos_neg_null,girl,1,1,10
3,2,0.038034515777746684,pos_neg_null,girl,1,1,10
2,2,5.879173774671088e-7,pos_neg_null,girl,1,1,10
2,1,0.01482114120042222,pos_neg_null,girl,1,1,10
4,4,0.03897635920343822,pos_neg_null,girl,1,1,10
4,3,0.04540757200647718,pos_neg_null,girl,1,1,10
4,2,0.028940431964402585,pos_neg_null,girl,1,1,10
4,1,0.013470475769627026,pos_neg_null,girl,1,1,10
1,1,3.478965619842596e-11,pos_neg_null,girl,1,1,10
5,5,0.04012012798040044,pos_neg_null,girl,1,1,10
5,4,0.040014736592875536,pos_neg_null,girl,1,1,10
5,3,0.036464272237967804,pos_neg_null,girl,1,1,10
5,2,0.0232404364118793,pos_neg_null,girl,1,1,10
5,1,0.01081738295913648,pos_neg_null,girl,1,1,10
6,6,0.02941450812204474,pos_neg_null,girl,1,1,10
6,5,0.029408484704548602,pos_neg_null,girl,1,1,10
6,4,0.029263843037821986,pos_neg_null,girl,1,1,10
6,3,0.026667293855191596,pos_neg_null,girl,1,1,10
6,2,0.016996350374796847,pos_neg_null,girl,1,1,10
6,1,0.007911040380371822,pos_neg_null,girl,1,1,10
7,7,0.02313777139832942,pos_neg_null,girl,1,1,10
7,5,0.023132283700529114,pos_neg_null,girl,1,1,10
7,4,0.023018510682189276,pos_neg_null,girl,1,1,10
7,3,0.02097610309341293,pos_neg_null,girl,1,1,10
7,1,0.006222708591877843,pos_neg_null,girl,1,1,10
7,6,0.023137604733726242,pos_neg_null,girl,1,1,10
7,2,0.01336908047773656,pos_neg_null,girl,1,1,10
8,7,0.019146960608490006,pos_neg_null,girl,1,1,10
8,5,0.019142413062259545,pos_neg_null,girl,1,1,10
8,3,0.01735813182342502,pos_neg_null,girl,1,1,10
8,2,0.011063173186033969,pos_neg_null,girl,1,1,10
8,1,0.005149411954906661,pos_neg_null,girl,1,1,10
8,6,0.019146816320350965,pos_neg_null,girl,1,1,10
8,4,0.01904826368467987,pos_neg_null,girl,1,1,10
8,8,0.01914696476701552,pos_neg_null,girl,1,1,10
9,1,0.0026892713488154223,pos_neg_null,girl,1,1,10
9,8,0.009999468749986359,pos_neg_null,girl,1,1,10
