value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
3,1,0.011946325216553215,pos_neg_null,poem,1,1,10
3,3,0.00022791274723155236,pos_neg_null,poem,1,1,10
3,2,0.025866029097233848,pos_neg_null,poem,1,1,10
2,2,3.9201101609185205e-7,pos_neg_null,poem,1,1,10
2,1,0.011567827783949549,pos_neg_null,poem,1,1,10
1,1,3.271459971369779e-11,pos_neg_null,poem,1,1,10
4,4,0.011966522220478238,pos_neg_null,poem,1,1,10
4,3,0.02928754385985182,pos_neg_null,poem,1,1,10
4,2,0.018934274764905827,pos_neg_null,poem,1,1,10
4,1,0.008744867765780536,pos_neg_null,poem,1,1,10
5,5,0.028872473205952473,pos_neg_null,poem,1,1,10
5,4,0.02954981715233371,pos_neg_null,poem,1,1,10
5,3,0.026884327907420347,pos_neg_null,poem,1,1,10
5,2,0.01738060569041852,pos_neg_null,poem,1,1,10
5,1,0.008027299716469422,pos_neg_null,poem,1,1,10
6,6,0.02493145322341175,pos_neg_null,poem,1,1,10
6,5,0.024923583824111997,pos_neg_null,poem,1,1,10
6,4,0.024702253827736716,pos_neg_null,poem,1,1,10
6,3,0.02247403050021093,pos_neg_null,poem,1,1,10
6,2,0.014529366839436302,pos_neg_null,poem,1,1,10
6,1,0.0067104440655358305,pos_neg_null,poem,1,1,10
7,7,0.020552866460567535,pos_neg_null,poem,1,1,10
7,6,0.02055156426194896,pos_neg_null,poem,1,1,10
7,5,0.020530472691777345,pos_neg_null,poem,1,1,10
7,4,0.020348155033188542,pos_neg_null,poem,1,1,10
7,3,0.018512685523675524,pos_neg_null,poem,1,1,10
7,2,0.011968373859512165,pos_neg_null,poem,1,1,10
7,1,0.005527639588649377,pos_neg_null,poem,1,1,10
8,8,0.01152275293280439,pos_neg_null,poem,1,1,10
8,7,0.01152270136239279,pos_neg_null,poem,1,1,10
8,6,0.011521775684658975,pos_neg_null,poem,1,1,10
8,5,0.011509951166716827,pos_neg_null,poem,1,1,10
8,4,0.011407738841716258,pos_neg_null,poem,1,1,10
8,3,0.010378723838522797,pos_neg_null,poem,1,1,10
8,2,0.0067098016074012565,pos_neg_null,poem,1,1,10
8,1,0.003098947729442518,pos_neg_null,poem,1,1,10
9,1,0.0026731381177633926,pos_neg_null,poem,1,1,10
9,6,0.009938630934095152,pos_neg_null,poem,1,1,10
9,2,0.005787844134628563,pos_neg_null,poem,1,1,10
9,9,0.009939480331448177,pos_neg_null,poem,1,1,10
9,8,0.009939478572391022,pos_neg_null,poem,1,1,10
9,7,0.009939429419468586,pos_neg_null,poem,1,1,10
9,5,0.009928431159076346,pos_neg_null,poem,1,1,10
9,4,0.009840263275678907,pos_neg_null,poem,1,1,10
9,3,0.008952639646970044,pos_neg_null,poem,1,1,10
10,8,0.008092318837698884,pos_neg_null,poem,1,1,10
10,4,0.008011541781968666,pos_neg_null,poem,1,1,10
10,10,0.008092320691595876,pos_neg_null,poem,1,1,10
10,9,0.008092320530224597,pos_neg_null,poem,1,1,10
10,7,0.008092278819390345,pos_neg_null,poem,1,1,10
10,6,0.00809162872510401,pos_neg_null,poem,1,1,10
10,5,0.008083324483495784,pos_neg_null,poem,1,1,10
10,3,0.0072888747568251675,pos_neg_null,poem,1,1,10
10,2,0.0047122270830604225,pos_neg_null,poem,1,1,10
10,1,0.0021763602374710806,pos_neg_null,poem,1,1,10
11,6,0.007241421359060471,pos_neg_null,poem,1,1,10
11,10,0.007242040632946312,pos_neg_null,poem,1,1,10
11,9,0.0072420404745125915,pos_neg_null,poem,1,1,10
11,5,0.0072339896645777476,pos_neg_null,poem,1,1,10
11,4,0.0071697493483560155,pos_neg_null,poem,1,1,10
11,3,0.006523014728028314,pos_neg_null,poem,1,1,10
11,11,0.007242040645378348,pos_neg_null,poem,1,1,10
11,1,0.0019476847052730317,pos_neg_null,poem,1,1,10
11,2,0.00421710177360842,pos_neg_null,poem,1,1,10
11,8,0.007242038959824724,pos_neg_null,poem,1,1,10
11,7,0.007242003146338466,pos_neg_null,poem,1,1,10
12,12,0.005834680521357164,pos_neg_null,poem,1,1,10
12,8,0.005834679161964052,pos_neg_null,poem,1,1,10
12,9,0.005834680382299621,pos_neg_null,poem,1,1,10
12,10,0.005834680509944602,pos_neg_null,poem,1,1,10
12,4,0.005776437734100598,pos_neg_null,poem,1,1,10
12,6,0.0058341815807815165,pos_neg_null,poem,1,1,10
12,11,0.005834680520583621,pos_neg_null,poem,1,1,10
12,7,0.005834650308183626,pos_neg_null,poem,1,1,10
12,5,0.005828194102230658,pos_neg_null,poem,1,1,10
12,1,0.0015691872726693664,pos_neg_null,poem,1,1,10
12,3,0.005255384335536984,pos_neg_null,poem,1,1,10
12,2,0.0033975840200326972,pos_neg_null,poem,1,1,10
13,6,0.005071926700880412,pos_neg_null,poem,1,1,10
13,12,0.005072360453259301,pos_neg_null,poem,1,1,10
13,3,0.0045687512062708435,pos_neg_null,poem,1,1,10
13,13,0.005072360453289612,pos_neg_null,poem,1,1,10
13,11,0.005072360452567669,pos_neg_null,poem,1,1,10
13,9,0.005072360332350924,pos_neg_null,poem,1,1,10
13,4,0.0050217272763789095,pos_neg_null,poem,1,1,10
13,7,0.005072334187516412,pos_neg_null,poem,1,1,10
13,5,0.005066721505959313,pos_neg_null,poem,1,1,10
13,8,0.005072359271456183,pos_neg_null,poem,1,1,10
13,1,0.0013641678300090466,pos_neg_null,poem,1,1,10
13,10,0.005072360443318672,pos_neg_null,poem,1,1,10
13,2,0.0029536785701791777,pos_neg_null,poem,1,1,10
14,1,0.0013168556509335883,pos_neg_null,poem,1,1,10
14,7,0.00489641508274706,pos_neg_null,poem,1,1,10
14,11,0.0048964404368716805,pos_neg_null,poem,1,1,10
14,10,0.004896440427943459,pos_neg_null,poem,1,1,10
14,2,0.002851238850982212,pos_neg_null,poem,1,1,10
14,8,0.0048964392967235995,pos_neg_null,poem,1,1,10
14,5,0.0048909970606659265,pos_neg_null,poem,1,1,10
14,14,0.004896440437569955,pos_neg_null,poem,1,1,10
14,12,0.004896440437539325,pos_neg_null,poem,1,1,10
14,9,0.004896440320824303,pos_neg_null,poem,1,1,10
14,4,0.004847563324596982,pos_neg_null,poem,1,1,10
14,6,0.004896021728595542,pos_neg_null,poem,1,1,10
14,3,0.004410297407209426,pos_neg_null,poem,1,1,10
14,13,0.004896440437569046,pos_neg_null,poem,1,1,10
15,13,0.003928880351103311,pos_neg_null,poem,1,1,10
15,8,0.00392887943569439,pos_neg_null,poem,1,1,10
15,10,0.003928880343379786,pos_neg_null,poem,1,1,10
15,5,0.003924512611552305,pos_neg_null,poem,1,1,10
15,14,0.0039288803511040435,pos_neg_null,poem,1,1,10
15,6,0.003928544381028762,pos_neg_null,poem,1,1,10
15,4,0.0038896615897963858,pos_neg_null,poem,1,1,10
15,15,0.00392888035110405,pos_neg_null,poem,1,1,10
15,9,0.003928880257427888,pos_neg_null,poem,1,1,10
15,11,0.003928880350543749,pos_neg_null,poem,1,1,10
15,12,0.003928880351079463,pos_neg_null,poem,1,1,10
15,1,0.0010566386660185692,pos_neg_null,poem,1,1,10
15,7,0.00392886000651561,pos_neg_null,poem,1,1,10
15,2,0.002287820395398903,pos_neg_null,poem,1,1,10
15,3,0.003538801512371643,pos_neg_null,poem,1,1,10
3,1,0.012106159976301076,pos_neg_null,poem,1,1,9
3,3,0.00038940820300141683,pos_neg_null,poem,1,1,9
3,2,0.024739499322040486,pos_neg_null,poem,1,1,9
2,2,0.0000012678943384868309,pos_neg_null,poem,1,1,9
2,1,0.011722598472101426,pos_neg_null,poem,1,1,9
1,1,2.6578719670731023e-10,pos_neg_null,poem,1,1,9
4,4,0.01250084374603971,pos_neg_null,poem,1,1,9
4,3,0.028606254046313548,pos_neg_null,poem,1,1,9
4,2,0.018109640097784093,pos_neg_null,poem,1,1,9
4,1,0.008861868919945793,pos_neg_null,poem,1,1,9
5,5,0.028850160037659972,pos_neg_null,poem,1,1,9
5,4,0.029722614330221792,pos_neg_null,poem,1,1,9
5,3,0.026258941946931676,pos_neg_null,poem,1,1,9
5,2,0.01662363716820939,pos_neg_null,poem,1,1,9
5,1,0.008134700234900658,pos_neg_null,poem,1,1,9
6,6,0.02524199749776213,pos_neg_null,poem,1,1,9
6,5,0.025223911834758174,pos_neg_null,poem,1,1,9
6,4,0.02484670412084355,pos_neg_null,poem,1,1,9
6,3,0.021951237324989024,pos_neg_null,poem,1,1,9
6,2,0.01389657684690195,pos_neg_null,poem,1,1,9
6,1,0.006800225834872741,pos_neg_null,poem,1,1,9
7,7,0.02082685003728966,pos_neg_null,poem,1,1,9
7,6,0.020823291530779265,pos_neg_null,poem,1,1,9
7,5,0.02077786392028847,pos_neg_null,poem,1,1,9
7,4,0.020467144052539764,pos_neg_null,poem,1,1,9
7,3,0.01808204155677711,pos_neg_null,poem,1,1,9
7,2,0.011447121468482107,pos_neg_null,poem,1,1,9
7,1,0.0056015961342488815,pos_neg_null,poem,1,1,9
8,8,0.011676891355554024,pos_neg_null,poem,1,1,9
8,7,0.0116767030606156,pos_neg_null,poem,1,1,9
8,6,0.011674113511549579,pos_neg_null,poem,1,1,9
8,5,0.011648645535910648,pos_neg_null,poem,1,1,9
8,4,0.011474447378955952,pos_neg_null,poem,1,1,9
8,3,0.01013729291271527,pos_neg_null,poem,1,1,9
8,2,0.006417573091460006,pos_neg_null,poem,1,1,9
8,1,0.003140409815634537,pos_neg_null,poem,1,1,9
9,1,0.002708903123409943,pos_neg_null,poem,1,1,9
9,6,0.010070036845840473,pos_neg_null,poem,1,1,9
9,2,0.005535769155228863,pos_neg_null,poem,1,1,9
9,9,0.010072461904237008,pos_neg_null,poem,1,1,9
9,8,0.010072453314087812,pos_neg_null,poem,1,1,9
9,7,0.010072270579004292,pos_neg_null,poem,1,1,9
9,5,0.010048068286701559,pos_neg_null,poem,1,1,9
9,4,0.00989780575436659,pos_neg_null,poem,1,1,9
9,3,0.008744382436158979,pos_neg_null,poem,1,1,9
10,8,0.008200581459257332,pos_neg_null,poem,1,1,9
10,4,0.008058390525678987,pos_neg_null,poem,1,1,9
10,10,0.008200590933868447,pos_neg_null,poem,1,1,9
10,9,0.00820058993421336,pos_neg_null,poem,1,1,9
