value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
2,1,0.012010338035475706,pos_neg_null,shoe,1,1,10
2,2,6.049220145966969e-7,pos_neg_null,shoe,1,1,10
3,3,0.0002850973612672304,pos_neg_null,shoe,1,1,10
3,2,0.025560884840911836,pos_neg_null,shoe,1,1,10
3,1,0.011585193326255322,pos_neg_null,shoe,1,1,10
1,1,4.6230649696747056e-11,pos_neg_null,shoe,1,1,10
4,4,0.015781378296046495,pos_neg_null,shoe,1,1,10
4,3,0.031934949226452285,pos_neg_null,shoe,1,1,10
4,2,0.020773104423462738,pos_neg_null,shoe,1,1,10
4,1,0.009415183872942984,pos_neg_null,shoe,1,1,10
5,5,0.028582012124787712,pos_neg_null,shoe,1,1,10
5,4,0.02891298437252285,pos_neg_null,shoe,1,1,10
5,3,0.026617464736252785,pos_neg_null,shoe,1,1,10
5,2,0.017314177346366838,pos_neg_null,shoe,1,1,10
5,1,0.007847462757692825,pos_neg_null,shoe,1,1,10
6,6,0.02202017254336893,pos_neg_null,shoe,1,1,10
6,5,0.022014508115799063,pos_neg_null,shoe,1,1,10
6,4,0.02183158752281917,pos_neg_null,shoe,1,1,10
6,3,0.020098288835838734,pos_neg_null,shoe,1,1,10
6,2,0.01307357183376913,pos_neg_null,shoe,1,1,10
6,1,0.00592545438475903,pos_neg_null,shoe,1,1,10
7,7,0.016005294355130772,pos_neg_null,shoe,1,1,10
7,6,0.01600469911686202,pos_neg_null,shoe,1,1,10
7,5,0.01599260230833832,pos_neg_null,shoe,1,1,10
7,4,0.015859718290119746,pos_neg_null,shoe,1,1,10
7,3,0.014600550634107047,pos_neg_null,shoe,1,1,10
7,2,0.009497392991347973,pos_neg_null,shoe,1,1,10
7,1,0.004304590180856334,pos_neg_null,shoe,1,1,10
8,8,0.013173378757304054,pos_neg_null,shoe,1,1,10
8,7,0.013173334313481987,pos_neg_null,shoe,1,1,10
8,6,0.013172591865730056,pos_neg_null,shoe,1,1,10
8,5,0.013162635644722894,pos_neg_null,shoe,1,1,10
8,4,0.013053266082403082,pos_neg_null,shoe,1,1,10
8,3,0.012016914102145716,pos_neg_null,shoe,1,1,10
8,2,0.007816784355018907,pos_neg_null,shoe,1,1,10
8,1,0.0035428725768364786,pos_neg_null,shoe,1,1,10
9,1,0.002878583968679649,pos_neg_null,shoe,1,1,10
9,6,0.010702730890905681,pos_neg_null,shoe,1,1,10
9,2,0.006351137288452867,pos_neg_null,shoe,1,1,10
9,9,0.01070338540544384,pos_neg_null,shoe,1,1,10
9,8,0.010703381440669377,pos_neg_null,shoe,1,1,10
