value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
3,1,0.00007174701898493502,pos_neg_null,bas,7,5,8
3,3,0.000004395078338469865,pos_neg_null,bas,7,5,8
3,2,0.00012042639462833149,pos_neg_null,bas,7,5,8
10,3,0.00023708948022176118,pos_neg_null,bas,7,5,8
10,2,0.00010921758150741978,pos_neg_null,bas,7,5,8
10,1,0.00006506908986261415,pos_neg_null,bas,7,5,8
10,10,0.06833960102330369,pos_neg_null,bas,7,5,8
10,9,0.053368251834417416,pos_neg_null,bas,7,5,8
10,8,0.026712035317272523,pos_neg_null,bas,7,5,8
10,7,0.011159599421500146,pos_neg_null,bas,7,5,8
10,6,0.004503962423672774,pos_neg_null,bas,7,5,8
10,5,0.0017394479276500881,pos_neg_null,bas,7,5,8
10,4,0.0006486000721660357,pos_neg_null,bas,7,5,8
4,4,0.00010060658153495798,pos_neg_null,bas,7,5,8
4,3,0.00022818749723471123,pos_neg_null,bas,7,5,8
4,2,0.00010511679621928132,pos_neg_null,bas,7,5,8
4,1,0.00006262594506176503,pos_neg_null,bas,7,5,8
2,2,2.8306889221840904e-8,pos_neg_null,bas,7,5,8
2,1,0.00006156724898139703,pos_neg_null,bas,7,5,8
9,9,0.04713479198731085,pos_neg_null,bas,7,5,8
9,8,0.023669738428822168,pos_neg_null,bas,7,5,8
9,7,0.009888606245834904,pos_neg_null,bas,7,5,8
9,6,0.003990995489312038,pos_neg_null,bas,7,5,8
9,5,0.0015413380885810528,pos_neg_null,bas,7,5,8
9,4,0.0005747294757115804,pos_neg_null,bas,7,5,8
9,3,0.00021008679849437642,pos_neg_null,bas,7,5,8
9,2,0.00009677853280006649,pos_neg_null,bas,7,5,8
9,1,0.00005765821730003851,pos_neg_null,bas,7,5,8
8,8,0.022978896054606575,pos_neg_null,bas,7,5,8
8,7,0.00980480449798888,pos_neg_null,bas,7,5,8
8,6,0.003957173493639901,pos_neg_null,bas,7,5,8
8,5,0.0015282759013896918,pos_neg_null,bas,7,5,8
8,4,0.000569858886934361,pos_neg_null,bas,7,5,8
8,3,0.0002083064018969655,pos_neg_null,bas,7,5,8
8,2,0.00009595837574243838,pos_neg_null,bas,7,5,8
8,1,0.000057169588339868734,pos_neg_null,bas,7,5,8
5,5,0.000733752616948764,pos_neg_null,bas,7,5,8
