value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
4,1,0.003371020538606159,pos_neg_null,book,3,5,4
4,4,0.003644102620128703,pos_neg_null,book,3,5,4
4,3,0.006187542163893279,pos_neg_null,book,3,5,4
4,2,0.004300550426134146,pos_neg_null,book,3,5,4
5,3,0.00611974586553067,pos_neg_null,book,3,5,4
5,2,0.00425342971291865,pos_neg_null,book,3,5,4
5,1,0.0033340845940633542,pos_neg_null,book,3,5,4
5,5,0.012462165408782365,pos_neg_null,book,3,5,4
5,4,0.010136666233756607,pos_neg_null,book,3,5,4
3,3,0.0005135885028224506,pos_neg_null,book,3,5,4
3,2,0.0037633742954775082,pos_neg_null,book,3,5,4
3,1,0.0029499507708182437,pos_neg_null,book,3,5,4
6,6,0.025255354173922197,pos_neg_null,book,3,5,4
6,5,0.016257470978333265,pos_neg_null,book,3,5,4
6,4,0.00879658997390252,pos_neg_null,book,3,5,4
6,3,0.005310710038403646,pos_neg_null,book,3,5,4
6,2,0.0036911225352137434,pos_neg_null,book,3,5,4
6,1,0.0028933156558526157,pos_neg_null,book,3,5,4
7,7,0.03511937313435488,pos_neg_null,book,3,5,4
7,6,0.02449649358498849,pos_neg_null,book,3,5,4
7,5,0.01354558645769214,pos_neg_null,book,3,5,4
7,4,0.007329243901660063,pos_neg_null,book,3,5,4
7,3,0.00442483840646568,pos_neg_null,book,3,5,4
7,2,0.003075411882531283,pos_neg_null,book,3,5,4
7,1,0.0024106859804933723,pos_neg_null,book,3,5,4
2,2,0.00003126806993612768,pos_neg_null,book,3,5,4
2,1,0.002292490957956415,pos_neg_null,book,3,5,4
8,8,0.03374012509176236,pos_neg_null,book,3,5,4
8,7,0.027806397503057006,pos_neg_null,book,3,5,4
8,6,0.018466202518612355,pos_neg_null,book,3,5,4
8,5,0.010211075388944637,pos_neg_null,book,3,5,4
8,4,0.0055250071495660125,pos_neg_null,book,3,5,4
8,3,0.00333557787943991,pos_neg_null,book,3,5,4
8,2,0.002318339090202336,pos_neg_null,book,3,5,4
8,1,0.0018172484715057292,pos_neg_null,book,3,5,4
1,1,5.180149359345696e-7,pos_neg_null,book,3,5,4
