value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
2,1,0.00033514557208016565,pos_neg_null,bur,7,3,5
2,2,0.0009049189081794997,pos_neg_null,bur,7,3,5
3,3,0.004138931830529857,pos_neg_null,bur,7,3,5
3,2,0.0009405197217989798,pos_neg_null,bur,7,3,5
3,1,0.000320884058374627,pos_neg_null,bur,7,3,5
1,1,0.00007165344873951164,pos_neg_null,bur,7,3,5
4,4,0.020469348940260965,pos_neg_null,bur,7,3,5
4,3,0.0028734334981500805,pos_neg_null,bur,7,3,5
4,2,0.0006456742534572375,pos_neg_null,bur,7,3,5
4,1,0.00022028945277305747,pos_neg_null,bur,7,3,5
5,5,0.07770459469001299,pos_neg_null,bur,7,3,5
5,4,0.015082808875617677,pos_neg_null,bur,7,3,5
5,3,0.002109399157601509,pos_neg_null,bur,7,3,5
5,1,0.00016171537862530815,pos_neg_null,bur,7,3,5
5,2,0.00047399208201774097,pos_neg_null,bur,7,3,5
6,6,0.09529662986963051,pos_neg_null,bur,7,3,5
6,5,0.04631169351175415,pos_neg_null,bur,7,3,5
6,4,0.008978427960603887,pos_neg_null,bur,7,3,5
6,3,0.0012556738292493993,pos_neg_null,bur,7,3,5
6,2,0.00028215591653969296,pos_neg_null,bur,7,3,5
6,1,0.00009626521751238777,pos_neg_null,bur,7,3,5
7,7,0.06310450502823797,pos_neg_null,bur,7,3,5
7,5,0.02793403735629618,pos_neg_null,bur,7,3,5
7,1,0.000058064734372551504,pos_neg_null,bur,7,3,5
7,6,0.057489112641486886,pos_neg_null,bur,7,3,5
7,3,0.0007573905636742401,pos_neg_null,bur,7,3,5
7,4,0.005415559722269025,pos_neg_null,bur,7,3,5
7,2,0.0001701892829921962,pos_neg_null,bur,7,3,5
8,2,0.0001328670718096978,pos_neg_null,bur,7,3,5
8,7,0.04926640737732196,pos_neg_null,bur,7,3,5
8,1,0.00004533123999260602,pos_neg_null,bur,7,3,5
8,3,0.0005912961418158554,pos_neg_null,bur,7,3,5
8,8,0.049707703701043986,pos_neg_null,bur,7,3,5
8,5,0.021808151971143518,pos_neg_null,bur,7,3,5
8,4,0.0042279369761574065,pos_neg_null,bur,7,3,5
8,6,0.044881851097301105,pos_neg_null,bur,7,3,5
9,9,0.01537365933951441,pos_neg_null,bur,7,3,5
9,8,0.015359138393630447,pos_neg_null,bur,7,3,5
9,7,0.015222766324453433,pos_neg_null,bur,7,3,5
9,6,0.01386798769860429,pos_neg_null,bur,7,3,5
9,5,0.0067384739236679495,pos_neg_null,bur,7,3,5
9,4,0.001306385020722791,pos_neg_null,bur,7,3,5
9,3,0.00018270386404422524,pos_neg_null,bur,7,3,5
9,2,0.00004105443230074923,pos_neg_null,bur,7,3,5
9,1,0.000014006843817940129,pos_neg_null,bur,7,3,5
10,1,0.00001146014494195094,pos_neg_null,bur,7,3,5
10,10,0.012578905518020352,pos_neg_null,bur,7,3,5
10,2,0.000033589990064249205,pos_neg_null,bur,7,3,5
10,7,0.012454990629098247,pos_neg_null,bur,7,3,5
10,3,0.00014948497967254827,pos_neg_null,bur,7,3,5
10,6,0.011346535389767133,pos_neg_null,bur,7,3,5
10,9,0.012578449156271309,pos_neg_null,bur,7,3,5
10,8,0.012566567776606714,pos_neg_null,bur,7,3,5
10,4,0.0010688604715004602,pos_neg_null,bur,7,3,5
10,5,0.0055132968466373965,pos_neg_null,bur,7,3,5
13,11,0.00810647406496529,pos_neg_null,bur,7,3,5
13,1,0.000007385426740368401,pos_neg_null,bur,7,3,5
13,12,0.008106483644973302,pos_neg_null,bur,7,3,5
13,13,0.008106487965377317,pos_neg_null,bur,7,3,5
13,7,0.008026549516529986,pos_neg_null,bur,7,3,5
13,3,0.0000963347646778645,pos_neg_null,bur,7,3,5
13,10,0.008106405861428573,pos_neg_null,bur,7,3,5
13,8,0.008098454789368777,pos_neg_null,bur,7,3,5
13,9,0.00810611167848596,pos_neg_null,bur,7,3,5
13,6,0.007312211695627713,pos_neg_null,bur,7,3,5
13,5,0.0035530135233885467,pos_neg_null,bur,7,3,5
13,4,0.0006888211927447429,pos_neg_null,bur,7,3,5
13,2,0.000021646882485849657,pos_neg_null,bur,7,3,5
