value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
6,1,0.00711173050570673,pos_neg_null,cig,5,3,1
6,6,0.012224882084828281,pos_neg_null,cig,5,3,1
6,5,0.010533474053412758,pos_neg_null,cig,5,3,1
6,4,0.009196926904450151,pos_neg_null,cig,5,3,1
6,3,0.008190613156500893,pos_neg_null,cig,5,3,1
6,2,0.00755858860933719,pos_neg_null,cig,5,3,1
5,3,0.008008966493755926,pos_neg_null,cig,5,3,1
5,2,0.00739095862001721,pos_neg_null,cig,5,3,1
5,1,0.006954010675943083,pos_neg_null,cig,5,3,1
5,5,0.01014190615644603,pos_neg_null,cig,5,3,1
5,4,0.00899296279971436,pos_neg_null,cig,5,3,1
4,4,0.008594906358119039,pos_neg_null,cig,5,3,1
4,3,0.00781080649803412,pos_neg_null,cig,5,3,1
4,2,0.007208089540759042,pos_neg_null,cig,5,3,1
4,1,0.006781952679837265,pos_neg_null,cig,5,3,1
3,3,0.007347873917334221,pos_neg_null,cig,5,3,1
3,2,0.006979503191686357,pos_neg_null,cig,5,3,1
3,1,0.0065668801847050045,pos_neg_null,cig,5,3,1
7,7,0.01352097892422129,pos_neg_null,cig,5,3,1
7,6,0.011217507575949238,pos_neg_null,cig,5,3,1
7,5,0.009545960860905313,pos_neg_null,cig,5,3,1
7,4,0.008334715007157935,pos_neg_null,cig,5,3,1
7,3,0.0074227431730789365,pos_neg_null,cig,5,3,1
7,2,0.006849970927211816,pos_neg_null,cig,5,3,1
7,1,0.006445005770796724,pos_neg_null,cig,5,3,1
8,8,0.015504340154631214,pos_neg_null,cig,5,3,1
8,7,0.01255492390076022,pos_neg_null,cig,5,3,1
8,6,0.010306630987468377,pos_neg_null,cig,5,3,1
8,5,0.008770816096894075,pos_neg_null,cig,5,3,1
8,4,0.007657925023261907,pos_neg_null,cig,5,3,1
8,3,0.00682000651942514,pos_neg_null,cig,5,3,1
8,2,0.006293744144468254,pos_neg_null,cig,5,3,1
8,1,0.0059216626993082245,pos_neg_null,cig,5,3,1
2,2,0.005077525147313217,pos_neg_null,cig,5,3,1
2,1,0.005018358219752729,pos_neg_null,cig,5,3,1
9,9,0.01600331324210719,pos_neg_null,cig,5,3,1
9,8,0.012484671488701894,pos_neg_null,cig,5,3,1
9,7,0.010016579722277244,pos_neg_null,cig,5,3,1
9,6,0.008222844819299833,pos_neg_null,cig,5,3,1
9,5,0.006997539718950628,pos_neg_null,cig,5,3,1
9,4,0.006109652046403872,pos_neg_null,cig,5,3,1
9,3,0.005441143215860989,pos_neg_null,cig,5,3,1
9,2,0.005021280134630252,pos_neg_null,cig,5,3,1
9,1,0.004724425809738654,pos_neg_null,cig,5,3,1
1,1,0.0036733079176075032,pos_neg_null,cig,5,3,1
10,8,0.009453491764586068,pos_neg_null,cig,5,3,1
10,4,0.004626276739234492,pos_neg_null,cig,5,3,1
10,10,0.01581802305235728,pos_neg_null,cig,5,3,1
10,9,0.012220011901902547,pos_neg_null,cig,5,3,1
10,7,0.0075846332039701415,pos_neg_null,cig,5,3,1
10,6,0.0062264029815335565,pos_neg_null,cig,5,3,1
10,5,0.0052985922909808015,pos_neg_null,cig,5,3,1
10,3,0.004120076577715663,pos_neg_null,cig,5,3,1
10,2,0.0038021529395758564,pos_neg_null,cig,5,3,1
10,1,0.0035773725023665833,pos_neg_null,cig,5,3,1
15,15,0.06009802283934501,pos_neg_null,cig,5,3,1
15,6,0.005614992668717636,pos_neg_null,cig,5,3,1
15,14,0.03959676078541442,pos_neg_null,cig,5,3,1
15,13,0.029524016054869758,pos_neg_null,cig,5,3,1
15,12,0.023590235026796937,pos_neg_null,cig,5,3,1
15,10,0.014376702107219634,pos_neg_null,cig,5,3,1
15,9,0.011020050813338988,pos_neg_null,cig,5,3,1
15,5,0.00477828964116506,pos_neg_null,cig,5,3,1
15,4,0.00417199305141387,pos_neg_null,cig,5,3,1
15,3,0.003715499919783677,pos_neg_null,cig,5,3,1
15,11,0.018686613787450235,pos_neg_null,cig,5,3,1
15,1,0.003226087426983904,pos_neg_null,cig,5,3,1
15,2,0.0034287952360904515,pos_neg_null,cig,5,3,1
15,8,0.008525192974075628,pos_neg_null,cig,5,3,1
15,7,0.0068398495827386285,pos_neg_null,cig,5,3,1
11,8,0.006554926153400397,pos_neg_null,cig,5,3,1
11,9,0.008473194625367345,pos_neg_null,cig,5,3,1
11,10,0.011054086509106675,pos_neg_null,cig,5,3,1
11,4,0.003207799101753788,pos_neg_null,cig,5,3,1
11,11,0.01426164389760648,pos_neg_null,cig,5,3,1
11,7,0.005259084345839046,pos_neg_null,cig,5,3,1
11,5,0.003673973812984705,pos_neg_null,cig,5,3,1
11,1,0.0024805027771920693,pos_neg_null,cig,5,3,1
11,3,0.002856806604989228,pos_neg_null,cig,5,3,1
11,6,0.004317305474169577,pos_neg_null,cig,5,3,1
11,2,0.0026363625593051132,pos_neg_null,cig,5,3,1
14,5,0.0028775922061238398,pos_neg_null,cig,5,3,1
14,11,0.011253494080886668,pos_neg_null,cig,5,3,1
14,2,0.002064896686623359,pos_neg_null,cig,5,3,1
14,12,0.014206563760582118,pos_neg_null,cig,5,3,1
14,10,0.00865796949123669,pos_neg_null,cig,5,3,1
14,8,0.005134060657721096,pos_neg_null,cig,5,3,1
14,3,0.0022375566183586043,pos_neg_null,cig,5,3,1
14,7,0.004119109415382585,pos_neg_null,cig,5,3,1
14,13,0.017780018557488186,pos_neg_null,cig,5,3,1
14,4,0.0025124669265181284,pos_neg_null,cig,5,3,1
14,6,0.003381473362716612,pos_neg_null,cig,5,3,1
14,1,0.0019428215393614092,pos_neg_null,cig,5,3,1
14,9,0.006636519489810808,pos_neg_null,cig,5,3,1
14,14,0.02369230139094532,pos_neg_null,cig,5,3,1
13,1,0.0019213142898481844,pos_neg_null,cig,5,3,1
13,5,0.0028457369418494077,pos_neg_null,cig,5,3,1
13,10,0.008562124810521899,pos_neg_null,cig,5,3,1
13,4,0.002484653639508704,pos_neg_null,cig,5,3,1
13,2,0.0020420380517160905,pos_neg_null,cig,5,3,1
13,9,0.006563052484388552,pos_neg_null,cig,5,3,1
13,7,0.00407351041816433,pos_neg_null,cig,5,3,1
13,6,0.0033440400782584964,pos_neg_null,cig,5,3,1
13,12,0.014049295527070148,pos_neg_null,cig,5,3,1
13,3,0.0022127866188933814,pos_neg_null,cig,5,3,1
13,11,0.011128916655637006,pos_neg_null,cig,5,3,1
13,13,0.017463736242875814,pos_neg_null,cig,5,3,1
13,8,0.005077226037893928,pos_neg_null,cig,5,3,1
12,8,0.0050203914180667435,pos_neg_null,cig,5,3,1
12,1,0.00189980704033496,pos_neg_null,cig,5,3,1
12,5,0.0028138816775749816,pos_neg_null,cig,5,3,1
12,3,0.002188016619428159,pos_neg_null,cig,5,3,1
12,2,0.002019179416808819,pos_neg_null,cig,5,3,1
12,9,0.006489585478966286,pos_neg_null,cig,5,3,1
12,4,0.002456840352499276,pos_neg_null,cig,5,3,1
12,6,0.003306606793800382,pos_neg_null,cig,5,3,1
12,7,0.004027911420946077,pos_neg_null,cig,5,3,1
12,12,0.01379345703088637,pos_neg_null,cig,5,3,1
12,10,0.008466280129807094,pos_neg_null,cig,5,3,1
12,11,0.011004339230387327,pos_neg_null,cig,5,3,1
