value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
5,1,0.00007795688429005398,pos_neg_null,eat,7,3,10
5,5,0.0006336013032621012,pos_neg_null,eat,7,3,10
5,4,0.0005369399726600868,pos_neg_null,eat,7,3,10
5,3,0.00018399669417216402,pos_neg_null,eat,7,3,10
5,2,0.00010211822496046652,pos_neg_null,eat,7,3,10
4,3,0.00016972352511579746,pos_neg_null,eat,7,3,10
4,2,0.0000941966115034715,pos_neg_null,eat,7,3,10
4,1,0.00007190953765925885,pos_neg_null,eat,7,3,10
4,4,0.000003427127295241798,pos_neg_null,eat,7,3,10
6,6,0.014510793330993988,pos_neg_null,eat,7,3,10
6,5,0.0025065192381273386,pos_neg_null,eat,7,3,10
6,4,0.0004891020027456686,pos_neg_null,eat,7,3,10
6,3,0.00016760374753316878,pos_neg_null,eat,7,3,10
6,2,0.00009302013425738296,pos_neg_null,eat,7,3,10
6,1,0.00007101141687250704,pos_neg_null,eat,7,3,10
7,7,0.05249008198820326,pos_neg_null,eat,7,3,10
7,6,0.015383656921933246,pos_neg_null,eat,7,3,10
7,5,0.002178938730614914,pos_neg_null,eat,7,3,10
7,4,0.0004251805774289944,pos_neg_null,eat,7,3,10
7,3,0.00014569937917933965,pos_neg_null,eat,7,3,10
7,2,0.0000808632027144704,pos_neg_null,eat,7,3,10
7,1,0.00006173083540940541,pos_neg_null,eat,7,3,10
3,3,3.932726885923716e-9,pos_neg_null,eat,7,3,10
3,2,0.00006988274841764662,pos_neg_null,eat,7,3,10
3,1,0.00005334837473305551,pos_neg_null,eat,7,3,10
8,8,0.04565176449978394,pos_neg_null,eat,7,3,10
8,7,0.03632588557836405,pos_neg_null,eat,7,3,10
8,6,0.010534298532381053,pos_neg_null,eat,7,3,10
8,5,0.0014920763761533727,pos_neg_null,eat,7,3,10
8,4,0.00029115178241015334,pos_neg_null,eat,7,3,10
8,3,0.00009977086488905319,pos_neg_null,eat,7,3,10
8,2,0.000055372862382556775,pos_neg_null,eat,7,3,10
8,1,0.000042271551696450204,pos_neg_null,eat,7,3,10
9,9,0.04325542115180124,pos_neg_null,eat,7,3,10
9,8,0.042624218690315595,pos_neg_null,eat,7,3,10
9,7,0.033907590079521106,pos_neg_null,eat,7,3,10
9,6,0.00983300670373808,pos_neg_null,eat,7,3,10
9,5,0.0013927455125850915,pos_neg_null,eat,7,3,10
9,4,0.000271769156668968,pos_neg_null,eat,7,3,10
9,3,0.00009312889513015039,pos_neg_null,eat,7,3,10
9,2,0.000051686567011480146,pos_neg_null,eat,7,3,10
9,1,0.000039457439897961385,pos_neg_null,eat,7,3,10
2,2,6.603247252593447e-13,pos_neg_null,eat,7,3,10
2,1,0.000031793475851012896,pos_neg_null,eat,7,3,10
10,1,0.000030895355064261035,pos_neg_null,eat,7,3,10
10,10,0.033909986479427584,pos_neg_null,eat,7,3,10
10,6,0.00769928901233519,pos_neg_null,eat,7,3,10
10,2,0.00004047081726543835,pos_neg_null,eat,7,3,10
10,9,0.033869490497654704,pos_neg_null,eat,7,3,10
10,8,0.03337495727496639,pos_neg_null,eat,7,3,10
10,7,0.02654979739155219,pos_neg_null,eat,7,3,10
10,5,0.0010905260766220187,pos_neg_null,eat,7,3,10
10,4,0.0002127964868606796,pos_neg_null,eat,7,3,10
10,3,0.00007292034884242448,pos_neg_null,eat,7,3,10
11,8,0.02257337226543265,pos_neg_null,eat,7,3,10
11,4,0.00014392630603561328,pos_neg_null,eat,7,3,10
11,11,0.022936408632614202,pos_neg_null,eat,7,3,10
11,10,0.02293524725185278,pos_neg_null,eat,7,3,10
11,9,0.022907853069150136,pos_neg_null,eat,7,3,10
11,7,0.017957130406301744,pos_neg_null,eat,7,3,10
11,6,0.005207464855242174,pos_neg_null,eat,7,3,10
11,5,0.000737584497560234,pos_neg_null,eat,7,3,10
11,3,0.00004932015842249203,pos_neg_null,eat,7,3,10
11,2,0.00002737270392565474,pos_neg_null,eat,7,3,10
11,1,0.000020896276971757888,pos_neg_null,eat,7,3,10
12,6,0.004595699643021737,pos_neg_null,eat,7,3,10
12,12,0.02024190567264725,pos_neg_null,eat,7,3,10
12,10,0.020240848577566424,pos_neg_null,eat,7,3,10
12,9,0.020216672622631132,pos_neg_null,eat,7,3,10
12,5,0.0006509341697666277,pos_neg_null,eat,7,3,10
12,4,0.000127018058048622,pos_neg_null,eat,7,3,10
12,3,0.000043526099696640717,pos_neg_null,eat,7,3,10
12,11,0.020241873603039976,pos_neg_null,eat,7,3,10
12,1,0.000018441413487969757,pos_neg_null,eat,7,3,10
12,2,0.00002415699945301345,pos_neg_null,eat,7,3,10
12,8,0.01992148612536754,pos_neg_null,eat,7,3,10
12,7,0.015847553481779242,pos_neg_null,eat,7,3,10
1,1,3.0322556804674834e-18,pos_neg_null,eat,7,3,10
13,6,0.0033870903213179767,pos_neg_null,eat,7,3,10
13,12,0.014918547364238649,pos_neg_null,eat,7,3,10
13,7,0.011679852728454149,pos_neg_null,eat,7,3,10
13,3,0.00003207930075044615,pos_neg_null,eat,7,3,10
13,11,0.014918523726915784,pos_neg_null,eat,7,3,10
13,9,0.014899950277069012,pos_neg_null,eat,7,3,10
13,5,0.0004797469368085196,pos_neg_null,eat,7,3,10
13,1,0.000013591561239510138,pos_neg_null,eat,7,3,10
13,13,0.014918548277221189,pos_neg_null,eat,7,3,10
13,10,0.014917768269829757,pos_neg_null,eat,7,3,10
13,4,0.0000936139583670036,pos_neg_null,eat,7,3,10
13,2,0.000017804022324136488,pos_neg_null,eat,7,3,10
13,8,0.014682393994994887,pos_neg_null,eat,7,3,10
14,14,0.012815493025467844,pos_neg_null,eat,7,3,10
14,1,0.000011675570227773055,pos_neg_null,eat,7,3,10
14,13,0.01281549301348823,pos_neg_null,eat,7,3,10
14,8,0.012612629202748908,pos_neg_null,eat,7,3,10
14,11,0.012815471924002553,pos_neg_null,eat,7,3,10
14,6,0.0029096150337313037,pos_neg_null,eat,7,3,10
14,9,0.012799516757834622,pos_neg_null,eat,7,3,10
14,5,0.0004121174126769224,pos_neg_null,eat,7,3,10
14,4,0.0000804172770113027,pos_neg_null,eat,7,3,10
14,3,0.00002755710857417182,pos_neg_null,eat,7,3,10
14,12,0.012815492229191799,pos_neg_null,eat,7,3,10
14,2,0.000015294204199148092,pos_neg_null,eat,7,3,10
14,10,0.012814822963069624,pos_neg_null,eat,7,3,10
14,7,0.01003335366541216,pos_neg_null,eat,7,3,10
15,14,0.011172481099125916,pos_neg_null,eat,7,3,10
15,7,0.008747026272410604,pos_neg_null,eat,7,3,10
15,5,0.00035928184694911195,pos_neg_null,eat,7,3,10
15,12,0.011172480404936442,pos_neg_null,eat,7,3,10
15,4,0.00007010736970216184,pos_neg_null,eat,7,3,10
15,11,0.01117246270297659,pos_neg_null,eat,7,3,10
15,13,0.011172481088682051,pos_neg_null,eat,7,3,10
15,10,0.011171896942163265,pos_neg_null,eat,7,3,10
15,15,0.011172481099209439,pos_neg_null,eat,7,3,10
15,6,0.0025365874653042143,pos_neg_null,eat,7,3,10
15,1,0.000010178702249853435,pos_neg_null,eat,7,3,10
15,3,0.00002402414593645749,pos_neg_null,eat,7,3,10
15,9,0.01115855307093275,pos_neg_null,eat,7,3,10
15,2,0.000013333408789000904,pos_neg_null,eat,7,3,10
15,8,0.010995625458806745,pos_neg_null,eat,7,3,10
