value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
6,1,0.0150351813740626,pos_neg_null,edu,3,5,1
6,6,0.01979810984004652,pos_neg_null,edu,3,5,1
6,5,0.019281479448118352,pos_neg_null,edu,3,5,1
6,4,0.017751915882804805,pos_neg_null,edu,3,5,1
6,3,0.016696517919345878,pos_neg_null,edu,3,5,1
6,2,0.015740215317416116,pos_neg_null,edu,3,5,1
7,2,0.01545262178385823,pos_neg_null,edu,3,5,1
7,3,0.016391451534312127,pos_neg_null,edu,3,5,1
7,1,0.014760469697516106,pos_neg_null,edu,3,5,1
7,7,0.025471503516686447,pos_neg_null,edu,3,5,1
7,6,0.021307096800381533,pos_neg_null,edu,3,5,1
7,5,0.01892918256431574,pos_neg_null,edu,3,5,1
7,4,0.017427566049387402,pos_neg_null,edu,3,5,1
8,8,0.03408894525169177,pos_neg_null,edu,3,5,1
8,7,0.026073297165389323,pos_neg_null,edu,3,5,1
8,6,0.020361470457057537,pos_neg_null,edu,3,5,1
8,5,0.018089089995248032,pos_neg_null,edu,3,5,1
8,4,0.016654116446622912,pos_neg_null,edu,3,5,1
8,3,0.01566398553923172,pos_neg_null,edu,3,5,1
8,2,0.014766821819220313,pos_neg_null,edu,3,5,1
8,1,0.014105388007289924,pos_neg_null,edu,3,5,1
9,7,0.019511029114774488,pos_neg_null,edu,3,5,1
9,6,0.015236785757753163,pos_neg_null,edu,3,5,1
9,4,0.01246251859938299,pos_neg_null,edu,3,5,1
9,5,0.01353633026610697,pos_neg_null,edu,3,5,1
9,3,0.011721589178795873,pos_neg_null,edu,3,5,1
9,2,0.01105022846247273,pos_neg_null,edu,3,5,1
9,1,0.010555267879612472,pos_neg_null,edu,3,5,1
9,9,0.040469515360811975,pos_neg_null,edu,3,5,1
9,8,0.02692646612058444,pos_neg_null,edu,3,5,1
5,5,0.009656782128206516,pos_neg_null,edu,3,5,1
5,4,0.010179594771868392,pos_neg_null,edu,3,5,1
5,3,0.009574391161058486,pos_neg_null,edu,3,5,1
5,2,0.009026012437815551,pos_neg_null,edu,3,5,1
5,1,0.008621720310073846,pos_neg_null,edu,3,5,1
4,4,0.0065314560655270375,pos_neg_null,edu,3,5,1
4,3,0.007391993175817221,pos_neg_null,edu,3,5,1
4,2,0.00696861254390172,pos_neg_null,edu,3,5,1
4,1,0.006656475239395244,pos_neg_null,edu,3,5,1
2,2,0.0039054146621812958,pos_neg_null,edu,3,5,1
2,1,0.005420272694936116,pos_neg_null,edu,3,5,1
3,3,0.004553378205207737,pos_neg_null,edu,3,5,1
3,1,0.005304048524089541,pos_neg_null,edu,3,5,1
3,2,0.005552767455616924,pos_neg_null,edu,3,5,1
10,1,0.004796888505849903,pos_neg_null,edu,3,5,1
10,8,0.012236852471216525,pos_neg_null,edu,3,5,1
10,6,0.006924425159179109,pos_neg_null,edu,3,5,1
10,10,0.03238955560949168,pos_neg_null,edu,3,5,1
10,9,0.019216051576957993,pos_neg_null,edu,3,5,1
10,7,0.008866874092199804,pos_neg_null,edu,3,5,1
10,2,0.005021825547510125,pos_neg_null,edu,3,5,1
10,5,0.006151645586398963,pos_neg_null,edu,3,5,1
10,4,0.005663647091211088,pos_neg_null,edu,3,5,1
10,3,0.005326928415588905,pos_neg_null,edu,3,5,1
1,1,0.002209335721902882,pos_neg_null,edu,3,5,1
11,11,0.023725443664147975,pos_neg_null,edu,3,5,1
11,7,0.004257662009029879,pos_neg_null,edu,3,5,1
11,6,0.003324944239429623,pos_neg_null,edu,3,5,1
11,4,0.0027195486032687666,pos_neg_null,edu,3,5,1
11,9,0.009227090845323466,pos_neg_null,edu,3,5,1
11,10,0.01609738736818014,pos_neg_null,edu,3,5,1
11,1,0.0023033517495050244,pos_neg_null,edu,3,5,1
11,8,0.005875845459747155,pos_neg_null,edu,3,5,1
11,2,0.0024113611659850433,pos_neg_null,edu,3,5,1
11,5,0.0029538738718832037,pos_neg_null,edu,3,5,1
11,3,0.002557864305282784,pos_neg_null,edu,3,5,1
12,5,0.0012736887337478024,pos_neg_null,edu,3,5,1
12,12,0.01367388013261669,pos_neg_null,edu,3,5,1
12,7,0.0018358726093981998,pos_neg_null,edu,3,5,1
12,1,0.0009931883690526245,pos_neg_null,edu,3,5,1
12,2,0.0010397612367091461,pos_neg_null,edu,3,5,1
12,8,0.002533621436771707,pos_neg_null,edu,3,5,1
12,6,0.0014336915527815796,pos_neg_null,edu,3,5,1
12,4,0.0011726493977397424,pos_neg_null,edu,3,5,1
