value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
3,1,0.0037160438111364593,pos_neg_null,girl,3,5,6
3,2,0.0074998975486225816,pos_neg_null,girl,3,5,6
3,3,0.0019295878217649995,pos_neg_null,girl,3,5,6
4,3,0.01608066747262461,pos_neg_null,girl,3,5,6
4,2,0.006882953186611413,pos_neg_null,girl,3,5,6
4,1,0.003410360665012931,pos_neg_null,girl,3,5,6
4,4,0.021866127892644666,pos_neg_null,girl,3,5,6
2,2,0.00003810663603335792,pos_neg_null,girl,3,5,6
2,1,0.0032110020914541083,pos_neg_null,girl,3,5,6
1,1,1.6036007696343303e-7,pos_neg_null,girl,3,5,6
5,5,0.04622102952181207,pos_neg_null,girl,3,5,6
5,4,0.03119999602688409,pos_neg_null,girl,3,5,6
5,3,0.01285952051980741,pos_neg_null,girl,3,5,6
5,2,0.005504216655856057,pos_neg_null,girl,3,5,6
5,1,0.0027272252862846924,pos_neg_null,girl,3,5,6
6,6,0.042534753792987864,pos_neg_null,girl,3,5,6
6,5,0.037971616584832384,pos_neg_null,girl,3,5,6
6,4,0.02384093263652742,pos_neg_null,girl,3,5,6
6,3,0.009826378252952241,pos_neg_null,girl,3,5,6
6,2,0.004205951128841271,pos_neg_null,girl,3,5,6
6,1,0.00208396162226823,pos_neg_null,girl,3,5,6
7,7,0.031963550319309204,pos_neg_null,girl,3,5,6
7,6,0.031296271178155574,pos_neg_null,girl,3,5,6
7,5,0.027752214672332843,pos_neg_null,girl,3,5,6
7,4,0.01742455918460486,pos_neg_null,girl,3,5,6
7,3,0.007181779003752088,pos_neg_null,girl,3,5,6
7,2,0.003073992342890367,pos_neg_null,girl,3,5,6
7,1,0.001523099501989409,pos_neg_null,girl,3,5,6
8,7,0.02629100332670676,pos_neg_null,girl,3,5,6
8,6,0.02572520719879805,pos_neg_null,girl,3,5,6
8,5,0.022812029861551102,pos_neg_null,girl,3,5,6
8,3,0.005903347139209834,pos_neg_null,girl,3,5,6
8,2,0.0025267895174543864,pos_neg_null,girl,3,5,6
8,1,0.001251971841949409,pos_neg_null,girl,3,5,6
8,8,0.02637960670295588,pos_neg_null,girl,3,5,6
8,4,0.014322805193628071,pos_neg_null,girl,3,5,6
9,1,0.0009143913240564676,pos_neg_null,girl,3,5,6
9,6,0.01878868636175482,pos_neg_null,girl,3,5,6
