value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
1,1,1.2886472924158555e-7,pos_neg_null,hair,1,1,9
3,3,0.07619934240200045,pos_neg_null,hair,1,1,9
3,2,0.0786753347987472,pos_neg_null,hair,1,1,9
3,1,0.02722790498381662,pos_neg_null,hair,1,1,9
2,2,0.00045389253795549006,pos_neg_null,hair,1,1,9
2,1,0.025900666604677162,pos_neg_null,hair,1,1,9
4,4,0.06707369460095147,pos_neg_null,hair,1,1,9
4,3,0.06598797713469155,pos_neg_null,hair,1,1,9
4,2,0.05216823275185745,pos_neg_null,hair,1,1,9
4,1,0.018054345598588078,pos_neg_null,hair,1,1,9
5,2,0.02678909249419707,pos_neg_null,hair,1,1,9
5,5,0.034472610258975835,pos_neg_null,hair,1,1,9
5,4,0.03446520499674815,pos_neg_null,hair,1,1,9
5,3,0.03388571798808483,pos_neg_null,hair,1,1,9
5,1,0.009271150442518196,pos_neg_null,hair,1,1,9
6,6,0.02198998473171137,pos_neg_null,hair,1,1,9
6,3,0.02161552115871518,pos_neg_null,hair,1,1,9
6,1,0.005914018071753716,pos_neg_null,hair,1,1,9
6,2,0.017088621106824672,pos_neg_null,hair,1,1,9
6,5,0.02198994706892952,pos_neg_null,hair,1,1,9
6,4,0.021985172871609872,pos_neg_null,hair,1,1,9
7,1,0.0027325496041106273,pos_neg_null,hair,1,1,9
7,2,0.007895732524605438,pos_neg_null,hair,1,1,9
7,5,0.010160371583003733,pos_neg_null,hair,1,1,9
7,3,0.00998736951227764,pos_neg_null,hair,1,1,9
7,7,0.010160389529787674,pos_neg_null,hair,1,1,9
7,6,0.010160389231344292,pos_neg_null,hair,1,1,9
7,4,0.010158165683252085,pos_neg_null,hair,1,1,9
8,8,0.005805936878752907,pos_neg_null,hair,1,1,9
8,7,0.005805936876083738,pos_neg_null,hair,1,1,9
8,6,0.005805936703625315,pos_neg_null,hair,1,1,9
8,5,0.005805926618859282,pos_neg_null,hair,1,1,9
8,4,0.005804666104715488,pos_neg_null,hair,1,1,9
8,3,0.005707068292730085,pos_neg_null,hair,1,1,9
8,2,0.004511847156917397,pos_neg_null,hair,1,1,9
