value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
3,1,0.004336216971024779,pos_neg_null,kid,3,1,9
3,3,0.008752501117518732,pos_neg_null,kid,3,1,9
3,2,0.01562123811867679,pos_neg_null,kid,3,1,9
2,2,0.000014505357578841722,pos_neg_null,kid,3,1,9
2,1,0.0039001576753751937,pos_neg_null,kid,3,1,9
4,4,0.06290440249318667,pos_neg_null,kid,3,1,9
4,3,0.04261035520478784,pos_neg_null,kid,3,1,9
4,2,0.011425652615222073,pos_neg_null,kid,3,1,9
4,1,0.0031715865540724707,pos_neg_null,kid,3,1,9
1,1,2.0000405437693863e-9,pos_neg_null,kid,3,1,9
5,5,0.03878447179792726,pos_neg_null,kid,3,1,9
5,4,0.03794920926165137,pos_neg_null,kid,3,1,9
5,3,0.024743844183822118,pos_neg_null,kid,3,1,9
5,2,0.006634879400812115,pos_neg_null,kid,3,1,9
5,1,0.0018417411244827323,pos_neg_null,kid,3,1,9
6,6,0.02958048793146096,pos_neg_null,kid,3,1,9
6,5,0.029558569831087192,pos_neg_null,kid,3,1,9
6,4,0.0289083682316697,pos_neg_null,kid,3,1,9
6,3,0.01884898718708801,pos_neg_null,kid,3,1,9
6,2,0.005054216955324519,pos_neg_null,kid,3,1,9
6,1,0.0014029733860030215,pos_neg_null,kid,3,1,9
7,7,0.021301572104149253,pos_neg_null,kid,3,1,9
7,6,0.02130054322618264,pos_neg_null,kid,3,1,9
7,5,0.021284452793427663,pos_neg_null,kid,3,1,9
7,4,0.020816257433229353,pos_neg_null,kid,3,1,9
7,3,0.013572726294949483,pos_neg_null,kid,3,1,9
7,2,0.0036394264948572336,pos_neg_null,kid,3,1,9
7,1,0.0010102491756353818,pos_neg_null,kid,3,1,9
8,8,0.010964920283118735,pos_neg_null,kid,3,1,9
8,7,0.010964889841929094,pos_neg_null,kid,3,1,9
8,6,0.01096435469015297,pos_neg_null,kid,3,1,9
8,5,0.010956072215383653,pos_neg_null,kid,3,1,9
8,4,0.010715070850348599,pos_neg_null,kid,3,1,9
8,3,0.006986497181314476,pos_neg_null,kid,3,1,9
8,2,0.001873377713170487,pos_neg_null,kid,3,1,9
8,1,0.0005200210233833585,pos_neg_null,kid,3,1,9
9,1,0.0004387677384797101,pos_neg_null,kid,3,1,9
9,6,0.009251174269816597,pos_neg_null,kid,3,1,9
9,2,0.001580662445487595,pos_neg_null,kid,3,1,9
9,9,0.009251653075018377,pos_neg_null,kid,3,1,9
9,8,0.009251651707114004,pos_neg_null,kid,3,1,9
9,7,0.009251625804127703,pos_neg_null,kid,3,1,9
9,5,0.009244185931729987,pos_neg_null,kid,3,1,9
9,4,0.00904084102998165,pos_neg_null,kid,3,1,9
9,3,0.005894856996734098,pos_neg_null,kid,3,1,9
14,8,0.0075383828724632646,pos_neg_null,kid,3,1,9
14,4,0.007366611209614686,pos_neg_null,kid,3,1,9
14,14,0.007538384211447985,pos_neg_null,kid,3,1,9
14,13,0.007538384211321978,pos_neg_null,kid,3,1,9
14,12,0.007538384210361706,pos_neg_null,kid,3,1,9
14,11,0.00753838420535406,pos_neg_null,kid,3,1,9
14,10,0.007538384183375581,pos_neg_null,kid,3,1,9
14,9,0.007538384009018185,pos_neg_null,kid,3,1,9
14,7,0.007538361766326277,pos_neg_null,kid,3,1,9
14,6,0.007537993849480192,pos_neg_null,kid,3,1,9
14,5,0.007532299648076286,pos_neg_null,kid,3,1,9
14,3,0.00480321681215371,pos_neg_null,kid,3,1,9
14,2,0.001287947177804705,pos_neg_null,kid,3,1,9
14,1,0.0003575144535760602,pos_neg_null,kid,3,1,9
13,6,0.007024039723379275,pos_neg_null,kid,3,1,9
13,13,0.00702440346963304,pos_neg_null,kid,3,1,9
13,12,0.00702440346874614,pos_neg_null,kid,3,1,9
13,10,0.007024403443599978,pos_neg_null,kid,3,1,9
13,9,0.007024403281130587,pos_neg_null,kid,3,1,9
13,5,0.007018733762980181,pos_neg_null,kid,3,1,9
13,4,0.006864342263504592,pos_neg_null,kid,3,1,9
13,3,0.004475724756779597,pos_neg_null,kid,3,1,9
13,11,0.007024403464079924,pos_neg_null,kid,3,1,9
13,1,0.0003331384681049654,pos_neg_null,kid,3,1,9
13,2,0.0012001325974998417,pos_neg_null,kid,3,1,9
13,8,0.007024402222068047,pos_neg_null,kid,3,1,9
13,7,0.007024382554985854,pos_neg_null,kid,3,1,9
15,10,0.006167768877307296,pos_neg_null,kid,3,1,9
15,11,0.006167768895289688,pos_neg_null,kid,3,1,9
15,15,0.006167768900278323,pos_neg_null,kid,3,1,9
15,9,0.006167768734651246,pos_neg_null,kid,3,1,9
15,14,0.00616776890027577,pos_neg_null,kid,3,1,9
15,3,0.003929904664489401,pos_neg_null,kid,3,1,9
