value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
3,1,0.00196838221800388,pos_neg_null,mov,3,1,7
3,3,0.00006739707141387784,pos_neg_null,mov,3,1,7
3,2,0.003620538512999713,pos_neg_null,mov,3,1,7
4,3,0.006627155560787626,pos_neg_null,mov,3,1,7
4,2,0.0031607392569333098,pos_neg_null,mov,3,1,7
4,1,0.0017184026427990093,pos_neg_null,mov,3,1,7
4,4,0.0014944435311977874,pos_neg_null,mov,3,1,7
2,2,6.459789570185838e-7,pos_neg_null,mov,3,1,7
2,1,0.0015859631327566949,pos_neg_null,mov,3,1,7
5,5,0.00950520363449469,pos_neg_null,mov,3,1,7
5,4,0.01240393849373852,pos_neg_null,mov,3,1,7
5,3,0.005248094288022575,pos_neg_null,mov,3,1,7
5,2,0.0025030131687853417,pos_neg_null,mov,3,1,7
5,1,0.0013608159656847668,pos_neg_null,mov,3,1,7
1,1,1.256418050582787e-9,pos_neg_null,mov,3,1,7
6,6,0.01991741331227706,pos_neg_null,mov,3,1,7
6,5,0.018834380909433318,pos_neg_null,mov,3,1,7
6,4,0.011121292785748539,pos_neg_null,mov,3,1,7
6,3,0.004705408139017808,pos_neg_null,mov,3,1,7
6,2,0.002244185772986371,pos_neg_null,mov,3,1,7
6,1,0.0012200989862648094,pos_neg_null,mov,3,1,7
7,7,0.01879053755899848,pos_neg_null,mov,3,1,7
7,6,0.017874343870300066,pos_neg_null,mov,3,1,7
7,5,0.01451550658963114,pos_neg_null,mov,3,1,7
7,4,0.008571091319274327,pos_neg_null,mov,3,1,7
7,3,0.0036264203839377457,pos_neg_null,mov,3,1,7
7,2,0.0017295760095743006,pos_neg_null,mov,3,1,7
7,1,0.0009403205213004234,pos_neg_null,mov,3,1,7
8,8,0.016841433063367817,pos_neg_null,mov,3,1,7
8,7,0.016573977935203064,pos_neg_null,mov,3,1,7
8,6,0.015388299564395655,pos_neg_null,mov,3,1,7
8,5,0.01249662451114371,pos_neg_null,mov,3,1,7
8,4,0.007378985308318918,pos_neg_null,mov,3,1,7
8,3,0.003122041492509796,pos_neg_null,mov,3,1,7
8,2,0.0014890187828905522,pos_neg_null,mov,3,1,7
8,1,0.0008095365051336399,pos_neg_null,mov,3,1,7
15,1,0.0007515942194901285,pos_neg_null,mov,3,1,7
15,6,0.01428688753013422,pos_neg_null,mov,3,1,7
15,2,0.0013824427963850948,pos_neg_null,mov,3,1,7
15,15,0.01584776742543971,pos_neg_null,mov,3,1,7
15,14,0.01584775687385849,pos_neg_null,mov,3,1,7
15,13,0.01584763272301792,pos_neg_null,mov,3,1,7
15,12,0.01584693975272462,pos_neg_null,mov,3,1,7
15,11,0.015844262334314286,pos_neg_null,mov,3,1,7
15,10,0.015835198313686655,pos_neg_null,mov,3,1,7
15,9,0.015805489285464477,pos_neg_null,mov,3,1,7
15,8,0.01570538687265964,pos_neg_null,mov,3,1,7
15,7,0.015387701395873617,pos_neg_null,mov,3,1,7
15,5,0.011602183083965736,pos_neg_null,mov,3,1,7
15,4,0.006850837075617162,pos_neg_null,mov,3,1,7
15,3,0.0028985824899784123,pos_neg_null,mov,3,1,7
9,8,0.014148685530655907,pos_neg_null,mov,3,1,7
9,4,0.006171789347857725,pos_neg_null,mov,3,1,7
9,9,0.014226548164927478,pos_neg_null,mov,3,1,7
9,7,0.013862488702449997,pos_neg_null,mov,3,1,7
9,6,0.012870786343226621,pos_neg_null,mov,3,1,7
9,5,0.01045218696330832,pos_neg_null,mov,3,1,7
9,3,0.002611278058152347,pos_neg_null,mov,3,1,7
9,2,0.001245416528020927,pos_neg_null,mov,3,1,7
9,1,0.000677096995091326,pos_neg_null,mov,3,1,7
10,10,0.012554267041902593,pos_neg_null,mov,3,1,7
10,6,0.011328809495260573,pos_neg_null,mov,3,1,7
10,9,0.012532987098606146,pos_neg_null,mov,3,1,7
10,5,0.00919996896525914,pos_neg_null,mov,3,1,7
10,4,0.005432381822075262,pos_neg_null,mov,3,1,7
10,3,0.002298435454608432,pos_neg_null,mov,3,1,7
10,1,0.0005959777951904086,pos_neg_null,mov,3,1,7
10,2,0.001096210146913286,pos_neg_null,mov,3,1,7
10,8,0.012453610736029623,pos_neg_null,mov,3,1,7
10,7,0.012201701547388725,pos_neg_null,mov,3,1,7
13,12,0.011937562545003978,pos_neg_null,mov,3,1,7
13,8,0.011830930199228158,pos_neg_null,mov,3,1,7
13,9,0.011906337743675853,pos_neg_null,mov,3,1,7
13,10,0.01192871767242472,pos_neg_null,mov,3,1,7
13,4,0.005160762730971506,pos_neg_null,mov,3,1,7
13,6,0.010762369020497558,pos_neg_null,mov,3,1,7
13,13,0.011938075087755719,pos_neg_null,mov,3,1,7
13,11,0.01193554563510016,pos_neg_null,mov,3,1,7
13,7,0.011591616470019304,pos_neg_null,mov,3,1,7
13,5,0.0087399705169962,pos_neg_null,mov,3,1,7
13,1,0.0005661789054308883,pos_neg_null,mov,3,1,7
13,3,0.0021835136818780135,pos_neg_null,mov,3,1,7
13,2,0.0010413996395676238,pos_neg_null,mov,3,1,7
11,6,0.01054208661364526,pos_neg_null,mov,3,1,7
11,3,0.002138821881371737,pos_neg_null,mov,3,1,7
11,11,0.011690817162763618,pos_neg_null,mov,3,1,7
11,8,0.011588776657138684,pos_neg_null,mov,3,1,7
11,9,0.011662640772314058,pos_neg_null,mov,3,1,7
11,4,0.005055133084431149,pos_neg_null,mov,3,1,7
11,5,0.0085610822315606,pos_neg_null,mov,3,1,7
11,7,0.011354361162153402,pos_neg_null,mov,3,1,7
11,1,0.0005545904483021856,pos_neg_null,mov,3,1,7
11,10,0.011684562632345843,pos_neg_null,mov,3,1,7
11,2,0.0010200844422665314,pos_neg_null,mov,3,1,7
12,1,0.0005529349544266585,pos_neg_null,mov,3,1,7
12,9,0.011627826919262414,pos_neg_null,mov,3,1,7
12,7,0.011320467546744028,pos_neg_null,mov,3,1,7
12,10,0.011649683340906042,pos_neg_null,mov,3,1,7
12,6,0.010510617698380683,pos_neg_null,mov,3,1,7
12,3,0.002132437338442268,pos_neg_null,mov,3,1,7
12,4,0.005040043134925402,pos_neg_null,mov,3,1,7
12,2,0.0010170394140806645,pos_neg_null,mov,3,1,7
12,12,0.011658245373434772,pos_neg_null,mov,3,1,7
12,8,0.011554183293983084,pos_neg_null,mov,3,1,7
12,11,0.011656351585156327,pos_neg_null,mov,3,1,7
12,5,0.008535526762212685,pos_neg_null,mov,3,1,7
14,8,0.011519589930827433,pos_neg_null,mov,3,1,7
14,6,0.010479148783116057,pos_neg_null,mov,3,1,7
14,10,0.01161480404946619,pos_neg_null,mov,3,1,7
14,7,0.011286573931334599,pos_neg_null,mov,3,1,7
14,3,0.002126052795512805,pos_neg_null,mov,3,1,7
14,14,0.011624014942400776,pos_neg_null,mov,3,1,7
14,4,0.005024953185419631,pos_neg_null,mov,3,1,7
14,12,0.01162341616224073,pos_neg_null,mov,3,1,7
14,9,0.011593013066210715,pos_neg_null,mov,3,1,7
14,11,0.01162145232891333,pos_neg_null,mov,3,1,7
14,1,0.0005512794605511289,pos_neg_null,mov,3,1,7
14,13,0.011623924442213572,pos_neg_null,mov,3,1,7
14,2,0.0010139943858947932,pos_neg_null,mov,3,1,7
14,5,0.008509971292864732,pos_neg_null,mov,3,1,7
