value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
8,1,0.016470066478688036,pos_neg_null,move,1,3,7
8,8,0.0161275550260041,pos_neg_null,move,1,3,7
8,6,0.018543879376673105,pos_neg_null,move,1,3,7
8,7,0.033451679570348176,pos_neg_null,move,1,3,7
8,4,0.017204758712163492,pos_neg_null,move,1,3,7
8,5,0.017663181192080456,pos_neg_null,move,1,3,7
8,2,0.016612525032583026,pos_neg_null,move,1,3,7
8,3,0.016828113523881964,pos_neg_null,move,1,3,7
7,3,0.015171630380396811,pos_neg_null,move,1,3,7
7,2,0.014977263442022342,pos_neg_null,move,1,3,7
7,1,0.014848827861815869,pos_neg_null,move,1,3,7
7,7,0.00011555103683930508,pos_neg_null,move,1,3,7
7,6,0.01671850402733957,pos_neg_null,move,1,3,7
7,4,0.015511200325242554,pos_neg_null,move,1,3,7
7,5,0.015924497776171616,pos_neg_null,move,1,3,7
9,9,0.04457864836398513,pos_neg_null,move,1,3,7
9,8,0.040717775865039475,pos_neg_null,move,1,3,7
9,6,0.013974396714103044,pos_neg_null,move,1,3,7
9,7,0.02520869725118802,pos_neg_null,move,1,3,7
9,5,0.013310715422454353,pos_neg_null,move,1,3,7
9,4,0.012965254935632956,pos_neg_null,move,1,3,7
9,3,0.012681420621647647,pos_neg_null,move,1,3,7
9,2,0.012518956282702694,pos_neg_null,move,1,3,7
9,1,0.012411601596716651,pos_neg_null,move,1,3,7
6,6,9.898972067488376e-8,pos_neg_null,move,1,3,7
6,5,0.01085813550464921,pos_neg_null,move,1,3,7
6,4,0.010576328204413414,pos_neg_null,move,1,3,7
6,3,0.010344792081499793,pos_neg_null,move,1,3,7
6,2,0.010212262780786019,pos_neg_null,move,1,3,7
6,1,0.010124688845764541,pos_neg_null,move,1,3,7
10,10,0.030918073279315145,pos_neg_null,move,1,3,7
10,9,0.030694401825991563,pos_neg_null,move,1,3,7
10,8,0.027297816864537746,pos_neg_null,move,1,3,7
10,7,0.016900294437431435,pos_neg_null,move,1,3,7
10,6,0.009368648316115837,pos_neg_null,move,1,3,7
10,5,0.008923706273704306,pos_neg_null,move,1,3,7
10,4,0.008692104303733196,pos_neg_null,move,1,3,7
10,2,0.008392898891950343,pos_neg_null,move,1,3,7
10,3,0.008501817458284584,pos_neg_null,move,1,3,7
10,1,0.008320926675999492,pos_neg_null,move,1,3,7
11,11,0.016727059486088033,pos_neg_null,move,1,3,7
11,10,0.01672223853060477,pos_neg_null,move,1,3,7
11,9,0.016594779825923223,pos_neg_null,move,1,3,7
11,8,0.014758432601601722,pos_neg_null,move,1,3,7
11,7,0.00913706241197907,pos_neg_null,move,1,3,7
