value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
3,1,0.015267146853667306,pos_neg_null,poem,1,5,2
3,3,0.008098804463056065,pos_neg_null,poem,1,5,2
3,2,0.01778172835694339,pos_neg_null,poem,1,5,2
2,2,0.0025879462606087176,pos_neg_null,poem,1,5,2
2,1,0.013202550481996984,pos_neg_null,poem,1,5,2
4,4,0.012211149467268496,pos_neg_null,poem,1,5,2
4,3,0.017480644419418635,pos_neg_null,poem,1,5,2
4,2,0.014389911132985512,pos_neg_null,poem,1,5,2
4,1,0.012354979339942871,pos_neg_null,poem,1,5,2
5,5,0.018295448798564744,pos_neg_null,poem,1,5,2
5,4,0.021582861877488348,pos_neg_null,poem,1,5,2
5,3,0.01708091112574681,pos_neg_null,poem,1,5,2
5,2,0.014060854238123928,pos_neg_null,poem,1,5,2
5,1,0.01207245562592482,pos_neg_null,poem,1,5,2
6,6,0.02349088959065063,pos_neg_null,poem,1,5,2
6,5,0.024054550981430473,pos_neg_null,poem,1,5,2
6,4,0.019873328263429874,pos_neg_null,poem,1,5,2
6,3,0.0157279676702421,pos_neg_null,poem,1,5,2
6,2,0.012947123209361637,pos_neg_null,poem,1,5,2
6,1,0.011116221516940677,pos_neg_null,poem,1,5,2
1,1,0.00040281852321154656,pos_neg_null,poem,1,5,2
7,7,0.020798780298622546,pos_neg_null,poem,1,5,2
7,6,0.020033259575344305,pos_neg_null,poem,1,5,2
7,5,0.01674177937319503,pos_neg_null,poem,1,5,2
7,4,0.013831681059200468,pos_neg_null,poem,1,5,2
7,3,0.010946542503628925,pos_neg_null,poem,1,5,2
7,2,0.009011096505440363,pos_neg_null,poem,1,5,2
7,1,0.0077368032454171705,pos_neg_null,poem,1,5,2
8,8,0.016049987650578985,pos_neg_null,poem,1,5,2
8,7,0.01566501774325103,pos_neg_null,poem,1,5,2
8,6,0.013505568253041085,pos_neg_null,poem,1,5,2
8,5,0.011286592835861807,pos_neg_null,poem,1,5,2
8,4,0.009324728803955361,pos_neg_null,poem,1,5,2
8,3,0.007379691575480167,pos_neg_null,poem,1,5,2
8,2,0.0060748965205215865,pos_neg_null,poem,1,5,2
8,1,0.0052158224126407846,pos_neg_null,poem,1,5,2
9,1,0.004466047940823673,pos_neg_null,poem,1,5,2
9,6,0.011564142816666444,pos_neg_null,poem,1,5,2
9,2,0.005201630145696606,pos_neg_null,poem,1,5,2
9,9,0.014792488679462734,pos_neg_null,poem,1,5,2
9,8,0.014626350279482869,pos_neg_null,poem,1,5,2
9,7,0.013413171442658701,pos_neg_null,poem,1,5,2
9,5,0.009664145115706676,pos_neg_null,poem,1,5,2
9,4,0.007984299038386775,pos_neg_null,poem,1,5,2
9,3,0.006318860911504891,pos_neg_null,poem,1,5,2
10,8,0.01195730825767943,pos_neg_null,poem,1,5,2
10,4,0.006527310162768753,pos_neg_null,poem,1,5,2
10,10,0.01270143161098817,pos_neg_null,poem,1,5,2
