value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
2,1,0.0006476662999017524,pos_neg_null,shoe,5,5,6
2,2,0.00015776775932327584,pos_neg_null,shoe,5,5,6
3,3,0.0027660697552662206,pos_neg_null,shoe,5,5,6
3,2,0.0015314874422574314,pos_neg_null,shoe,5,5,6
3,1,0.000614853899672902,pos_neg_null,shoe,5,5,6
1,1,7.37423152174901e-7,pos_neg_null,shoe,5,5,6
4,4,0.012749116726801249,pos_neg_null,shoe,5,5,6
4,3,0.004122018250633671,pos_neg_null,shoe,5,5,6
4,2,0.0012762395352145259,pos_neg_null,shoe,5,5,6
4,1,0.0005123782497274182,pos_neg_null,shoe,5,5,6
5,5,0.03196101589816175,pos_neg_null,shoe,5,5,6
5,4,0.012161118012066362,pos_neg_null,shoe,5,5,6
5,3,0.003403203245350763,pos_neg_null,shoe,5,5,6
5,2,0.0010536834783347485,pos_neg_null,shoe,5,5,6
5,1,0.00042302755987347535,pos_neg_null,shoe,5,5,6
6,6,0.03982713496070615,pos_neg_null,shoe,5,5,6
6,5,0.02465196375995638,pos_neg_null,shoe,5,5,6
6,4,0.009070046250049493,pos_neg_null,shoe,5,5,6
6,3,0.002538188577976404,pos_neg_null,shoe,5,5,6
6,2,0.0007858617827675656,pos_neg_null,shoe,5,5,6
6,1,0.0003155038483543225,pos_neg_null,shoe,5,5,6
7,7,0.03027079706446034,pos_neg_null,shoe,5,5,6
7,6,0.026658990612978297,pos_neg_null,shoe,5,5,6
7,5,0.016408347078626966,pos_neg_null,shoe,5,5,6
7,4,0.006037022784032928,pos_neg_null,shoe,5,5,6
7,3,0.0016894183175010966,pos_neg_null,shoe,5,5,6
7,2,0.0005230696026100914,pos_neg_null,shoe,5,5,6
7,1,0.0002099993614646366,pos_neg_null,shoe,5,5,6
8,8,0.025110525056400306,pos_neg_null,shoe,5,5,6
8,7,0.02447086498114595,pos_neg_null,shoe,5,5,6
8,6,0.021532261648944007,pos_neg_null,shoe,5,5,6
8,5,0.013252895717352525,pos_neg_null,shoe,5,5,6
8,4,0.004876056864026609,pos_neg_null,shoe,5,5,6
8,3,0.0013645301795201115,pos_neg_null,shoe,5,5,6
8,2,0.0004224792944158408,pos_neg_null,shoe,5,5,6
8,1,0.0001696148688752834,pos_neg_null,shoe,5,5,6
9,1,0.00014084091790536924,pos_neg_null,shoe,5,5,6
9,6,0.017879467262069567,pos_neg_null,shoe,5,5,6
9,2,0.00035080869982744044,pos_neg_null,shoe,5,5,6
9,9,0.02099531788835792,pos_neg_null,shoe,5,5,6
9,8,0.0208542354971105,pos_neg_null,shoe,5,5,6
9,7,0.02031955752898726,pos_neg_null,shoe,5,5,6
9,5,0.011004636622444525,pos_neg_null,shoe,5,5,6
9,4,0.004048868646022094,pos_neg_null,shoe,5,5,6
9,3,0.001133047381208668,pos_neg_null,shoe,5,5,6
10,8,0.018761337311020556,pos_neg_null,shoe,5,5,6
10,4,0.003642530574019876,pos_neg_null,shoe,5,5,6
10,10,0.018921576372540588,pos_neg_null,shoe,5,5,6
10,9,0.018888893411375413,pos_neg_null,shoe,5,5,6
10,7,0.018280318780558434,pos_neg_null,shoe,5,5,6
10,6,0.016085112124657564,pos_neg_null,shoe,5,5,6
10,5,0.009900228645998477,pos_neg_null,shoe,5,5,6
10,3,0.001019336532915321,pos_neg_null,shoe,5,5,6
10,2,0.0003156020919594544,pos_neg_null,shoe,5,5,6
10,1,0.0001267063454990956,pos_neg_null,shoe,5,5,6
