value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
4,1,0.008007156070684508,pos_neg_null,trav,1,1,9
4,4,0.000022418588842230616,pos_neg_null,trav,1,1,9
4,3,0.015051298517919738,pos_neg_null,trav,1,1,9
4,2,0.01038526240768148,pos_neg_null,trav,1,1,9
3,3,1.244892397190391e-7,pos_neg_null,trav,1,1,9
3,2,0.010111186295638577,pos_neg_null,trav,1,1,9
3,1,0.007795840254268434,pos_neg_null,trav,1,1,9
5,5,0.0013455753338569988,pos_neg_null,trav,1,1,9
5,4,0.02271301416063624,pos_neg_null,trav,1,1,9
5,3,0.014589668106885117,pos_neg_null,trav,1,1,9
5,2,0.010066741520712689,pos_neg_null,trav,1,1,9
5,1,0.0077615728245793375,pos_neg_null,trav,1,1,9
6,6,0.01622675702408008,pos_neg_null,trav,1,1,9
6,5,0.023950134812710938,pos_neg_null,trav,1,1,9
6,4,0.019938650400028735,pos_neg_null,trav,1,1,9
6,3,0.012807560008472378,pos_neg_null,trav,1,1,9
6,2,0.00883710274776322,pos_neg_null,trav,1,1,9
6,1,0.006813507269847799,pos_neg_null,trav,1,1,9
7,7,0.022115213611842377,pos_neg_null,trav,1,1,9
7,6,0.02238147977252295,pos_neg_null,trav,1,1,9
7,5,0.0213603884666592,pos_neg_null,trav,1,1,9
7,4,0.01778266892341205,pos_neg_null,trav,1,1,9
7,3,0.011422668775368497,pos_neg_null,trav,1,1,9
7,2,0.007881540086856702,pos_neg_null,trav,1,1,9
7,1,0.006076757531532323,pos_neg_null,trav,1,1,9
8,8,0.01922082812880507,pos_neg_null,trav,1,1,9
8,7,0.019213628490842277,pos_neg_null,trav,1,1,9
8,6,0.019057914167204662,pos_neg_null,trav,1,1,9
8,5,0.01818845108157256,pos_neg_null,trav,1,1,9
8,4,0.015142009440424145,pos_neg_null,trav,1,1,9
8,3,0.009726445404590077,pos_neg_null,trav,1,1,9
8,2,0.006711161013808422,pos_neg_null,trav,1,1,9
8,1,0.005174381883052891,pos_neg_null,trav,1,1,9
9,9,0.016563270682024962,pos_neg_null,trav,1,1,9
9,8,0.01656153036389769,pos_neg_null,trav,1,1,9
9,7,0.01654153446231454,pos_neg_null,trav,1,1,9
9,6,0.016407475773090104,pos_neg_null,trav,1,1,9
9,5,0.01565893139473134,pos_neg_null,trav,1,1,9
9,4,0.013036167067914824,pos_neg_null,trav,1,1,9
9,3,0.008373760944349056,pos_neg_null,trav,1,1,9
9,2,0.005777820740364865,pos_neg_null,trav,1,1,9
9,1,0.004454765859581958,pos_neg_null,trav,1,1,9
2,2,4.4766128344164344e-11,pos_neg_null,trav,1,1,9
2,1,0.0043633860470777205,pos_neg_null,trav,1,1,9
10,1,0.0029812663829510114,pos_neg_null,trav,1,1,9
10,6,0.010980387632760331,pos_neg_null,trav,1,1,9
10,2,0.0038666954185518927,pos_neg_null,trav,1,1,9
10,10,0.011085163484964435,pos_neg_null,trav,1,1,9
10,9,0.011085033409337915,pos_neg_null,trav,1,1,9
10,8,0.011083485705070024,pos_neg_null,trav,1,1,9
10,7,0.01107010383247207,pos_neg_null,trav,1,1,9
10,5,0.010479438702627927,pos_neg_null,trav,1,1,9
10,4,0.008724204114681484,pos_neg_null,trav,1,1,9
10,3,0.005603978478141308,pos_neg_null,trav,1,1,9
1,1,3.190145037179638e-15,pos_neg_null,trav,1,1,9
11,6,0.008582371942847129,pos_neg_null,trav,1,1,9
11,10,0.008664277529726127,pos_neg_null,trav,1,1,9
11,9,0.008664164044080182,pos_neg_null,trav,1,1,9
11,5,0.008190825652628698,pos_neg_null,trav,1,1,9
11,4,0.006818918158601603,pos_neg_null,trav,1,1,9
11,3,0.00438012110935182,pos_neg_null,trav,1,1,9
11,11,0.008664283972666453,pos_neg_null,trav,1,1,9
11,1,0.0023301852188582542,pos_neg_null,trav,1,1,9
11,2,0.0030222446949600902,pos_neg_null,trav,1,1,9
11,8,0.008662954344192635,pos_neg_null,trav,1,1,9
11,7,0.008652494949518372,pos_neg_null,trav,1,1,9
12,8,0.00764378324487585,pos_neg_null,trav,1,1,9
12,9,0.007644850627129569,pos_neg_null,trav,1,1,9
12,10,0.007644950761523049,pos_neg_null,trav,1,1,9
12,12,0.007644957582711016,pos_neg_null,trav,1,1,9
12,4,0.0060166924928837595,pos_neg_null,trav,1,1,9
12,11,0.007644957070859393,pos_neg_null,trav,1,1,9
12,1,0.002056045781345517,pos_neg_null,trav,1,1,9
12,7,0.007634554367222089,pos_neg_null,trav,1,1,9
12,5,0.007227199105260618,pos_neg_null,trav,1,1,9
12,3,0.003864812743545728,pos_neg_null,trav,1,1,9
12,6,0.0075726811260415795,pos_neg_null,trav,1,1,9
12,2,0.0026666864955530193,pos_neg_null,trav,1,1,9
13,12,0.006901697850855212,pos_neg_null,trav,1,1,9
13,6,0.006836448238787559,pos_neg_null,trav,1,1,9
13,2,0.0024074253084853704,pos_neg_null,trav,1,1,9
13,10,0.00690169165970833,pos_neg_null,trav,1,1,9
13,11,0.006901697355636975,pos_neg_null,trav,1,1,9
13,8,0.006900637651624054,pos_neg_null,trav,1,1,9
13,9,0.0069016012606031045,pos_neg_null,trav,1,1,9
13,1,0.001856152441492487,pos_neg_null,trav,1,1,9
13,5,0.00652455474780474,pos_neg_null,trav,1,1,9
13,4,0.005431736278297856,pos_neg_null,trav,1,1,9
13,7,0.006892306025964408,pos_neg_null,trav,1,1,9
13,3,0.003489067060145448,pos_neg_null,trav,1,1,9
13,13,0.006901697890729565,pos_neg_null,trav,1,1,9
14,2,0.0022444611337571257,pos_neg_null,trav,1,1,9
14,14,0.006434506036557116,pos_neg_null,trav,1,1,9
14,1,0.0017305051992991443,pos_neg_null,trav,1,1,9
14,5,0.0060828925802610175,pos_neg_null,trav,1,1,9
14,8,0.006433517564437176,pos_neg_null,trav,1,1,9
14,13,0.006434506034653151,pos_neg_null,trav,1,1,9
14,3,0.0032528840591509777,pos_neg_null,trav,1,1,9
14,7,0.0064257499257452605,pos_neg_null,trav,1,1,9
14,6,0.006373673281084999,pos_neg_null,trav,1,1,9
14,4,0.005064049514843833,pos_neg_null,trav,1,1,9
14,11,0.006434505534639992,pos_neg_null,trav,1,1,9
14,9,0.006434415944500722,pos_neg_null,trav,1,1,9
14,10,0.006434500224281902,pos_neg_null,trav,1,1,9
14,12,0.006434505996335764,pos_neg_null,trav,1,1,9
15,5,0.005480625988155978,pos_neg_null,trav,1,1,9
15,2,0.0020222372591277116,pos_neg_null,trav,1,1,9
15,12,0.005797426194718374,pos_neg_null,trav,1,1,9
15,1,0.001559168050853688,pos_neg_null,trav,1,1,9
15,10,0.005797420994154994,pos_neg_null,trav,1,1,9
15,4,0.004562658473770196,pos_neg_null,trav,1,1,9
15,11,0.005797425778735055,pos_neg_null,trav,1,1,9
15,6,0.005742616520581546,pos_neg_null,trav,1,1,9
15,14,0.005797426230971765,pos_neg_null,trav,1,1,9
15,7,0.005789537061810099,pos_neg_null,trav,1,1,9
15,13,0.00579742622924196,pos_neg_null,trav,1,1,9
15,15,0.005797426231003123,pos_neg_null,trav,1,1,9
15,9,0.005797345058906604,pos_neg_null,trav,1,1,9
15,3,0.0029308163305221745,pos_neg_null,trav,1,1,9
15,8,0.005796535627364201,pos_neg_null,trav,1,1,9
