value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
7,1,0.0015372028149313575,pos_neg_null,tv,3,1,9
7,7,0.025804595471318293,pos_neg_null,tv,3,1,9
7,6,0.0274691842503396,pos_neg_null,tv,3,1,9
7,5,0.019282333180997858,pos_neg_null,tv,3,1,9
7,4,0.010366484708365485,pos_neg_null,tv,3,1,9
7,3,0.005016996927113628,pos_neg_null,tv,3,1,9
7,2,0.0027216178123390796,pos_neg_null,tv,3,1,9
5,3,0.004547974992165065,pos_neg_null,tv,3,1,9
5,2,0.0024671830436759465,pos_neg_null,tv,3,1,9
5,1,0.0013934949655661278,pos_neg_null,tv,3,1,9
5,5,0.00026612069904422757,pos_neg_null,tv,3,1,9
5,4,0.009397357402296023,pos_neg_null,tv,3,1,9
4,4,0.000007940555042259467,pos_neg_null,tv,3,1,9
4,3,0.004463397266190749,pos_neg_null,tv,3,1,9
4,2,0.0024213013640809766,pos_neg_null,tv,3,1,9
4,1,0.001367580435352726,pos_neg_null,tv,3,1,9
6,6,0.004403142811005371,pos_neg_null,tv,3,1,9
6,5,0.016194204725190543,pos_neg_null,tv,3,1,9
6,4,0.008706258421738377,pos_neg_null,tv,3,1,9
6,3,0.004213508530357503,pos_neg_null,tv,3,1,9
6,2,0.0022857418561866845,pos_neg_null,tv,3,1,9
6,1,0.0012910147779040377,pos_neg_null,tv,3,1,9
3,3,1.22976436361064e-7,pos_neg_null,tv,3,1,9
3,2,0.0022502878310451035,pos_neg_null,tv,3,1,9
3,1,0.0012709899136482273,pos_neg_null,tv,3,1,9
8,8,0.024543494472783152,pos_neg_null,tv,3,1,9
8,7,0.02386691811768443,pos_neg_null,tv,3,1,9
8,6,0.02109128170026076,pos_neg_null,tv,3,1,9
8,5,0.014805285706789158,pos_neg_null,tv,3,1,9
8,4,0.007959553776078328,pos_neg_null,tv,3,1,9
8,3,0.0038521309739217263,pos_neg_null,tv,3,1,9
8,2,0.002089701952462643,pos_neg_null,tv,3,1,9
8,1,0.0011802890579013185,pos_neg_null,tv,3,1,9
2,2,5.800215784656364e-10,pos_neg_null,tv,3,1,9
2,1,0.0010212680770463512,pos_neg_null,tv,3,1,9
9,9,0.020788266478977607,pos_neg_null,tv,3,1,9
9,8,0.020703000734415465,pos_neg_null,tv,3,1,9
9,7,0.01996055627007939,pos_neg_null,tv,3,1,9
9,6,0.017639215633551402,pos_neg_null,tv,3,1,9
9,5,0.012382065291705902,pos_neg_null,tv,3,1,9
9,4,0.006656792479394849,pos_neg_null,tv,3,1,9
9,3,0.0032216424712039927,pos_neg_null,tv,3,1,9
