value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
10,1,0.000003429447867213911,pos_neg_null,bas,9,3,48
10,10,0.027792533341143698,pos_neg_null,bas,9,3,48
10,9,0.027792533340895195,pos_neg_null,bas,9,3,48
10,8,0.02779253179464156,pos_neg_null,bas,9,3,48
10,7,0.027792032292626237,pos_neg_null,bas,9,3,48
10,6,0.027738062200329712,pos_neg_null,bas,9,3,48
10,5,0.02419630087874713,pos_neg_null,bas,9,3,48
10,4,0.0029711855231160126,pos_neg_null,bas,9,3,48
10,3,0.00012875757371945198,pos_neg_null,bas,9,3,48
10,2,0.00001369452972818208,pos_neg_null,bas,9,3,48
9,3,0.00011761619579724972,pos_neg_null,bas,9,3,48
9,2,0.000012509543658928121,pos_neg_null,bas,9,3,48
9,1,0.0000031326981409697093,pos_neg_null,bas,9,3,48
9,9,0.025387213179028024,pos_neg_null,bas,9,3,48
9,8,0.025387647241492377,pos_neg_null,bas,9,3,48
9,7,0.025387190961328514,pos_neg_null,bas,9,3,48
9,6,0.025337890894859612,pos_neg_null,bas,9,3,48
9,5,0.02210259776970296,pos_neg_null,bas,9,3,48
9,4,0.0027140891843628174,pos_neg_null,bas,9,3,48
8,8,0.00003904214751385633,pos_neg_null,bas,9,3,48
8,7,0.02434591945705527,pos_neg_null,bas,9,3,48
8,6,0.024298641463625134,pos_neg_null,bas,9,3,48
8,5,0.021196045908055024,pos_neg_null,bas,9,3,48
8,4,0.0026027691201604684,pos_neg_null,bas,9,3,48
8,3,0.00011279209401650454,pos_neg_null,bas,9,3,48
8,2,0.000011996456907292419,pos_neg_null,bas,9,3,48
8,1,0.0000030042085687814986,pos_neg_null,bas,9,3,48
11,7,0.024221958563689378,pos_neg_null,bas,9,3,48
11,6,0.02417492129324005,pos_neg_null,bas,9,3,48
11,5,0.02108812306738262,pos_neg_null,bas,9,3,48
11,4,0.0025895167315649436,pos_neg_null,bas,9,3,48
11,3,0.00011221779618546165,pos_neg_null,bas,9,3,48
11,2,0.000011935375151145304,pos_neg_null,bas,9,3,48
11,1,0.0000029889121911400384,pos_neg_null,bas,9,3,48
11,11,0.02422239524915214,pos_neg_null,bas,9,3,48
11,10,0.02422239524915214,pos_neg_null,bas,9,3,48
11,9,0.024222395248933604,pos_neg_null,bas,9,3,48
11,8,0.02422239390130666,pos_neg_null,bas,9,3,48
7,7,3.741913315775083e-12,pos_neg_null,bas,9,3,48
7,6,0.018706489762220564,pos_neg_null,bas,9,3,48
7,5,0.016317933509663592,pos_neg_null,bas,9,3,48
7,4,0.002003761155642937,pos_neg_null,bas,9,3,48
7,3,0.0000868338320534393,pos_neg_null,bas,9,3,48
7,2,0.00000923556152944304,pos_neg_null,bas,9,3,48
7,1,0.000002312812299387792,pos_neg_null,bas,9,3,48
4,4,1.033141317779026e-32,pos_neg_null,bas,9,3,48
4,3,0.00008086113461060917,pos_neg_null,bas,9,3,48
4,2,0.000008600311265513219,pos_neg_null,bas,9,3,48
4,1,0.000002153729971916648,pos_neg_null,bas,9,3,48
5,5,6.686557060955886e-25,pos_neg_null,bas,9,3,48
5,4,0.0018367810593393336,pos_neg_null,bas,9,3,48
5,3,0.00007959767938231941,pos_neg_null,bas,9,3,48
5,2,0.000008465931401989698,pos_neg_null,bas,9,3,48
5,1,0.0000021200779411054736,pos_neg_null,bas,9,3,48
6,6,2.1779893308656108e-18,pos_neg_null,bas,9,3,48
6,5,0.01476384460398135,pos_neg_null,bas,9,3,48
6,4,0.001812926759867442,pos_neg_null,bas,9,3,48
6,3,0.00007856394328644747,pos_neg_null,bas,9,3,48
6,2,0.000008355984240924894,pos_neg_null,bas,9,3,48
6,1,0.0000020925444613508602,pos_neg_null,bas,9,3,48
12,1,0.0000019977069199738462,pos_neg_null,bas,9,3,48
12,6,0.016157854252288405,pos_neg_null,bas,9,3,48
12,2,0.000007977277352812583,pos_neg_null,bas,9,3,48
12,12,0.01618958454216619,pos_neg_null,bas,9,3,48
12,11,0.01618958454216619,pos_neg_null,bas,9,3,48
12,10,0.01618958454216619,pos_neg_null,bas,9,3,48
12,9,0.016189584542020127,pos_neg_null,bas,9,3,48
12,8,0.016189583641303244,pos_neg_null,bas,9,3,48
12,7,0.016189292673581563,pos_neg_null,bas,9,3,48
12,5,0.014094722991812582,pos_neg_null,bas,9,3,48
12,4,0.00173076195057516,pos_neg_null,bas,9,3,48
12,3,0.00007500329673398935,pos_neg_null,bas,9,3,48
3,3,6.003275979890304e-43,pos_neg_null,bas,9,3,48
3,2,0.00000747640695240628,pos_neg_null,bas,9,3,48
3,1,0.0000018722766233139295,pos_neg_null,bas,9,3,48
13,6,0.011159559368732138,pos_neg_null,bas,9,3,48
13,13,0.011181474163119398,pos_neg_null,bas,9,3,48
13,12,0.011181474163119398,pos_neg_null,bas,9,3,48
13,10,0.011181474163119398,pos_neg_null,bas,9,3,48
13,9,0.011181474163018517,pos_neg_null,bas,9,3,48
13,5,0.009734640228648526,pos_neg_null,bas,9,3,48
13,4,0.0011953654513160788,pos_neg_null,bas,9,3,48
13,3,0.000051801664359923826,pos_neg_null,bas,9,3,48
13,11,0.011181474163119398,pos_neg_null,bas,9,3,48
13,1,0.000001379733263259123,pos_neg_null,bas,9,3,48
13,2,0.000005509574404469341,pos_neg_null,bas,9,3,48
13,8,0.011181473540930747,pos_neg_null,bas,9,3,48
13,7,0.011181272581600765,pos_neg_null,bas,9,3,48
2,1,0.00000137055543667425,pos_neg_null,bas,9,3,48
2,2,1.0965647700119844e-56,pos_neg_null,bas,9,3,48
14,6,0.010095565903420615,pos_neg_null,bas,9,3,48
14,12,0.010115391260649002,pos_neg_null,bas,9,3,48
14,7,0.010115208898654318,pos_neg_null,bas,9,3,48
14,3,0.00004686270301296726,pos_neg_null,bas,9,3,48
14,11,0.010115391260649002,pos_neg_null,bas,9,3,48
14,14,0.010115391260649002,pos_neg_null,bas,9,3,48
14,9,0.01011539126055774,pos_neg_null,bas,9,3,48
14,2,0.000004984271301604172,pos_neg_null,bas,9,3,48
14,5,0.008806503798866045,pos_neg_null,bas,9,3,48
14,13,0.010115391260649002,pos_neg_null,bas,9,3,48
14,4,0.0010813949093945857,pos_neg_null,bas,9,3,48
14,1,0.0000012481844155426162,pos_neg_null,bas,9,3,48
14,10,0.010115391260649002,pos_neg_null,bas,9,3,48
14,8,0.010115390697782108,pos_neg_null,bas,9,3,48
15,14,0.007214654060904066,pos_neg_null,bas,9,3,48
15,3,0.000033424133766602555,pos_neg_null,bas,9,3,48
15,1,8.902491787326017e-7,pos_neg_null,bas,9,3,48
15,15,0.007214654060904066,pos_neg_null,bas,9,3,48
15,12,0.007214654060904066,pos_neg_null,bas,9,3,48
15,7,0.0072145239938931505,pos_neg_null,bas,9,3,48
15,4,0.0007712890162593741,pos_neg_null,bas,9,3,48
15,8,0.00721465365944753,pos_neg_null,bas,9,3,48
15,10,0.007214654060904066,pos_neg_null,bas,9,3,48
15,6,0.007200513916410289,pos_neg_null,bas,9,3,48
15,2,0.0000035549582077619023,pos_neg_null,bas,9,3,48
15,5,0.006281109327132375,pos_neg_null,bas,9,3,48
15,9,0.007214654060838974,pos_neg_null,bas,9,3,48
15,11,0.007214654060904066,pos_neg_null,bas,9,3,48
15,13,0.007214654060904066,pos_neg_null,bas,9,3,48
1,1,4.38221384247177e-77,pos_neg_null,bas,9,3,48
