value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
0,0,1.6496380187860508e-13,pos_neg_null,2-2x,6,adjective,5
0.01,0.01,3.199785899238391e-10,pos_neg_null,2-2x,6,adjective,5
0.01,0,5.23052188565225e-12,pos_neg_null,2-2x,6,adjective,5
0.02,0.02,2.594127688351585e-9,pos_neg_null,2-2x,6,adjective,5
0.02,0.01,0.00000824071716217478,pos_neg_null,2-2x,6,adjective,5
0.02,0,3.93503984241147e-11,pos_neg_null,2-2x,6,adjective,5
0.03,0.03,1.1672634994252282e-8,pos_neg_null,2-2x,6,adjective,5
0.03,0.02,0.000009020989849446522,pos_neg_null,2-2x,6,adjective,5
0.03,0.01,0.000008156628211540354,pos_neg_null,2-2x,6,adjective,5
0.03,0,1.6425989412254007e-10,pos_neg_null,2-2x,6,adjective,5
0.04,0.04,3.801368408030794e-8,pos_neg_null,2-2x,6,adjective,5
0.04,0.03,0.000009883938698760947,pos_neg_null,2-2x,6,adjective,5
0.04,0.02,0.000008927989954091403,pos_neg_null,2-2x,6,adjective,5
0.04,0.01,0.000008072539260905917,pos_neg_null,2-2x,6,adjective,5
0.04,0,4.964901862342127e-10,pos_neg_null,2-2x,6,adjective,5
0.05,0.05,1.0075977692658161e-7,pos_neg_null,2-2x,6,adjective,5
0.05,0.04,0.000010839241563317662,pos_neg_null,2-2x,6,adjective,5
0.05,0.03,0.000009780981003982232,pos_neg_null,2-2x,6,adjective,5
0.05,0.02,0.000008834990058736324,pos_neg_null,2-2x,6,adjective,5
0.05,0.01,0.000007988450310271445,pos_neg_null,2-2x,6,adjective,5
0.05,0,1.2234485123041078e-9,pos_neg_null,2-2x,6,adjective,5
0.06,0.06,2.311883942858799e-7,pos_neg_null,2-2x,6,adjective,5
0.06,0.05,0.00001189781125136163,pos_neg_null,2-2x,6,adjective,5
0.06,0.04,0.000010725144283703793,pos_neg_null,2-2x,6,adjective,5
0.06,0.03,0.000009678023309203471,pos_neg_null,2-2x,6,adjective,5
0.06,0.02,0.00000874199016338122,pos_neg_null,2-2x,6,adjective,5
0.06,0.01,0.000007904361359637008,pos_neg_null,2-2x,6,adjective,5
0.06,0,2.6183488988683787e-9,pos_neg_null,2-2x,6,adjective,5
0.07,0.07,4.7584919504107084e-7,pos_neg_null,2-2x,6,adjective,5
0.07,0.06,0.000013071964595023603,pos_neg_null,2-2x,6,adjective,5
0.07,0.05,0.000011771238791240756,pos_neg_null,2-2x,6,adjective,5
0.07,0.04,0.000010611047004089916,pos_neg_null,2-2x,6,adjective,5
0.07,0.03,0.000009575065614424707,pos_neg_null,2-2x,6,adjective,5
0.07,0.02,0.00000864899026802608,pos_neg_null,2-2x,6,adjective,5
0.07,0.01,0.000007820272409002583,pos_neg_null,2-2x,6,adjective,5
0.07,0,5.053979537060601e-9,pos_neg_null,2-2x,6,adjective,5
0.08,0.08,8.980999748312046e-7,pos_neg_null,2-2x,6,adjective,5
0.08,0.07,0.00001437561579756155,pos_neg_null,2-2x,6,adjective,5
0.08,0.06,0.000012931405835937325,pos_neg_null,2-2x,6,adjective,5
0.08,0.05,0.000011644666331119803,pos_neg_null,2-2x,6,adjective,5
0.08,0.04,0.00001049694972447597,pos_neg_null,2-2x,6,adjective,5
0.08,0.03,0.000009472107919645876,pos_neg_null,2-2x,6,adjective,5
0.08,0.02,0.0000085559903726709,pos_neg_null,2-2x,6,adjective,5
0.08,0.01,0.000007736183458368145,pos_neg_null,2-2x,6,adjective,5
0.08,0,9.015294133725481e-9,pos_neg_null,2-2x,6,adjective,5
0.09,0.09,0.000001576331346914036,pos_neg_null,2-2x,6,adjective,5
0.09,0.08,0.00001582449757691822,pos_neg_null,2-2x,6,adjective,5
0.09,0.07,0.000014219359104109913,pos_neg_null,2-2x,6,adjective,5
0.09,0.06,0.000012790847076851043,pos_neg_null,2-2x,6,adjective,5
0.09,0.05,0.000011518093870999011,pos_neg_null,2-2x,6,adjective,5
0.09,0.04,0.00001038285244486217,pos_neg_null,2-2x,6,adjective,5
0.09,0.03,0.00000936915022486718,pos_neg_null,2-2x,6,adjective,5
0.09,0.02,0.000008462990477315852,pos_neg_null,2-2x,6,adjective,5
0.09,0.01,0.000007652094507733745,pos_neg_null,2-2x,6,adjective,5
0.09,0,1.5110815564552514e-8,pos_neg_null,2-2x,6,adjective,5
0.1,0.1,0.000002597491846377295,pos_neg_null,2-2x,6,adjective,5
0.1,0.09,0.000017436414094620437,pos_neg_null,2-2x,6,adjective,5
0.1,0.08,0.000015650601999149807,pos_neg_null,2-2x,6,adjective,5
0.1,0.07,0.000014063102410658061,pos_neg_null,2-2x,6,adjective,5
0.1,0.06,0.000012650288317764793,pos_neg_null,2-2x,6,adjective,5
