value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
1,0.26,0.0000185886496075808,pos_neg_null,2x,6,adjective,5
1,0.25,0.00001810622105623368,pos_neg_null,2x,6,adjective,5
1,0.24,0.00001765712773709559,pos_neg_null,2x,6,adjective,5
1,0.23,0.000017239207045135233,pos_neg_null,2x,6,adjective,5
1,0.22,0.00001685049376710743,pos_neg_null,2x,6,adjective,5
1,0.21,0.000016489201444633358,pos_neg_null,2x,6,adjective,5
1,0.2,0.000016153705842064287,pos_neg_null,2x,6,adjective,5
1,0.19,0.000015842530268396062,pos_neg_null,2x,6,adjective,5
1,0.18,0.00001555433253598963,pos_neg_null,2x,6,adjective,5
1,0.17,0.000015287893367620116,pos_neg_null,2x,6,adjective,5
1,0.16,0.000015042106088148677,pos_neg_null,2x,6,adjective,5
1,0.15,0.000014815967458496984,pos_neg_null,2x,6,adjective,5
1,0.14,0.00001460856952810218,pos_neg_null,2x,6,adjective,5
1,0.13,0.000014419092398082677,pos_neg_null,2x,6,adjective,5
1,0.12,0.000014246797801308998,pos_neg_null,2x,6,adjective,5
1,0.11,0.000014091023417754919,pos_neg_null,2x,6,adjective,5
1,0.1,0.00001395117785417566,pos_neg_null,2x,6,adjective,5
1,0.09,0.000013826736226531331,pos_neg_null,2x,6,adjective,5
1,0.08,0.000013717236291845691,pos_neg_null,2x,6,adjective,5
1,0.07,0.00001362227508352883,pos_neg_null,2x,6,adjective,5
1,0.06,0.000013541506010729838,pos_neg_null,2x,6,adjective,5
1,0.05,0.000013474636388157158,pos_neg_null,2x,6,adjective,5
1,0.04,0.000013421425368108777,pos_neg_null,2x,6,adjective,5
1,0.03,0.000013381682251292226,pos_neg_null,2x,6,adjective,5
1,0.02,0.000013355265157469256,pos_neg_null,2x,6,adjective,5
1,0.01,0.00001334208004110439,pos_neg_null,2x,6,adjective,5
1,0,0.00009498349063232597,pos_neg_null,2x,6,adjective,5
1,0.99,0.005395714498557711,pos_neg_null,2x,6,adjective,5
1,1,0.005395914689391751,pos_neg_null,2x,6,adjective,5
