value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
0,0,1.7898298455044647e-11,pos_neg_null,beta1_5,6,adjective,5
0.01,0.01,1.0916258198250913e-7,pos_neg_null,beta1_5,6,adjective,5
0.01,0,5.503353065205329e-10,pos_neg_null,beta1_5,6,adjective,5
0.02,0.02,9.10348275137619e-7,pos_neg_null,beta1_5,6,adjective,5
0.02,0.01,0.00003249938200513873,pos_neg_null,beta1_5,6,adjective,5
0.02,0,4.0139049052815415e-9,pos_neg_null,beta1_5,6,adjective,5
0.03,0.03,0.000004053286003538792,pos_neg_null,beta1_5,6,adjective,5
0.03,0.02,0.00004011779498445863,pos_neg_null,beta1_5,6,adjective,5
0.03,0.01,0.00003119304250332401,pos_neg_null,beta1_5,6,adjective,5
0.03,0,1.6238958030345952e-8,pos_neg_null,beta1_5,6,adjective,5
0.04,0.04,0.00001221192173370236,pos_neg_null,beta1_5,6,adjective,5
0.04,0.03,0.00004961518064851056,pos_neg_null,beta1_5,6,adjective,5
0.04,0.02,0.00003848886016010361,pos_neg_null,beta1_5,6,adjective,5
0.04,0.01,0.000029926486521597377,pos_neg_null,beta1_5,6,adjective,5
0.04,0,4.755711209499418e-8,pos_neg_null,beta1_5,6,adjective,5
0.05,0.05,0.000027617568111513172,pos_neg_null,beta1_5,6,adjective,5
0.05,0.04,0.0000614737175249589,pos_neg_null,beta1_5,6,adjective,5
0.05,0.03,0.000047579959272562154,pos_neg_null,beta1_5,6,adjective,5
0.05,0.02,0.000036910041945399056,pos_neg_null,beta1_5,6,adjective,5
0.05,0.01,0.00002869889802389002,pos_neg_null,beta1_5,6,adjective,5
0.05,0,1.1351002353032913e-7,pos_neg_null,beta1_5,6,adjective,5
0.06,0.06,0.000050535538320205994,pos_neg_null,beta1_5,6,adjective,5
0.06,0.05,0.00007630130546101946,pos_neg_null,beta1_5,6,adjective,5
0.06,0.03,0.00004560800327670323,pos_neg_null,beta1_5,6,adjective,5
0.06,0.04,0.00005892593337981795,pos_neg_null,beta1_5,6,adjective,5
0.06,0.02,0.000035380301701093995,pos_neg_null,beta1_5,6,adjective,5
0.06,0.01,0.000027509469430465623,pos_neg_null,beta1_5,6,adjective,5
0.06,0,2.3522354486344858e-7,pos_neg_null,beta1_5,6,adjective,5
0.07,0.07,0.00008001628375561105,pos_neg_null,beta1_5,6,adjective,5
0.07,0.06,0.00009486295094339816,pos_neg_null,beta1_5,6,adjective,5
0.07,0.05,0.00007310588657811299,pos_neg_null,beta1_5,6,adjective,5
0.07,0.04,0.00005645817690989834,pos_neg_null,beta1_5,6,adjective,5
0.07,0.03,0.000043697987792676165,pos_neg_null,beta1_5,6,adjective,5
0.07,0.02,0.00003389861166374116,pos_neg_null,beta1_5,6,adjective,5
0.07,0.01,0.0000263574016179201,pos_neg_null,beta1_5,6,adjective,5
0.07,0,4.3948848171534153e-7,pos_neg_null,beta1_5,6,adjective,5
0.08,0.08,0.00011565218424508047,pos_neg_null,beta1_5,6,adjective,5
0.08,0.07,0.00011811825604557273,pos_neg_null,beta1_5,6,adjective,5
0.08,0.06,0.00009084816204247081,pos_neg_null,beta1_5,6,adjective,5
0.08,0.05,0.00007001189994679485,pos_neg_null,beta1_5,6,adjective,5
0.08,0.04,0.000054068754487653463,pos_neg_null,beta1_5,6,adjective,5
0.08,0.03,0.00004184860197199273,pos_neg_null,beta1_5,6,adjective,5
0.08,0.02,0.00003246395494569694,pos_neg_null,beta1_5,6,adjective,5
0.08,0.01,0.000025241903919181443,pos_neg_null,beta1_5,6,adjective,5
0.08,0,7.585861726897166e-7,pos_neg_null,beta1_5,6,adjective,5
0.09,0.09,0.0001582275188482192,pos_neg_null,beta1_5,6,adjective,5
0.09,0.08,0.00014726467067473635,pos_neg_null,beta1_5,6,adjective,5
0.09,0.07,0.00011306580681241191,pos_neg_null,beta1_5,6,adjective,5
