value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
0.5,0.26,0.000043747478773045616,pos_neg_null,normal,6,adjective,5
0.5,0.25,0.00004336433118987322,pos_neg_null,normal,6,adjective,5
0.5,0.24,0.00004307018610501663,pos_neg_null,normal,6,adjective,5
0.5,0.23,0.00004284613560714102,pos_neg_null,normal,6,adjective,5
0.5,0.22,0.00004267688574470831,pos_neg_null,normal,6,adjective,5
0.5,0.21,0.000042550134898543336,pos_neg_null,normal,6,adjective,5
0.5,0.19,0.000042386870722045176,pos_neg_null,normal,6,adjective,5
0.5,0.2,0.00004245605770667798,pos_neg_null,normal,6,adjective,5
0.5,0.18,0.000042336464077257284,pos_neg_null,normal,6,adjective,5
0.5,0.17,0.000042300088582402445,pos_neg_null,normal,6,adjective,5
0.5,0.15,0.000042255690179178573,pos_neg_null,normal,6,adjective,5
0.5,0.16,0.00004227409077606977,pos_neg_null,normal,6,adjective,5
0.5,0.14,0.00004224279389178499,pos_neg_null,normal,6,adjective,5
0.5,0.13,0.000042233844105049096,pos_neg_null,normal,6,adjective,5
0.5,0.11,0.00004222351032452207,pos_neg_null,normal,6,adjective,5
0.5,0.12,0.00004222769432971111,pos_neg_null,normal,6,adjective,5
0.5,0.1,0.000042220691923733186,pos_neg_null,normal,6,adjective,5
0.5,0.09,0.00004221881224105512,pos_neg_null,normal,6,adjective,5
0.5,0.08,0.000042217571065827,pos_neg_null,normal,6,adjective,5
0.5,0.07,0.000042216759646596444,pos_neg_null,normal,6,adjective,5
0.5,0.05,0.00004221589790122577,pos_neg_null,normal,6,adjective,5
0.5,0.06,0.00004221623445355862,pos_neg_null,normal,6,adjective,5
0.5,0.03,0.0000422155502571437,pos_neg_null,normal,6,adjective,5
0.5,0.04,0.00004221568437794843,pos_neg_null,normal,6,adjective,5
0.5,0.02,0.00004221546684967724,pos_neg_null,normal,6,adjective,5
0.5,0.01,0.00004221541549603183,pos_neg_null,normal,6,adjective,5
0.5,0,0.000042111258918423584,pos_neg_null,normal,6,adjective,5
0.5,0.5,0.0009851355678959152,pos_neg_null,normal,6,adjective,5
0.5,0.49,0.0007375870810898996,pos_neg_null,normal,6,adjective,5
0.5,0.47,0.000394534961644731,pos_neg_null,normal,6,adjective,5
0.5,0.48,0.000532796579502688,pos_neg_null,normal,6,adjective,5
0.5,0.46,0.00029956094552320193,pos_neg_null,normal,6,adjective,5
0.5,0.45,0.0002331265247671407,pos_neg_null,normal,6,adjective,5
0.5,0.43,0.00015151851849260116,pos_neg_null,normal,6,adjective,5
0.5,0.44,0.00018580922206978066,pos_neg_null,normal,6,adjective,5
0.5,0.42,0.00012626120423921142,pos_neg_null,normal,6,adjective,5
0.5,0.41,0.00010737824250973027,pos_neg_null,normal,6,adjective,5
0.5,0.4,0.00009307039416408321,pos_neg_null,normal,6,adjective,5
0.5,0.39,0.00008210040768553476,pos_neg_null,normal,6,adjective,5
0.5,0.38,0.00007360376140204443,pos_neg_null,normal,6,adjective,5
0.5,0.37,0.00006696677360074201,pos_neg_null,normal,6,adjective,5
0.5,0.35,0.00005762059466904822,pos_neg_null,normal,6,adjective,5
0.5,0.36,0.00006174701042667241,pos_neg_null,normal,6,adjective,5
0.5,0.34,0.00005434685513385591,pos_neg_null,normal,6,adjective,5
0.5,0.33,0.00005174430749029022,pos_neg_null,normal,6,adjective,5
0.5,0.31,0.0000480287355183586,pos_neg_null,normal,6,adjective,5
0.5,0.32,0.000049674140172722393,pos_neg_null,normal,6,adjective,5
0.5,0.29,0.00004569169653338755,pos_neg_null,normal,6,adjective,5
0.5,0.3,0.000046723609480501576,pos_neg_null,normal,6,adjective,5
0.5,0.27,0.00004424291388369707,pos_neg_null,normal,6,adjective,5
0.5,0.28,0.00004487925701844493,pos_neg_null,normal,6,adjective,5
0.49,0.49,0.000671445880999396,pos_neg_null,normal,6,adjective,5
0.49,0.48,0.0005301392454763502,pos_neg_null,normal,6,adjective,5
0.49,0.47,0.00039256721031431335,pos_neg_null,normal,6,adjective,5
0.49,0.46,0.000298066879074345,pos_neg_null,normal,6,adjective,5
0.49,0.45,0.0002319638013741255,pos_neg_null,normal,6,adjective,5
0.49,0.44,0.0001848824947085163,pos_neg_null,normal,6,adjective,5
0.49,0.43,0.00015076281672892552,pos_neg_null,normal,6,adjective,5
0.49,0.42,0.00012563147385591083,pos_neg_null,normal,6,adjective,5
0.49,0.41,0.00010684269129095932,pos_neg_null,normal,6,adjective,5
0.49,0.39,0.00008169093019391382,pos_neg_null,normal,6,adjective,5
0.49,0.4,0.00009260620363664418,pos_neg_null,normal,6,adjective,5
0.49,0.38,0.00007323666111055496,pos_neg_null,normal,6,adjective,5
0.49,0.37,0.00006663277542400908,pos_neg_null,normal,6,adjective,5
0.49,0.36,0.00006143904592737946,pos_neg_null,normal,6,adjective,5
0.49,0.35,0.00005733321075420597,pos_neg_null,normal,6,adjective,5
0.49,0.34,0.000054075799063063574,pos_neg_null,normal,6,adjective,5
0.49,0.33,0.0000514862316800222,pos_neg_null,normal,6,adjective,5
0.49,0.31,0.00004778919120061151,pos_neg_null,normal,6,adjective,5
0.49,0.32,0.00004942638936502502,pos_neg_null,normal,6,adjective,5
0.49,0.3,0.00004649057450602463,pos_neg_null,normal,6,adjective,5
0.49,0.29,0.0000454638082462056,pos_neg_null,normal,6,adjective,5
0.49,0.28,0.00004465542079024852,pos_neg_null,normal,6,adjective,5
0.49,0.27,0.00004402225143012581,pos_neg_null,normal,6,adjective,5
0.49,0.26,0.00004352928731239741,pos_neg_null,normal,6,adjective,5
0.49,0.25,0.000043148050685768355,pos_neg_null,normal,6,adjective,5
0.49,0.23,0.000042632439614287215,pos_neg_null,normal,6,adjective,5
0.49,0.24,0.00004285537265564286,pos_neg_null,normal,6,adjective,5
0.49,0.22,0.00004246403388906472,pos_neg_null,normal,6,adjective,5
0.49,0.21,0.00004233791521538272,pos_neg_null,normal,6,adjective,5
0.49,0.2,0.00004224430723546928,pos_neg_null,normal,6,adjective,5
0.49,0.19,0.00004217546532236156,pos_neg_null,normal,6,adjective,5
0.49,0.18,0.00004212531008176367,pos_neg_null,normal,6,adjective,5
0.49,0.17,0.000042089116010446004,pos_neg_null,normal,6,adjective,5
0.49,0.16,0.000042063247868713646,pos_neg_null,normal,6,adjective,5
0.49,0.15,0.00004204493904518202,pos_neg_null,normal,6,adjective,5
