value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
0.3,0.1,0.000006887362354316535,pos_neg_null,uniform,6,adjective,5
1,1,0.0016566440585363247,pos_neg_null,uniform,6,adjective,5
0.6,0.22,0.000013908242805286849,pos_neg_null,uniform,6,adjective,5
0.63,0.63,0.0004025646757849747,pos_neg_null,uniform,6,adjective,5
0.63,0.62,0.0003711749166102884,pos_neg_null,uniform,6,adjective,5
0.63,0.61,0.0003359917024481435,pos_neg_null,uniform,6,adjective,5
0.63,0.6,0.00030413185264643297,pos_neg_null,uniform,6,adjective,5
0.63,0.59,0.0002753471498551011,pos_neg_null,uniform,6,adjective,5
0.63,0.58,0.0002493857044480248,pos_neg_null,uniform,6,adjective,5
0.63,0.57,0.0002259998970180907,pos_neg_null,uniform,6,adjective,5
0.63,0.56,0.00020495190407430181,pos_neg_null,uniform,6,adjective,5
0.63,0.55,0.00018601728682643496,pos_neg_null,uniform,6,adjective,5
0.63,0.54,0.00016898708301243671,pos_neg_null,uniform,6,adjective,5
0.63,0.53,0.00015366878093042258,pos_neg_null,uniform,6,adjective,5
0.63,0.52,0.00013988648800601926,pos_neg_null,uniform,6,adjective,5
0.63,0.51,0.00012748054214449352,pos_neg_null,uniform,6,adjective,5
0.63,0.5,0.0001163067573014629,pos_neg_null,uniform,6,adjective,5
0.63,0.49,0.00010623544689280611,pos_neg_null,uniform,6,adjective,5
0.63,0.48,0.00009715032993396501,pos_neg_null,uniform,6,adjective,5
0.63,0.47,0.00008894739435181914,pos_neg_null,uniform,6,adjective,5
0.63,0.46,0.00008153376856881595,pos_neg_null,uniform,6,adjective,5
0.63,0.45,0.00007482663495539674,pos_neg_null,uniform,6,adjective,5
0.63,0.44,0.00006875220589628737,pos_neg_null,uniform,6,adjective,5
0.63,0.43,0.00006324477398312665,pos_neg_null,uniform,6,adjective,5
0.63,0.42,0.000058245841367731944,pos_neg_null,uniform,6,adjective,5
0.63,0.41,0.00005370332889265553,pos_neg_null,uniform,6,adjective,5
0.63,0.4,0.00004957086271341426,pos_neg_null,uniform,6,adjective,5
0.63,0.39,0.00004580713432031875,pos_neg_null,uniform,6,adjective,5
0.63,0.38,0.000042375328839792886,pos_neg_null,uniform,6,adjective,5
0.63,0.37,0.000039242616008702586,pos_neg_null,uniform,6,adjective,5
0.63,0.36,0.00003637969809643813,pos_neg_null,uniform,6,adjective,5
0.63,0.35,0.00003376040917193938,pos_neg_null,uniform,6,adjective,5
0.63,0.34,0.00003136136038608283,pos_neg_null,uniform,6,adjective,5
0.63,0.33,0.000029161626300134134,pos_neg_null,uniform,6,adjective,5
0.63,0.32,0.00002714246769421419,pos_neg_null,uniform,6,adjective,5
0.63,0.31,0.000025287086706095276,pos_neg_null,uniform,6,adjective,5
0.63,0.3,0.000023580410560607685,pos_neg_null,uniform,6,adjective,5
0.63,0.29,0.00002200890054122983,pos_neg_null,uniform,6,adjective,5
0.63,0.28,0.00002056038322092885,pos_neg_null,uniform,6,adjective,5
0.63,0.27,0.00001922390130540555,pos_neg_null,uniform,6,adjective,5
0.63,0.26,0.000017989581747342532,pos_neg_null,uniform,6,adjective,5
0.63,0.25,0.000016848519065396065,pos_neg_null,uniform,6,adjective,5
0.63,0.24,0.000015792672047795513,pos_neg_null,uniform,6,adjective,5
0.63,0.23,0.000014814772239422629,pos_neg_null,uniform,6,adjective,5
0.63,0.22,0.000013908242805286849,pos_neg_null,uniform,6,adjective,5
0.63,0.21,0.000013067126534679402,pos_neg_null,uniform,6,adjective,5
0.63,0.2,0.000012286021901237895,pos_neg_null,uniform,6,adjective,5
0.63,0.19,0.000011560026226857996,pos_neg_null,uniform,6,adjective,5
