"","item","quantifier","HDIlow","HDIhigh"
"1","bas","few",0.26034,0.49223
"2","book","few",1e-05,0.10067
"3","bur","few",0,0.16139
"4","cig","few",0,0.06124
"5","eat","few",1e-05,0.16849
"6","edu","few",0,0.02755
"7","girl","few",1e-05,0.24999
"8","hair","few",0,0.20353
"9","kid","few",0.20073,0.68401
"10","mov","few",3e-05,0.20894
"11","move","few",0,0.006
"12","poem","few",4e-05,0.35363
"13","shoe","few",1e-05,0.21247
"14","trav","few",1e-05,0.20854
"15","tv","few",0.00028,0.36557
"16","bas","many",0.55447,0.79015
"17","book","many",0.71381,0.87633
"18","bur","many",0.56037,0.80721
"19","cig","many",0.19571,0.37867
"20","eat","many",0.72384,0.87704
"21","edu","many",0.46933,0.79194
"22","girl","many",0.59522,0.80056
"23","hair","many",0.61049,0.87147
"24","kid","many",0.87192,0.94437
"25","mov","many",0.74275,0.86898
"26","move","many",0.04837,0.29086
"27","poem","many",0.70744,0.85368
"28","shoe","many",0.46382,0.71207
"29","trav","many",0.72361,0.83894
"30","tv","many",0.55486,0.76618
